,False,True
2020-12-08,63,0
2020-12-09,175,0
2020-12-10,308,7
2020-12-11,462,14
2020-12-12,574,21
2020-12-13,616,21
2020-12-14,742,21
2020-12-15,994,28
2020-12-16,1309,35
2020-12-17,1757,49
2020-12-18,2212,63
2020-12-19,2695,70
2020-12-20,3241,91
2020-12-21,3892,112
2020-12-22,4487,133
2020-12-23,5096,154
2020-12-24,5390,161
2020-12-25,5397,161
2020-12-26,5425,161
2020-12-27,5481,161
2020-12-28,5600,168
2020-12-29,6097,182
2020-12-30,7042,217
2020-12-31,7910,231
2021-01-01,8204,238
2021-01-02,8512,245
2021-01-03,8729,252
2021-01-04,9100,266
2021-01-05,9849,287
2021-01-06,11039,322
2021-01-07,12719,364
2021-01-08,14784,413
2021-01-09,16709,462
2021-01-10,17822,490
2021-01-11,18781,518
2021-01-12,20020,553
2021-01-13,21889,602
2021-01-14,23982,665
2021-01-15,26047,728
2021-01-16,27678,763
2021-01-17,28770,791
2021-01-18,30135,833
2021-01-19,31857,882
2021-01-20,33880,952
2021-01-21,36274,1029
2021-01-22,39312,1106
2021-01-23,42476,1197
2021-01-24,44485,1253
2021-01-25,45598,1288
2021-01-26,46809,1323
2021-01-27,48608,1386
2021-01-28,52668,1526
2021-01-29,59199,1757
2021-01-30,66577,1946
2021-01-31,75950,2233
2021-02-01,82320,2422
2021-02-02,89705,2639
2021-02-03,98469,2912
2021-02-04,107177,3213
2021-02-05,111741,3360
2021-02-06,113631,3437
2021-02-07,114366,3465
2021-02-08,117446,3563
2021-02-09,132195,4053
2021-02-10,158270,4949
2021-02-11,200963,6391
2021-02-12,239148,7714
2021-02-13,260526,8428
2021-02-14,267400,8659
2021-02-15,273315,8904
2021-02-16,292460,9667
2021-02-17,318892,10633
2021-02-18,338380,11312
2021-02-19,346801,11627
2021-02-20,351722,11816
2021-02-21,352282,11830
2021-02-22,353192,11872
2021-02-23,358435,12082
2021-02-24,367927,12446
2021-02-25,377958,12831
2021-02-26,385511,13118
2021-02-27,389466,13272
2021-02-28,390425,13314
2021-03-01,391153,13342
2021-03-02,391300,13349
2021-03-03,391524,13356
2021-03-04,391755,13370
2021-03-05,392035,13384
2021-03-06,392126,13384
2021-03-07,392168,13384
2021-03-08,392217,13384
2021-03-09,392378,13391
2021-03-10,392595,13391
2021-03-11,392784,13405
2021-03-12,392854,13405
total,1351007,44716
