,False,True
2020-12-16,0,0
2020-12-17,0,0
2020-12-18,0,0
2020-12-19,0,0
2020-12-20,0,0
2020-12-21,0,0
2020-12-22,0,0
2020-12-23,0,0
2020-12-24,0,0
2020-12-25,0,0
2020-12-26,0,0
2020-12-27,0,0
2020-12-28,0,0
2020-12-29,21,0
2020-12-30,42,0
2020-12-31,56,0
2021-01-01,63,0
2021-01-02,63,0
2021-01-03,63,0
2021-01-04,133,0
2021-01-05,273,14
2021-01-06,434,28
2021-01-07,770,49
2021-01-08,1547,98
2021-01-09,2401,154
2021-01-10,2779,182
2021-01-11,3864,259
2021-01-12,5012,350
2021-01-13,6405,448
2021-01-14,8218,560
2021-01-15,10787,714
2021-01-16,12516,812
2021-01-17,13321,854
2021-01-18,14840,980
2021-01-19,16331,1092
2021-01-20,18291,1211
2021-01-21,21175,1407
2021-01-22,24689,1666
2021-01-23,27804,1904
2021-01-24,29162,2002
2021-01-25,31066,2149
2021-01-26,33264,2282
2021-01-27,36015,2485
2021-01-28,38857,2681
2021-01-29,42161,2912
2021-01-30,44534,3108
2021-01-31,45934,3213
2021-02-01,47803,3346
2021-02-02,50043,3528
2021-02-03,52668,3710
2021-02-04,57162,4032
2021-02-05,63896,4578
2021-02-06,73087,5313
2021-02-07,77042,5642
2021-02-08,81487,6041
2021-02-09,86891,6545
2021-02-10,93380,7028
2021-02-11,99778,7574
2021-02-12,113134,8666
2021-02-13,130676,10087
2021-02-14,140980,10808
2021-02-15,152579,11606
2021-02-16,165571,12516
2021-02-17,178045,13384
2021-02-18,196574,14581
2021-02-19,220808,16156
2021-02-20,263578,18767
2021-02-21,273098,19341
2021-02-22,289492,20391
2021-02-23,306012,21399
2021-02-24,323232,22477
2021-02-25,341894,23625
2021-02-26,366527,25130
2021-02-27,395864,26964
2021-02-28,408569,27636
2021-03-01,423311,28497
2021-03-02,443359,29743
2021-03-03,469455,31276
2021-03-04,517468,34118
2021-03-05,584262,38178
2021-03-06,647472,41986
2021-03-07,663229,42952
2021-03-08,681807,44093
2021-03-09,699965,45199
2021-03-10,721336,46459
2021-03-11,740187,47600
2021-03-12,774312,49707
2021-03-13,827120,52941
2021-03-14,850696,54257
2021-03-15,877695,55790
2021-03-16,907249,57456
2021-03-17,932953,58835
2021-03-18,947233,59563
2021-03-19,947247,59563
total,2284856,141358
