,1,2,3,4,5,6
2020-12-01,0,0,0,0,0,0
2020-12-02,0,0,0,0,0,0
2020-12-03,0,0,0,0,0,0
2020-12-04,7,0,0,0,0,0
2020-12-05,7,0,0,0,0,0
2020-12-06,7,0,0,0,0,0
2020-12-07,7,0,0,0,0,0
2020-12-08,217,0,28,0,7,70
2020-12-09,539,7,70,7,7,182
2020-12-10,952,14,126,14,14,357
2020-12-11,1386,28,210,21,21,546
2020-12-12,1757,35,266,28,28,686
2020-12-13,1932,35,294,35,35,742
2020-12-14,2282,49,343,35,35,896
2020-12-15,3010,56,455,42,42,1162
2020-12-16,3794,77,595,63,56,1442
2020-12-17,4739,98,763,84,77,1827
2020-12-18,5698,126,959,105,91,2261
2020-12-19,6475,140,1092,112,105,2583
2020-12-20,7532,154,1281,133,133,3017
2020-12-21,8897,182,1449,161,147,3556
2020-12-22,10164,203,1624,182,168,4025
2020-12-23,11571,224,1834,203,189,4578
2020-12-24,12187,238,1960,231,203,4844
2020-12-25,12194,238,1967,231,203,4851
2020-12-26,12278,238,1995,231,203,4879
2020-12-27,12432,245,2023,238,210,4949
2020-12-28,12733,245,2079,245,217,5082
2020-12-29,13860,273,2268,280,231,5544
2020-12-30,15827,308,2632,343,273,6384
2020-12-31,17584,336,2933,406,308,7105
2021-01-01,18172,350,3052,420,329,7322
2021-01-02,18914,364,3164,434,329,7623
2021-01-03,19488,371,3234,448,336,7826
2021-01-04,20426,392,3374,476,350,8239
2021-01-05,22295,434,3675,553,385,9016
2021-01-06,24948,483,4088,644,427,10031
2021-01-07,28392,553,4641,742,490,11396
2021-01-08,32452,623,5208,868,539,12985
2021-01-09,35763,672,5684,973,581,14301
2021-01-10,37975,707,5943,1022,609,15204
2021-01-11,40943,763,6314,1155,651,16408
2021-01-12,44471,819,6755,1288,714,17759
2021-01-13,48405,882,7301,1491,763,19278
2021-01-14,52920,959,7924,1708,826,20979
2021-01-15,58170,1057,8582,1939,910,22890
2021-01-16,62055,1127,9142,2072,952,24276
2021-01-17,64519,1169,9478,2142,980,25242
2021-01-18,68159,1225,9835,2282,1029,26600
2021-01-19,72184,1323,10276,2478,1092,28056
2021-01-20,76538,1414,10759,2674,1148,29701
2021-01-21,81417,1498,11284,2898,1211,31458
2021-01-22,86884,1617,11830,3143,1267,33432
2021-01-23,91679,1701,12313,3311,1344,35224
2021-01-24,94283,1750,12628,3402,1379,36211
2021-01-25,97349,1799,12936,3549,1421,37352
2021-01-26,100933,1862,13321,3696,1470,38654
2021-01-27,105035,1939,13818,3920,1526,40103
2021-01-28,109592,2030,14364,4144,1582,41622
2021-01-29,114604,2121,15015,4410,1659,43379
2021-01-30,118622,2184,15645,4564,1729,44779
2021-01-31,121786,2247,16191,4676,1757,45941
2021-02-01,125055,2296,16597,4858,1813,47166
2021-02-02,129283,2387,17220,5047,1897,48622
2021-02-03,133826,2485,17934,5299,1995,50484
2021-02-04,138999,2604,18872,5621,2093,52276
2021-02-05,144830,2730,19880,5985,2205,54439
2021-02-06,152278,2849,21133,6251,2338,57134
2021-02-07,155694,2905,21644,6405,2415,58226
2021-02-08,159642,3003,22169,6601,2499,59626
2021-02-09,165046,3115,23142,6895,2632,61551
2021-02-10,171927,3241,25060,7259,2807,63889
2021-02-11,180866,3423,27153,7735,3024,66647
2021-02-12,194411,3696,29834,8358,3311,71477
2021-02-13,209650,3955,32158,8883,3619,77189
2021-02-14,217847,4137,33628,9198,3794,80101
2021-02-15,227815,4291,35049,9576,3983,83622
2021-02-16,251839,4627,37940,10311,4417,91868
2021-02-17,295092,5201,42427,11333,5040,108346
2021-02-18,339948,5796,47432,12404,5691,123634
2021-02-19,376572,6321,51240,13461,6244,137067
2021-02-20,416017,6874,54866,14490,6923,151368
2021-02-21,426181,7000,56259,14728,7112,154721
2021-02-22,440720,7231,58149,15246,7364,159593
2021-02-23,478730,7756,61915,16219,7903,171892
2021-02-24,536214,8554,66976,17724,8722,192458
2021-02-25,591899,9303,72513,19138,9618,212898
2021-02-26,649572,10052,77805,20552,10395,234038
2021-02-27,697368,10738,82418,21805,11172,251594
2021-02-28,709786,10983,84147,22239,11452,256354
2021-03-01,720629,11130,85463,22603,11641,260148
2021-03-02,735280,11319,87059,23135,11900,264992
2021-03-03,754285,11592,89194,23786,12194,271950
2021-03-04,789656,12061,92302,24654,12698,284270
2021-03-05,838222,12754,96446,25949,13335,301903
2021-03-06,882217,13440,100737,27286,14084,318521
2021-03-07,892710,13629,102151,27699,14301,322553
2021-03-08,905576,13811,103600,28147,14497,327047
2021-03-09,917742,14035,105315,28686,14749,331520
2021-03-10,932148,14287,107037,29372,15085,336707
2021-03-11,944972,14525,108675,30037,15372,341474
2021-03-12,953582,14651,109613,30275,15505,344750
2021-03-13,953582,14651,109613,30275,15505,344750
total,1486702,32851,195664,83104,32711,578186
