,False,True
2020-12-01,7,0
2020-12-02,7,0
2020-12-03,7,0
2020-12-04,14,0
2020-12-05,14,0
2020-12-06,14,0
2020-12-07,14,0
2020-12-08,336,0
2020-12-09,826,0
2020-12-10,1505,0
2020-12-11,2240,7
2020-12-12,2828,7
2020-12-13,3094,7
2020-12-14,3675,7
2020-12-15,4816,7
2020-12-16,6062,14
2020-12-17,7637,14
2020-12-18,9282,14
2020-12-19,10570,14
2020-12-20,12313,28
2020-12-21,14490,28
2020-12-22,16464,35
2020-12-23,18711,42
2020-12-24,19782,42
2020-12-25,19796,42
2020-12-26,19943,42
2020-12-27,20223,42
2020-12-28,20727,42
2020-12-29,22589,49
2020-12-30,25914,56
2020-12-31,28861,63
2021-01-01,29813,63
2021-01-02,31017,63
2021-01-03,31892,70
2021-01-04,33467,70
2021-01-05,36589,77
2021-01-06,40859,91
2021-01-07,46501,112
2021-01-08,52983,140
2021-01-09,58310,147
2021-01-10,61810,161
2021-01-11,66605,175
2021-01-12,72205,189
2021-01-13,78540,210
2021-01-14,85778,231
2021-01-15,94031,259
2021-01-16,100149,273
2021-01-17,104062,287
2021-01-18,109690,308
2021-01-19,115997,322
2021-01-20,122850,350
2021-01-21,130424,364
2021-01-22,138845,378
2021-01-23,146293,399
2021-01-24,150395,413
2021-01-25,155183,420
2021-01-26,160755,441
2021-01-27,167167,448
2021-01-28,174195,462
2021-01-29,182105,483
2021-01-30,188454,497
2021-01-31,193550,504
2021-02-01,198786,518
2021-02-02,205478,525
2021-02-03,213101,546
2021-02-04,221585,560
2021-02-05,231266,574
2021-02-06,243264,595
2021-02-07,248605,609
2021-02-08,254877,616
2021-02-09,263774,630
2021-02-10,275597,644
2021-02-11,290304,665
2021-02-12,312634,707
2021-02-13,337113,728
2021-02-14,350441,742
2021-02-15,366121,756
2021-02-16,402843,798
2021-02-17,469525,854
2021-02-18,537229,917
2021-02-19,593425,966
2021-02-20,653212,1036
2021-02-21,668710,1064
2021-02-22,691068,1099
2021-02-23,747432,1169
2021-02-24,833917,1281
2021-02-25,918862,1407
2021-02-26,1006166,1512
2021-02-27,1079106,1631
2021-02-28,1098993,1680
2021-03-01,1115793,1722
2021-03-02,1138025,1764
2021-03-03,1167523,1827
2021-03-04,1220513,1918
2021-03-05,1293978,2058
2021-03-06,1361885,2198
2021-03-07,1378741,2240
2021-03-08,1398607,2275
2021-03-09,1418410,2310
2021-03-10,1441762,2359
2021-03-11,1463294,2415
2021-03-12,1500786,2527
2021-03-13,1557647,2667
2021-03-14,1582567,2744
2021-03-15,1611211,2821
2021-03-16,1642732,2912
2021-03-17,1670298,3031
2021-03-18,1685593,3087
2021-03-19,1685614,3087
total,2407286,18928
