,False,True
2020-12-08,259,7
2020-12-09,644,21
2020-12-10,1197,42
2020-12-11,1785,70
2020-12-12,2240,84
2020-12-13,2457,91
2020-12-14,2905,105
2020-12-15,3773,140
2020-12-16,4732,182
2020-12-17,5978,245
2020-12-18,7301,308
2020-12-19,8302,343
2020-12-20,9674,399
2020-12-21,11501,483
2020-12-22,13146,553
2020-12-23,15015,630
2020-12-24,16023,665
2020-12-25,16037,665
2020-12-26,16163,672
2020-12-27,16387,679
2020-12-28,16800,700
2020-12-29,18368,763
2020-12-30,21126,868
2020-12-31,23639,987
2021-01-01,24451,1022
2021-01-02,25452,1057
2021-01-03,26194,1092
2021-01-04,27538,1148
2021-01-05,30058,1246
2021-01-06,33593,1400
2021-01-07,38157,1603
2021-01-08,43204,1848
2021-01-09,47523,2065
2021-01-10,50589,2226
2021-01-11,54243,2401
2021-01-12,58492,2604
2021-01-13,63189,2800
2021-01-14,68264,3038
2021-01-15,73570,3255
2021-01-16,77665,3444
2021-01-17,80605,3577
2021-01-18,84420,3759
2021-01-19,88914,3969
2021-01-20,93478,4186
2021-01-21,97804,4375
2021-01-22,102242,4557
2021-01-23,106169,4725
2021-01-24,108710,4823
2021-01-25,111307,4942
2021-01-26,114387,5089
2021-01-27,117712,5215
2021-01-28,121541,5369
2021-01-29,125755,5530
2021-01-30,129388,5677
2021-01-31,132860,5810
2021-02-01,135975,5901
2021-02-02,140070,6055
2021-02-03,144669,6216
2021-02-04,148302,6314
2021-02-05,150619,6391
2021-02-06,152642,6461
2021-02-07,153678,6489
2021-02-08,155022,6559
2021-02-09,157885,6650
2021-02-10,162638,6769
2021-02-11,170233,6937
2021-02-12,177898,7175
2021-02-13,183288,7287
2021-02-14,185535,7350
2021-02-15,188692,7455
2021-02-16,210658,8169
2021-02-17,262066,9912
2021-02-18,308336,11389
2021-02-19,337715,12411
2021-02-20,351687,12880
2021-02-21,356944,13069
2021-02-22,361697,13209
2021-02-23,399336,14511
2021-02-24,465080,16926
2021-02-25,527870,19173
2021-02-26,587013,21371
2021-02-27,627340,22862
2021-02-28,633731,23107
2021-03-01,634956,23156
2021-03-02,635985,23184
2021-03-03,637973,23261
2021-03-04,640038,23366
2021-03-05,642656,23506
2021-03-06,643706,23569
2021-03-07,643895,23576
2021-03-08,644119,23590
2021-03-09,644840,23625
2021-03-10,645722,23667
2021-03-11,647346,23793
2021-03-12,648655,23870
2021-03-13,649551,23919
2021-03-14,649691,23926
2021-03-15,649894,23933
2021-03-16,650398,23954
2021-03-17,651112,23989
2021-03-18,651469,24017
total,2349081,77133
