,False
2020-12-17,0
2020-12-18,0
2020-12-19,0
2020-12-20,0
2020-12-21,0
2020-12-22,0
2020-12-23,0
2020-12-24,0
2020-12-25,0
2020-12-26,0
2020-12-27,0
2020-12-28,0
2020-12-29,7
2020-12-30,14
2020-12-31,21
2021-01-01,28
2021-01-02,28
2021-01-03,28
2021-01-04,70
2021-01-05,147
2021-01-06,224
2021-01-07,441
2021-01-08,959
2021-01-09,1407
2021-01-10,1638
2021-01-11,2303
2021-01-12,3087
2021-01-13,3948
2021-01-14,5040
2021-01-15,6580
2021-01-16,7595
2021-01-17,8071
2021-01-18,8946
2021-01-19,9758
2021-01-20,10738
2021-01-21,12299
2021-01-22,14266
2021-01-23,16009
2021-01-24,16744
2021-01-25,17780
2021-01-26,18956
2021-01-27,20405
2021-01-28,21854
2021-01-29,23408
2021-01-30,24668
2021-01-31,25459
2021-02-01,26691
2021-02-02,27874
2021-02-03,29267
2021-02-04,31850
2021-02-05,35049
2021-02-06,38157
2021-02-07,39865
2021-02-08,41643
2021-02-09,43953
2021-02-10,46452
2021-02-11,49350
2021-02-12,55447
2021-02-13,63098
2021-02-14,68082
2021-02-15,72702
2021-02-16,77322
2021-02-17,81487
2021-02-18,86849
2021-02-19,93352
2021-02-20,103005
2021-02-21,105595
2021-02-22,110026
2021-02-23,115878
2021-02-24,127939
2021-02-25,145369
2021-02-26,168882
2021-02-27,193312
2021-02-28,211176
2021-03-01,233303
2021-03-02,260631
2021-03-03,293930
2021-03-04,334054
2021-03-05,381710
2021-03-06,430570
2021-03-07,457261
2021-03-08,490945
2021-03-09,521773
2021-03-10,551663
2021-03-11,578235
2021-03-12,608286
2021-03-13,648256
2021-03-14,667289
2021-03-15,688786
2021-03-16,708295
2021-03-17,725291
2021-03-18,733964
2021-03-19,733971
total,1222718
