,False
2020-12-01,0
2020-12-02,0
2020-12-03,0
2020-12-04,7
2020-12-05,7
2020-12-06,7
2020-12-07,7
2020-12-08,133
2020-12-09,413
2020-12-10,749
2020-12-11,1092
2020-12-12,1351
2020-12-13,1498
2020-12-14,1792
2020-12-15,2366
2020-12-16,3080
2020-12-17,4067
2020-12-18,4991
2020-12-19,5810
2020-12-20,6972
2020-12-21,8239
2020-12-22,9415
2020-12-23,10731
2020-12-24,11340
2020-12-25,11347
2020-12-26,11417
2020-12-27,11550
2020-12-28,11802
2020-12-29,12831
2020-12-30,14742
2020-12-31,16324
2021-01-01,16898
2021-01-02,17556
2021-01-03,18018
2021-01-04,18886
2021-01-05,20615
2021-01-06,23128
2021-01-07,26586
2021-01-08,30506
2021-01-09,33684
2021-01-10,35630
2021-01-11,38227
2021-01-12,41489
2021-01-13,45346
2021-01-14,49532
2021-01-15,54145
2021-01-16,57624
2021-01-17,59934
2021-01-18,63112
2021-01-19,66584
2021-01-20,70280
2021-01-21,74389
2021-01-22,78792
2021-01-23,82586
2021-01-24,84735
2021-01-25,87220
2021-01-26,90223
2021-01-27,93548
2021-01-28,97041
2021-01-29,100737
2021-01-30,104013
2021-01-31,106827
2021-02-01,110110
2021-02-02,114128
2021-02-03,118867
2021-02-04,123284
2021-02-05,127876
2021-02-06,131726
2021-02-07,133931
2021-02-08,136416
2021-02-09,140154
2021-02-10,145075
2021-02-11,151921
2021-02-12,162274
2021-02-13,173012
2021-02-14,179410
2021-02-15,185220
2021-02-16,195818
2021-02-17,213773
2021-02-18,229817
2021-02-19,242368
2021-02-20,254184
2021-02-21,257607
2021-02-22,263431
2021-02-23,277011
2021-02-24,300811
2021-02-25,330421
2021-02-26,364504
2021-02-27,396207
2021-02-28,415422
2021-03-01,438116
2021-03-02,465969
2021-03-03,499730
2021-03-04,540463
2021-03-05,588672
2021-03-06,637756
2021-03-07,664538
2021-03-08,698299
2021-03-09,729316
2021-03-10,759500
2021-03-11,786282
2021-03-12,797629
2021-03-13,797650
total,1218672
