,False,True
2020-12-08,98,0
2020-12-09,329,0
2020-12-10,602,0
2020-12-11,882,0
2020-12-12,1078,0
2020-12-13,1197,0
2020-12-14,1428,0
2020-12-15,1876,0
2020-12-16,2436,0
2020-12-17,3234,0
2020-12-18,3997,0
2020-12-19,4676,0
2020-12-20,5628,0
2020-12-21,6741,0
2020-12-22,7721,0
2020-12-23,8869,0
2020-12-24,9464,0
2020-12-25,9464,0
2020-12-26,9527,0
2020-12-27,9646,0
2020-12-28,9863,0
2020-12-29,10745,0
2020-12-30,12376,0
2020-12-31,13755,0
2021-01-01,14259,0
2021-01-02,14812,0
2021-01-03,15218,0
2021-01-04,16009,0
2021-01-05,17472,0
2021-01-06,19628,0
2021-01-07,22575,0
2021-01-08,25746,0
2021-01-09,28511,0
2021-01-10,30324,0
2021-01-11,32368,0
2021-01-12,34916,0
2021-01-13,37954,0
2021-01-14,41055,0
2021-01-15,44121,0
2021-01-16,46585,0
2021-01-17,48412,0
2021-01-18,50708,0
2021-01-19,53354,0
2021-01-20,56063,0
2021-01-21,58632,0
2021-01-22,61068,0
2021-01-23,63105,0
2021-01-24,64519,0
2021-01-25,65961,0
2021-01-26,67774,0
2021-01-27,69650,0
2021-01-28,71701,0
2021-01-29,73850,0
2021-01-30,75866,0
2021-01-31,77882,0
2021-02-01,79940,0
2021-02-02,82705,0
2021-02-03,85953,0
2021-02-04,87955,0
2021-02-05,89376,0
2021-02-06,90132,0
2021-02-07,90636,0
2021-02-08,91336,0
2021-02-09,92757,0
2021-02-10,95165,0
2021-02-11,99071,0
2021-02-12,103271,0
2021-02-13,106344,0
2021-02-14,107765,0
2021-02-15,108899,0
2021-02-16,114807,0
2021-02-17,128569,0
2021-02-18,139230,0
2021-02-19,145278,0
2021-02-20,147448,0
2021-02-21,148288,0
2021-02-22,149674,0
2021-02-23,157451,0
2021-02-24,169225,0
2021-02-25,181503,0
2021-02-26,192143,7
2021-02-27,199423,7
2021-02-28,200858,7
2021-03-01,201509,7
2021-03-02,202125,7
2021-03-03,202748,7
2021-03-04,203574,7
2021-03-05,204379,7
2021-03-06,204939,7
2021-03-07,205128,7
2021-03-08,205317,7
2021-03-09,205786,7
2021-03-10,206507,7
2021-03-11,207172,7
2021-03-12,207669,7
2021-03-13,207942,7
2021-03-14,208026,7
2021-03-15,208159,7
2021-03-16,208348,7
2021-03-17,208635,7
2021-03-18,208852,7
2021-03-19,209034,7
2021-03-20,209146,7
2021-03-21,209174,7
2021-03-22,209251,7
2021-03-23,209391,7
2021-03-24,209510,7
2021-03-25,209517,7
total,1223019,42
