,1,2,3,4,5,6
2020-12-16,0,0,0,0,0,0
2020-12-17,0,0,0,0,0,0
2020-12-18,0,0,0,0,0,0
2020-12-19,0,0,0,0,0,0
2020-12-20,0,0,0,0,0,0
2020-12-21,0,0,0,0,0,0
2020-12-22,0,0,0,0,0,0
2020-12-23,0,0,0,0,0,0
2020-12-24,0,0,0,0,0,0
2020-12-25,0,0,0,0,0,0
2020-12-26,0,0,0,0,0,0
2020-12-27,0,0,0,0,0,0
2020-12-28,0,0,0,0,0,0
2020-12-29,0,0,0,0,0,0
2020-12-30,14,0,0,0,0,14
2020-12-31,21,0,0,0,0,21
2021-01-01,21,0,0,0,0,21
2021-01-02,28,0,0,0,0,21
2021-01-03,28,0,0,0,0,21
2021-01-04,49,0,0,0,0,35
2021-01-05,119,7,7,0,0,77
2021-01-06,217,7,14,7,0,126
2021-01-07,427,14,28,21,7,203
2021-01-08,826,21,63,42,14,378
2021-01-09,1232,28,105,63,21,581
2021-01-10,1442,35,119,70,21,665
2021-01-11,2037,49,154,91,28,910
2021-01-12,2758,56,189,126,35,1211
2021-01-13,3521,77,238,161,49,1554
2021-01-14,4550,91,273,210,49,1988
2021-01-15,5859,119,364,273,63,2576
2021-01-16,6860,140,420,315,70,2982
2021-01-17,7273,147,448,336,70,3157
2021-01-18,8099,154,497,378,84,3507
2021-01-19,8834,182,532,434,91,3822
2021-01-20,9779,203,581,490,91,4221
2021-01-21,11200,224,644,560,112,4774
2021-01-22,12936,252,728,651,133,5488
2021-01-23,14287,266,805,707,154,6104
2021-01-24,14910,273,847,735,161,6377
2021-01-25,15841,287,882,777,175,6727
2021-01-26,16870,294,959,840,189,7119
2021-01-27,17997,308,1029,896,203,7567
2021-01-28,19033,322,1099,966,217,7945
2021-01-29,20223,343,1204,1057,231,8449
2021-01-30,21259,357,1288,1099,245,8876
2021-01-31,21889,371,1330,1113,252,9128
2021-02-01,22540,378,1365,1155,252,9429
2021-02-02,23338,392,1414,1204,266,9744
2021-02-03,24227,406,1470,1260,273,10087
2021-02-04,25263,441,1631,1351,294,10549
2021-02-05,26845,476,1806,1484,322,11172
2021-02-06,28889,511,1995,1617,357,12019
2021-02-07,30023,525,2107,1673,371,12481
2021-02-08,31157,553,2191,1736,399,12957
2021-02-09,32165,560,2317,1799,413,13342
2021-02-10,33278,581,2443,1883,441,13769
2021-02-11,34468,602,2562,1974,469,14224
2021-02-12,36589,644,2779,2135,504,15120
2021-02-13,39557,700,3066,2289,567,16282
2021-02-14,41426,735,3297,2380,602,16982
2021-02-15,43582,763,3514,2471,644,17822
2021-02-16,45605,791,3647,2576,679,18634
2021-02-17,47558,812,3843,2688,707,19376
2021-02-18,50309,854,4074,2863,756,20433
2021-02-19,53830,903,4319,3052,833,21861
2021-02-20,59164,980,4935,3311,938,24129
2021-02-21,60739,1015,5124,3402,987,24871
2021-02-22,63413,1071,5313,3563,1036,25942
2021-02-23,65870,1106,5488,3717,1085,26894
2021-02-24,68502,1141,5691,3857,1127,27895
2021-02-25,71932,1190,5964,4025,1197,29309
2021-02-26,75635,1253,6244,4193,1267,30821
2021-02-27,80458,1316,6671,4424,1351,32900
2021-02-28,82964,1351,6895,4529,1407,33901
2021-03-01,85827,1393,7098,4669,1456,34958
2021-03-02,89404,1435,7329,4865,1540,36477
2021-03-03,93793,1505,7693,5082,1610,38185
2021-03-04,101339,1617,8204,5460,1757,40859
2021-03-05,112035,1771,8988,5908,1946,44667
2021-03-06,124362,1995,9961,6496,2233,49749
2021-03-07,130991,2100,10549,6769,2422,52199
2021-03-08,138061,2170,10997,6951,2548,55209
2021-03-09,148022,2282,11662,7308,2723,59290
2021-03-10,163807,2506,12607,7910,3010,65751
2021-03-11,182042,2779,13692,8708,3360,73234
2021-03-12,191282,2884,14294,9023,3514,77084
2021-03-13,191296,2884,14294,9023,3514,77084
total,962402,17038,62482,56847,22372,478940
