,F,M
2020-12-15,0,0
2020-12-16,0,0
2020-12-17,0,0
2020-12-18,0,0
2020-12-19,0,0
2020-12-20,0,0
2020-12-21,0,0
2020-12-22,0,0
2020-12-23,0,0
2020-12-24,0,0
2020-12-25,0,0
2020-12-26,0,0
2020-12-27,0,0
2020-12-28,0,0
2020-12-29,14,0
2020-12-30,28,7
2020-12-31,28,14
2021-01-01,35,14
2021-01-02,42,14
2021-01-03,42,14
2021-01-04,98,35
2021-01-05,203,63
2021-01-06,308,105
2021-01-07,539,168
2021-01-08,1113,308
2021-01-09,1645,462
2021-01-10,1904,518
2021-01-11,2653,735
2021-01-12,3486,945
2021-01-13,4501,1211
2021-01-14,5761,1540
2021-01-15,7434,1981
2021-01-16,8624,2352
2021-01-17,9100,2520
2021-01-18,10171,2828
2021-01-19,11081,3143
2021-01-20,12243,3528
2021-01-21,13993,4060
2021-01-22,15932,4683
2021-01-23,17507,5264
2021-01-24,18207,5516
2021-01-25,19264,5894
2021-01-26,20398,6335
2021-01-27,21567,6860
2021-01-28,22701,7357
2021-01-29,24122,7966
2021-01-30,25242,8449
2021-01-31,25984,8778
2021-02-01,26726,9107
2021-02-02,27580,9499
2021-02-03,28511,9912
2021-02-04,29666,10444
2021-02-05,31276,11249
2021-02-06,33061,12208
2021-02-07,33873,12670
2021-02-08,35007,13307
2021-02-09,36197,14014
2021-02-10,37429,14686
2021-02-11,38598,15337
2021-02-12,40495,16352
2021-02-13,43197,17773
2021-02-14,44744,18578
2021-02-15,46578,19425
2021-02-16,48405,20377
2021-02-17,50288,21434
2021-02-18,52507,22750
2021-02-19,55265,24332
2021-02-20,59248,27041
2021-02-21,60837,28161
2021-02-22,62685,29351
2021-02-23,64491,30639
2021-02-24,66661,32074
2021-02-25,69475,33880
2021-02-26,72723,36071
2021-02-27,77021,38990
2021-02-28,79541,40887
2021-03-01,82383,42987
2021-03-02,85400,45206
2021-03-03,89005,47698
2021-03-04,94794,52094
2021-03-05,102690,58100
2021-03-06,110026,63777
2021-03-07,112567,65786
2021-03-08,115857,68530
2021-03-09,118727,71078
2021-03-10,122584,74382
2021-03-11,126903,78372
2021-03-12,134897,85883
2021-03-13,152019,103376
2021-03-14,160342,113008
2021-03-15,172354,125790
2021-03-16,191597,147014
2021-03-17,216321,174216
2021-03-18,235074,195517
2021-03-19,235088,195531
total,883358,918190
