,False,True
2020-11-30,0,0
2020-12-01,7,0
2020-12-02,7,0
2020-12-03,7,0
2020-12-04,14,0
2020-12-05,14,0
2020-12-06,14,0
2020-12-07,14,0
2020-12-08,259,7
2020-12-09,616,35
2020-12-10,1092,49
2020-12-11,1610,77
2020-12-12,2023,91
2020-12-13,2254,105
2020-12-14,2744,119
2020-12-15,3668,154
2020-12-16,4697,196
2020-12-17,6097,238
2020-12-18,7483,287
2020-12-19,8638,336
2020-12-20,10150,406
2020-12-21,11970,483
2020-12-22,13727,553
2020-12-23,15673,630
2020-12-24,16569,665
2020-12-25,16576,665
2020-12-26,16709,672
2020-12-27,16940,679
2020-12-28,17353,686
2020-12-29,18844,749
2020-12-30,21644,854
2020-12-31,24248,945
2021-01-01,25067,980
2021-01-02,26026,1029
2021-01-03,26789,1057
2021-01-04,28336,1113
2021-01-05,31192,1218
2021-01-06,35049,1344
2021-01-07,40089,1526
2021-01-08,45591,1743
2021-01-09,50085,1932
2021-01-10,53067,2058
2021-01-11,57274,2212
2021-01-12,62230,2408
2021-01-13,67886,2632
2021-01-14,73920,2877
2021-01-15,80507,3150
2021-01-16,85631,3339
2021-01-17,89103,3486
2021-01-18,93793,3703
2021-01-19,98889,3885
2021-01-20,104517,4130
2021-01-21,110376,4368
2021-01-22,116592,4627
2021-01-23,121534,4837
2021-01-24,124362,4970
2021-01-25,127974,5138
2021-01-26,132258,5334
2021-01-27,136619,5530
2021-01-28,141057,5754
2021-01-29,145992,5978
2021-01-30,149933,6160
2021-01-31,152733,6300
2021-02-01,155554,6426
2021-02-02,158907,6587
2021-02-03,162407,6741
2021-02-04,166012,6902
2021-02-05,169848,7077
2021-02-06,173474,7294
2021-02-07,175203,7385
2021-02-08,177681,7518
2021-02-09,180831,7693
2021-02-10,184233,7889
2021-02-11,187663,8078
2021-02-12,192010,8351
2021-02-13,196868,8750
2021-02-14,199437,8988
2021-02-15,202559,9219
2021-02-16,207466,9765
2021-02-17,215075,10731
2021-02-18,222761,11704
2021-02-19,229782,12600
2021-02-20,237125,13643
2021-02-21,240142,13986
2021-02-22,243712,14420
2021-02-23,250796,15463
2021-02-24,260855,17052
2021-02-25,272447,18753
2021-02-26,283276,20426
2021-02-27,293909,21819
2021-02-28,298914,22169
2021-03-01,303779,22519
2021-03-02,308882,22981
2021-03-03,314853,23520
2021-03-04,324289,24703
2021-03-05,337239,26376
2021-03-06,348817,28063
2021-03-07,353185,28378
2021-03-08,358939,28826
2021-03-09,364161,29246
2021-03-10,371021,29834
2021-03-11,379330,30366
2021-03-12,394842,31325
2021-03-13,428421,33082
2021-03-14,445956,33810
2021-03-15,470197,34783
2021-03-16,510615,35784
2021-03-17,563017,36820
2021-03-18,643846,37975
2021-03-19,757862,39347
2021-03-20,901733,41048
2021-03-21,957271,41685
2021-03-22,1007608,42210
2021-03-23,1053297,42693
2021-03-24,1074738,42896
2021-03-25,1074780,42903
total,1747277,54327
