,False
2020-11-30,0
2020-12-01,0
2020-12-02,0
2020-12-03,0
2020-12-04,0
2020-12-05,0
2020-12-06,0
2020-12-07,0
2020-12-08,210
2020-12-09,525
2020-12-10,938
2020-12-11,1386
2020-12-12,1715
2020-12-13,1911
2020-12-14,2310
2020-12-15,3080
2020-12-16,3941
2020-12-17,5152
2020-12-18,6377
2020-12-19,7336
2020-12-20,8645
2020-12-21,10262
2020-12-22,11858
2020-12-23,13587
2020-12-24,14462
2020-12-25,14469
2020-12-26,14581
2020-12-27,14791
2020-12-28,15148
2020-12-29,16457
2020-12-30,18914
2020-12-31,21280
2021-01-01,22008
2021-01-02,22883
2021-01-03,23569
2021-01-04,24941
2021-01-05,27440
2021-01-06,30863
2021-01-07,35301
2021-01-08,39977
2021-01-09,44079
2021-01-10,46984
2021-01-11,50533
2021-01-12,54733
2021-01-13,59367
2021-01-14,64043
2021-01-15,68796
2021-01-16,72541
2021-01-17,75516
2021-01-18,79037
2021-01-19,83083
2021-01-20,87409
2021-01-21,91224
2021-01-22,95137
2021-01-23,98133
2021-01-24,100128
2021-01-25,102459
2021-01-26,105350
2021-01-27,108192
2021-01-28,111230
2021-01-29,114380
2021-01-30,116914
2021-01-31,118783
2021-02-01,120666
2021-02-02,122934
2021-02-03,125244
2021-02-04,127344
2021-02-05,128940
2021-02-06,130039
2021-02-07,130592
2021-02-08,131439
2021-02-09,132874
2021-02-10,134582
2021-02-11,136388
2021-02-12,138117
2021-02-13,139265
2021-02-14,139720
2021-02-15,140406
2021-02-16,143101
2021-02-17,148764
2021-02-18,153888
2021-02-19,157493
2021-02-20,159187
2021-02-21,159859
2021-02-22,160839
2021-02-23,165907
2021-02-24,173978
2021-02-25,182686
2021-02-26,189840
2021-02-27,194733
2021-02-28,195713
2021-03-01,196035
2021-03-02,196469
2021-03-03,196966
2021-03-04,197568
2021-03-05,198163
2021-03-06,198492
2021-03-07,198667
2021-03-08,198926
2021-03-09,199325
2021-03-10,199794
2021-03-11,200473
2021-03-12,201488
2021-03-13,202013
2021-03-14,202342
2021-03-15,202734
2021-03-16,203301
2021-03-17,203868
2021-03-18,204512
2021-03-19,204519
total,1801548
