,False,True
2020-11-30,0,0
2020-12-01,0,0
2020-12-02,0,0
2020-12-03,0,0
2020-12-04,0,0
2020-12-05,0,0
2020-12-06,0,0
2020-12-07,0,0
2020-12-08,7,14
2020-12-09,7,21
2020-12-10,14,35
2020-12-11,21,42
2020-12-12,21,42
2020-12-13,21,42
2020-12-14,28,56
2020-12-15,63,126
2020-12-16,147,336
2020-12-17,259,595
2020-12-18,322,721
2020-12-19,406,875
2020-12-20,504,1057
2020-12-21,602,1267
2020-12-22,700,1435
2020-12-23,889,2254
2020-12-24,1036,2597
2020-12-25,1036,2632
2020-12-26,1064,2632
2020-12-27,1064,2632
2020-12-28,1064,2639
2020-12-29,1400,3871
2020-12-30,2905,10703
2020-12-31,3857,15015
2021-01-01,4039,15694
2021-01-02,4172,16226
2021-01-03,4221,16380
2021-01-04,4249,16464
2021-01-05,4480,17521
2021-01-06,5054,19754
2021-01-07,6244,24703
2021-01-08,7777,31409
2021-01-09,9198,37317
2021-01-10,9653,39039
2021-01-11,10577,43393
2021-01-12,11599,47985
2021-01-13,13132,53613
2021-01-14,14994,60312
2021-01-15,17108,68145
2021-01-16,18508,73290
2021-01-17,19019,75278
2021-01-18,19943,78526
2021-01-19,20937,81662
2021-01-20,22022,85050
2021-01-21,23324,88410
2021-01-22,25284,93548
2021-01-23,26096,95844
2021-01-24,26481,96782
2021-01-25,26922,97405
2021-01-26,27454,98077
2021-01-27,28028,98917
2021-01-28,28651,99792
2021-01-29,29372,100765
2021-01-30,29778,101318
2021-01-31,29932,101514
2021-02-01,30317,101990
2021-02-02,30737,102501
2021-02-03,31143,103005
2021-02-04,31710,103775
2021-02-05,32277,104629
2021-02-06,32585,105063
2021-02-07,32690,105168
2021-02-08,33061,105637
2021-02-09,33502,106267
2021-02-10,34041,107009
2021-02-11,34608,107716
2021-02-12,35196,108500
2021-02-13,35560,108773
2021-02-14,35637,108815
2021-02-15,35952,109284
2021-02-16,36316,109788
2021-02-17,36708,110145
2021-02-18,37107,110516
2021-02-19,37415,110887
2021-02-20,37583,111020
2021-02-21,37611,111034
2021-02-22,37758,111300
2021-02-23,38031,111608
2021-02-24,38346,111853
2021-02-25,38703,112154
2021-02-26,39018,112322
2021-02-27,39172,112385
2021-02-28,39207,112399
2021-03-01,39298,112469
2021-03-02,39424,112567
2021-03-03,39704,112728
2021-03-04,39963,112896
2021-03-05,40257,113085
2021-03-06,40425,113169
2021-03-07,40460,113176
2021-03-08,40579,113253
2021-03-09,40691,113330
2021-03-10,40824,113435
2021-03-11,40929,113498
2021-03-12,40971,113519
total,49245,120666
