,False,True
2020-12-21,0,0
2020-12-22,0,0
2020-12-23,0,0
2020-12-24,0,0
2020-12-25,0,0
2020-12-26,0,0
2020-12-27,0,0
2020-12-28,0,0
2020-12-29,91,28
2020-12-30,231,77
2020-12-31,364,140
2021-01-01,406,161
2021-01-02,518,210
2021-01-03,588,252
2021-01-04,791,364
2021-01-05,1099,518
2021-01-06,1526,728
2021-01-07,2016,952
2021-01-08,2604,1211
2021-01-09,3220,1456
2021-01-10,3822,1694
2021-01-11,4158,1834
2021-01-12,4396,1925
2021-01-13,4564,2009
2021-01-14,4704,2065
2021-01-15,4767,2100
2021-01-16,4802,2114
2021-01-17,4837,2121
2021-01-18,4865,2135
2021-01-19,4907,2163
2021-01-20,4963,2191
2021-01-21,4998,2219
2021-01-22,5019,2226
2021-01-23,5033,2233
2021-01-24,5040,2233
2021-01-25,5068,2247
2021-01-26,5089,2254
2021-01-27,5117,2268
2021-01-28,5187,2296
2021-01-29,5264,2331
2021-01-30,5341,2366
2021-01-31,5418,2401
2021-02-01,5460,2408
2021-02-02,5509,2422
2021-02-03,5593,2450
2021-02-04,5670,2492
2021-02-05,5726,2506
2021-02-06,5754,2520
2021-02-07,5782,2541
2021-02-08,5824,2562
2021-02-09,5908,2597
2021-02-10,6020,2653
2021-02-11,6153,2695
2021-02-12,6293,2737
2021-02-13,6405,2779
2021-02-14,6433,2786
2021-02-15,6517,2814
2021-02-16,6657,2870
2021-02-17,6818,2947
2021-02-18,6986,3010
2021-02-19,7252,3108
2021-02-20,7336,3150
2021-02-21,7392,3178
2021-02-22,7609,3269
2021-02-23,7924,3416
2021-02-24,8365,3640
2021-02-25,8897,3892
2021-02-26,9366,4123
2021-02-27,9800,4354
2021-02-28,10031,4480
2021-03-01,10325,4655
2021-03-02,10941,4949
2021-03-03,11879,5390
2021-03-04,12859,5803
2021-03-05,14105,6328
2021-03-06,14931,6671
2021-03-07,15134,6755
2021-03-08,15890,7070
2021-03-09,17059,7630
2021-03-10,18158,8155
2021-03-11,19208,8610
2021-03-12,19530,8778
total,1860782,794689
