,False,True
2020-12-01,7,0
2020-12-02,7,0
2020-12-03,7,0
2020-12-04,14,0
2020-12-05,14,0
2020-12-06,14,0
2020-12-07,14,0
2020-12-08,308,21
2020-12-09,763,63
2020-12-10,1393,98
2020-12-11,2086,140
2020-12-12,2639,175
2020-12-13,2884,196
2020-12-14,3430,224
2020-12-15,4501,287
2020-12-16,5670,364
2020-12-17,7154,448
2020-12-18,8722,525
2020-12-19,9919,602
2020-12-20,11550,707
2020-12-21,13573,833
2020-12-22,15435,952
2020-12-23,17535,1078
2020-12-24,18536,1141
2020-12-25,18550,1141
2020-12-26,18683,1148
2020-12-27,18935,1176
2020-12-28,19418,1197
2020-12-29,21154,1316
2020-12-30,24304,1477
2020-12-31,27055,1645
2021-01-01,27958,1694
2021-01-02,29078,1771
2021-01-03,29890,1820
2021-01-04,31360,1918
2021-01-05,34286,2079
2021-01-06,38311,2317
2021-01-07,43631,2604
2021-01-08,49756,2933
2021-01-09,54782,3206
2021-01-10,58051,3423
2021-01-11,62559,3689
2021-01-12,67823,3990
2021-01-13,73766,4368
2021-01-14,80570,4760
2021-01-15,88354,5201
2021-01-16,94115,5530
2021-01-17,97797,5754
2021-01-18,103047,6090
2021-01-19,108948,6468
2021-01-20,115374,6881
2021-01-21,122423,7364
2021-01-22,130305,7868
2021-01-23,137228,8365
2021-01-24,141043,8617
2021-01-25,145509,8911
2021-01-26,150668,9275
2021-01-27,156660,9681
2021-01-28,163191,10157
2021-01-29,170583,10619
2021-01-30,176512,11011
2021-01-31,181300,11312
2021-02-01,186172,11627
2021-02-02,192430,12033
2021-02-03,199563,12474
2021-02-04,207466,13013
2021-02-05,216468,13615
2021-02-06,227640,14357
2021-02-07,232652,14658
2021-02-08,238525,15036
2021-02-09,246820,15575
2021-02-10,257936,16261
2021-02-11,271796,17059
2021-02-12,292719,18382
2021-02-13,315581,19887
2021-02-14,328090,20629
2021-02-15,342762,21588
2021-02-16,377258,23751
2021-02-17,439572,27874
2021-02-18,503090,31829
2021-02-19,555744,35168
2021-02-20,611884,38675
2021-02-21,626465,39550
2021-02-22,647409,40901
2021-02-23,700168,44254
2021-02-24,781396,49252
2021-02-25,861182,54201
2021-02-26,943103,59318
2021-02-27,1011535,63567
2021-02-28,1030330,64652
2021-03-01,1045961,65667
2021-03-02,1066681,67025
2021-03-03,1094345,68677
2021-03-04,1143891,71750
2021-03-05,1212736,75894
2021-03-06,1276611,79688
2021-03-07,1292501,80556
2021-03-08,1311100,81585
2021-03-09,1329482,82572
2021-03-10,1350860,83790
2021-03-11,1370313,84749
2021-03-12,1382878,85519
2021-03-13,1382878,85519
total,2285542,123683
