,False,True
2020-12-29,98,0
2020-12-30,266,0
2020-12-31,448,0
2021-01-01,525,0
2021-01-02,714,0
2021-01-03,826,0
2021-01-04,1211,0
2021-01-05,1785,0
2021-01-06,2436,0
2021-01-07,3276,0
2021-01-08,4130,0
2021-01-09,4753,0
2021-01-10,5530,0
2021-01-11,5999,0
2021-01-12,6328,0
2021-01-13,6552,0
2021-01-14,6755,0
2021-01-15,6860,0
2021-01-16,6923,0
2021-01-17,6979,0
2021-01-18,7028,0
2021-01-19,7077,0
2021-01-20,7154,0
2021-01-21,7210,0
2021-01-22,7252,0
2021-01-23,7294,0
2021-01-24,7336,0
2021-01-25,7364,0
2021-01-26,7385,0
2021-01-27,7420,0
2021-01-28,7511,0
2021-01-29,7616,0
2021-01-30,7749,0
2021-01-31,7854,0
2021-02-01,7917,0
2021-02-02,7966,0
2021-02-03,8085,0
2021-02-04,8225,0
2021-02-05,8288,0
2021-02-06,8302,0
2021-02-07,8316,0
2021-02-08,8351,0
2021-02-09,8456,0
2021-02-10,8617,0
2021-02-11,8757,0
2021-02-12,8911,0
2021-02-13,8988,0
2021-02-14,9023,0
2021-02-15,9086,0
2021-02-16,9233,0
2021-02-17,9422,0
2021-02-18,9639,0
2021-02-19,9835,0
2021-02-20,9919,0
2021-02-21,10045,0
2021-02-22,10283,0
2021-02-23,10731,0
2021-02-24,11347,0
2021-02-25,12117,0
2021-02-26,12866,0
2021-02-27,13538,0
2021-02-28,13930,0
2021-03-01,14469,0
2021-03-02,15414,0
2021-03-03,16660,0
2021-03-04,18018,0
2021-03-05,19145,0
2021-03-06,19775,0
2021-03-07,20104,0
2021-03-08,21147,0
2021-03-09,22785,0
2021-03-10,24570,0
2021-03-11,26061,0
2021-03-12,26642,0
2021-03-13,26649,0
total,1780604,245
