,False,True
2020-11-30,0,0
2020-12-01,0,0
2020-12-02,0,0
2020-12-03,0,0
2020-12-04,0,0
2020-12-05,0,0
2020-12-06,0,0
2020-12-07,0,0
2020-12-08,203,7
2020-12-09,497,28
2020-12-10,896,42
2020-12-11,1323,56
2020-12-12,1638,70
2020-12-13,1820,84
2020-12-14,2205,98
2020-12-15,2947,126
2020-12-16,3773,161
2020-12-17,4949,196
2020-12-18,6125,238
2020-12-19,7042,273
2020-12-20,8288,336
2020-12-21,9835,406
2020-12-22,11354,469
2020-12-23,13020,525
2020-12-24,13860,553
2020-12-25,13867,560
2020-12-26,13972,560
2020-12-27,14175,567
2020-12-28,14518,574
2020-12-29,15771,630
2020-12-30,18137,707
2020-12-31,20405,784
2021-01-01,21098,812
2021-01-02,21924,861
2021-01-03,22582,882
2021-01-04,23898,924
2021-01-05,26299,1015
2021-01-06,29596,1120
2021-01-07,33866,1260
2021-01-08,38339,1442
2021-01-09,42252,1610
2021-01-10,45010,1722
2021-01-11,48426,1855
2021-01-12,52458,2002
2021-01-13,56917,2163
2021-01-14,61397,2352
2021-01-15,65947,2527
2021-01-16,69545,2667
2021-01-17,72394,2786
2021-01-18,75761,2933
2021-01-19,79653,3073
2021-01-20,83804,3241
2021-01-21,87444,3395
2021-01-22,91189,3556
2021-01-23,94059,3668
2021-01-24,95963,3752
2021-01-25,98189,3857
2021-01-26,100954,3969
2021-01-27,103677,4088
2021-01-28,106575,4214
2021-01-29,109592,4347
2021-01-30,112007,4466
2021-01-31,113778,4557
2021-02-01,115577,4634
2021-02-02,117733,4725
2021-02-03,119945,4830
2021-02-04,121968,4907
2021-02-05,123480,4984
2021-02-06,124530,5033
2021-02-07,125048,5061
2021-02-08,125867,5096
2021-02-09,127218,5159
2021-02-10,128849,5236
2021-02-11,130571,5313
2021-02-12,132188,5418
2021-02-13,133252,5502
2021-02-14,133672,5544
2021-02-15,134302,5593
2021-02-16,136640,5936
2021-02-17,141575,6671
2021-02-18,146020,7336
2021-02-19,149107,7847
2021-02-20,150528,8120
2021-02-21,151081,8239
2021-02-22,151963,8337
2021-02-23,156282,9086
2021-02-24,163072,10346
2021-02-25,170485,11641
2021-02-26,176456,12817
2021-02-27,180509,13636
2021-02-28,181363,13762
2021-03-01,181671,13783
2021-03-02,182077,13804
2021-03-03,182525,13853
2021-03-04,183064,13909
2021-03-05,183603,13972
2021-03-06,183904,14000
2021-03-07,184079,14000
2021-03-08,184331,14007
2021-03-09,184688,14028
2021-03-10,185122,14056
2021-03-11,185738,14091
2021-03-12,186179,14112
total,1726753,54096
