,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
2020-11-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-08,112,0,7,0,0,0,0,14,0,0,0,0,0,0,0,0,14,0,0,35
2020-12-09,259,0,14,0,0,0,0,21,0,0,7,0,7,0,0,7,56,0,0,112
2020-12-10,476,7,21,0,0,0,0,49,7,0,21,7,7,0,0,7,105,0,7,182
2020-12-11,700,14,42,0,0,0,7,63,14,0,42,7,14,0,0,14,147,0,7,273
2020-12-12,882,14,49,0,0,7,7,77,14,0,49,7,14,0,7,14,168,0,14,336
2020-12-13,973,14,63,0,0,7,14,91,14,0,56,7,14,0,7,14,182,0,14,371
2020-12-14,1169,14,77,0,0,7,14,112,21,0,70,7,21,0,7,21,238,0,14,455
2020-12-15,1561,14,105,0,0,14,21,133,21,7,91,14,28,0,7,28,336,0,21,609
2020-12-16,2009,21,147,0,0,14,28,168,28,7,126,21,35,0,7,49,413,0,28,777
2020-12-17,2625,28,182,0,7,14,35,231,49,7,161,21,49,7,14,56,553,0,35,1015
2020-12-18,3255,42,224,7,7,21,35,301,56,14,196,28,63,7,14,70,672,0,49,1246
2020-12-19,3794,42,252,7,7,28,35,329,70,14,224,28,77,14,14,77,770,0,63,1428
2020-12-20,4501,49,315,7,7,28,42,406,84,21,259,35,91,14,21,84,903,0,63,1645
2020-12-21,5411,56,371,7,14,35,49,476,91,21,308,35,105,21,21,91,1071,0,77,1911
2020-12-22,6286,70,427,14,14,35,56,539,105,28,357,42,119,28,28,105,1267,0,91,2170
2020-12-23,7196,77,476,14,21,42,70,602,105,28,420,49,133,35,35,119,1484,0,105,2478
2020-12-24,7651,84,511,14,21,42,70,637,119,35,455,49,140,35,42,126,1582,0,112,2639
2020-12-25,7651,84,511,14,21,42,70,637,119,35,455,49,140,35,42,126,1582,0,112,2639
2020-12-26,7707,84,518,14,21,42,70,644,119,35,469,56,147,35,42,126,1589,0,112,2653
2020-12-27,7805,91,532,21,21,42,70,658,119,35,483,56,147,35,42,133,1610,0,112,2681
2020-12-28,7966,91,546,21,21,42,77,672,126,35,497,56,161,35,42,133,1645,0,119,2751
2020-12-29,8610,105,595,21,28,49,84,735,133,42,560,63,182,35,49,154,1799,0,133,2982
2020-12-30,9926,112,693,28,35,56,91,833,154,49,665,77,224,42,63,168,2058,0,147,3381
