,0,1,2,3,4,5,6,7,8,9
2020-11-29,0,0,0,0,0,0,0,0,0,0
2020-11-30,0,0,0,0,0,0,0,0,0,0
2020-12-01,0,0,0,0,0,0,0,0,0,0
2020-12-02,0,0,0,0,0,0,0,0,0,0
2020-12-03,0,0,0,0,0,0,0,0,0,0
2020-12-04,0,0,0,0,0,0,0,0,0,0
2020-12-05,0,0,0,0,0,0,0,0,0,0
2020-12-06,0,0,0,0,0,0,0,0,0,0
2020-12-07,0,0,0,0,0,0,0,0,0,0
2020-12-08,0,0,0,0,0,0,0,0,0,0
2020-12-09,0,0,0,0,0,0,0,0,0,0
2020-12-10,0,0,0,0,0,0,0,0,0,0
2020-12-11,0,0,0,0,0,0,0,0,0,0
2020-12-12,0,0,0,0,0,0,0,0,0,0
2020-12-13,0,0,0,0,0,0,0,0,0,0
2020-12-14,0,0,0,0,0,0,0,0,0,0
2020-12-15,0,0,0,0,0,0,0,0,0,0
2020-12-16,0,0,0,0,0,0,0,0,0,0
2020-12-17,0,0,0,0,0,0,0,0,0,0
2020-12-18,0,0,0,0,0,0,0,0,0,0
2020-12-19,0,0,0,0,0,0,0,0,0,0
2020-12-20,0,0,7,0,0,0,0,0,0,0
2020-12-21,7,0,7,0,0,0,0,0,0,0
2020-12-22,7,0,14,0,0,0,0,0,0,0
2020-12-23,7,7,14,0,0,0,0,0,0,0
2020-12-24,14,7,14,0,7,0,0,0,0,0
2020-12-25,14,7,14,0,7,0,0,0,0,0
2020-12-26,14,7,14,0,7,0,0,0,0,0
2020-12-27,14,7,14,0,7,0,0,0,0,0
2020-12-28,14,7,14,0,7,0,0,0,0,0
2020-12-29,28,7,21,0,7,0,0,7,0,7
2020-12-30,35,7,21,0,14,7,0,7,0,7
2020-12-31,49,14,21,0,14,7,7,7,7,7
2021-01-01,168,14,35,0,49,14,49,35,42,49
2021-01-02,273,14,63,7,70,28,77,49,63,70
2021-01-03,280,14,63,14,70,28,77,49,63,70
2021-01-04,413,21,77,35,105,35,112,63,91,98
2021-01-05,651,21,84,35,133,49,161,91,126,140
2021-01-06,1022,42,91,49,168,70,245,119,182,203
2021-01-07,1603,336,392,84,301,105,399,182,308,336
2021-01-08,3556,2856,1946,378,665,259,931,497,756,763
2021-01-09,5670,5635,5439,805,1232,455,1547,847,1239,1253
2021-01-10,6776,6279,6839,1204,1456,532,1869,980,1477,1519
2021-01-11,9723,9506,8365,1638,2044,735,2688,1358,2121,2212
2021-01-12,13356,14406,13783,2793,2877,1043,3738,1925,2989,3122
2021-01-13,17031,18956,19306,5208,3808,1428,4788,2506,3885,4060
2021-01-14,21819,24416,26726,8470,5061,1862,6118,3234,4991,5166
2021-01-15,28189,31913,34671,11893,6832,2450,7882,4151,6419,6650
2021-01-16,32270,36358,43694,16359,9317,2884,9100,4746,7301,7672
2021-01-17,34062,38136,46781,16800,9751,3045,9597,5033,7714,8078
2021-01-18,38122,42035,52773,18823,11179,3423,10689,5621,8631,9051
2021-01-19,42378,45605,60767,22183,13335,3836,11795,6237,9569,10017
2021-01-20,48279,48811,68516,28868,17430,4459,13356,6944,10745,11207
2021-01-21,56448,53704,88739,54565,26635,5502,15659,8099,12334,12971
2021-01-22,67620,62300,117943,92218,43190,7091,18886,9919,14721,15449
2021-01-23,75334,64841,143570,142632,62356,8302,21021,11053,16275,17066
2021-01-24,78967,65800,150962,159992,69832,8946,22078,11655,17052,17899
2021-01-25,84133,66542,162617,178633,82306,9940,23688,12432,18144,19082
2021-01-26,90440,67592,176757,204582,100891,11396,25802,13426,19488,20475
2021-01-27,95739,68593,187593,227059,120624,13209,27594,14308,20643,21693
2021-01-28,101101,69573,197841,251629,147042,14791,29582,15183,21840,22855
2021-01-29,106855,70658,207193,282170,172984,16674,31962,16226,23142,24143
2021-01-30,112000,71050,213500,313320,217273,18557,33908,17234,24318,25333
2021-01-31,115528,71176,215439,324128,234703,19411,34965,17801,25074,26089
2021-02-01,119035,71652,219919,339038,262178,20930,36260,18480,25865,26908
2021-02-02,122661,72282,224994,351827,300587,22820,37779,19229,26705,27790
2021-02-03,126742,73108,229950,360962,335657,25480,39389,19978,27636,28672
2021-02-04,132062,74060,235102,371210,390404,31619,41636,21000,28770,29862
2021-02-05,138467,75068,240513,382963,473144,40348,44842,22470,30317,31402
2021-02-06,145040,75649,244363,395276,613242,54180,48755,24143,32011,33047
2021-02-07,149051,75859,246155,400449,682017,62517,50771,25123,33047,34048
2021-02-08,152523,76447,249326,405349,739802,72590,52850,25963,33894,34944
2021-02-09,156345,77245,252861,410487,798007,85505,55510,26936,34874,35896
2021-02-10,160741,78400,257124,414414,842954,110208,59010,28427,36008,36925
2021-02-11,166327,79702,260883,417921,879354,141253,63063,30163,37443,38178
2021-02-12,173803,81025,264460,421218,915663,181034,71120,33138,39487,40201
2021-02-13,184184,81550,266742,424235,956151,243782,81984,36792,41986,42651
2021-02-14,190127,81669,267631,425285,968576,272713,87899,38731,43582,44170
2021-02-15,197057,82341,269066,426454,979776,307734,95151,41034,45304,45773
2021-02-16,203644,82929,270270,427392,988099,341222,104230,43799,46998,47467
2021-02-17,211435,83552,271495,428239,995386,371763,117019,47117,49378,49504
2021-02-18,220990,84196,272650,429009,1003030,401968,135429,50764,52444,52024
2021-02-19,230986,84854,273679,429702,1009953,428288,151543,54579,55363,54635
2021-02-20,243537,85134,274253,430360,1018549,454083,177345,60235,59318,58079
2021-02-21,250411,85197,274463,430563,1022630,465136,186634,62965,61201,59843
2021-02-22,258307,85400,274967,430920,1028286,480627,198940,66598,63658,62153
2021-02-23,266728,85778,275786,431375,1034838,493920,213423,70847,66437,64561
2021-02-24,277018,86310,276577,431879,1041817,508613,228396,78834,69286,67137
2021-02-25,289968,86786,277487,432523,1052877,523810,248178,92498,73479,70511
2021-02-26,304003,87227,278306,433048,1062117,538048,268338,110236,77462,74011
2021-02-27,319109,87472,278705,433412,1070818,548821,287826,126588,81473,77693
2021-02-28,329077,87577,278824,433566,1075424,555520,297178,140931,84042,80206
