,0,1,2,3,4,5,6,7,8,9
2020-12-27,0,0,0,0,0,0,0,0,0,0
2020-12-28,0,0,0,0,0,0,0,0,0,0
2020-12-29,280,0,315,0,70,7,77,42,70,70
2020-12-30,770,7,987,7,189,56,217,119,210,203
2020-12-31,1211,7,1827,21,315,77,343,175,287,322
2021-01-01,1274,14,2086,21,322,77,357,182,294,329
2021-01-02,1848,14,2905,35,546,119,560,245,420,490
2021-01-03,2457,14,3507,49,700,175,784,357,574,651
2021-01-04,3542,21,4648,63,945,259,1134,553,840,910
2021-01-05,4851,91,23268,154,1281,392,1575,805,1218,1211
2021-01-06,6559,217,54929,273,1694,532,2135,1141,1708,1659
2021-01-07,8372,336,83146,679,2135,728,2765,1568,2261,2184
2021-01-08,10269,392,100086,1008,2555,966,3402,1925,2793,2695
2021-01-09,11529,490,119427,1393,2877,1085,3745,2149,3178,3038
2021-01-10,13384,532,132391,1680,3297,1288,4263,2492,3689,3549
2021-01-11,14301,553,135275,1925,3486,1386,4515,2653,3927,3787
2021-01-12,14749,560,136997,1967,3612,1456,4662,2737,4074,3927
2021-01-13,14987,560,137599,1995,3675,1477,4732,2779,4123,3983
2021-01-14,15218,574,137858,2009,3717,1498,4802,2807,4172,4032
2021-01-15,15379,574,137928,2016,3752,1512,4844,2828,4221,4074
2021-01-16,15512,574,137998,2030,3780,1519,4886,2849,4256,4109
2021-01-17,15582,574,138040,2030,3794,1526,4907,2863,4291,4130
2021-01-18,15638,574,138061,2030,3808,1533,4928,2870,4298,4144
2021-01-19,15750,574,138096,2051,3822,1540,4963,2891,4319,4158
2021-01-20,15876,581,138124,2051,3857,1554,5005,2905,4347,4193
2021-01-21,15974,581,138145,2058,3885,1575,5047,2919,4382,4228
2021-01-22,16051,581,138159,2058,3892,1582,5075,2926,4410,4242
2021-01-23,16121,581,138173,2065,3906,1582,5110,2926,4431,4270
2021-01-24,16184,581,138173,2072,3920,1589,5124,2947,4445,4277
2021-01-25,16212,581,138187,2072,3927,1589,5138,2954,4445,4284
2021-01-26,16261,581,138201,2072,3934,1596,5145,2954,4452,4291
2021-01-27,16317,588,138222,2072,3941,1596,5159,2968,4459,4312
2021-01-28,16443,588,138285,2072,3969,1603,5180,2982,4480,4333
2021-01-29,16716,665,138341,2093,4053,1631,5250,3031,4571,4410
2021-01-30,17066,665,138390,2142,4123,1666,5327,3094,4655,4480
2021-01-31,17416,672,138558,2184,4200,1701,5418,3164,4746,4585
2021-02-01,17626,679,138579,2191,4256,1715,5488,3199,4795,4648
2021-02-02,17815,707,138677,2205,4312,1736,5558,3220,4844,4697
2021-02-03,18200,707,138705,2212,4403,1771,5656,3297,4949,4802
2021-02-04,18795,707,138747,2226,4501,1813,5782,3374,5082,4963
2021-02-05,19110,714,138768,2240,4578,1848,5880,3437,5173,5054
2021-02-06,19208,721,138782,2240,4599,1855,5908,3451,5194,5075
2021-02-07,19250,721,138789,2247,4641,1862,5915,3458,5208,5089
2021-02-08,19411,721,138810,2254,4669,1862,5950,3472,5236,5124
2021-02-09,19908,735,138852,2268,4746,1911,6069,3549,5362,5250
2021-02-10,20517,749,139062,2366,4865,1981,6251,3668,5558,5404
2021-02-11,21245,763,139111,2408,5040,2051,6440,3780,5733,5593
2021-02-12,21819,917,139153,2464,5201,2107,6615,3885,5901,5789
2021-02-13,22204,917,139195,2499,5313,2170,6727,3976,6006,5908
2021-02-14,22358,917,139209,2506,5355,2191,6769,4011,6069,5943
2021-02-15,22645,938,139230,2520,5432,2233,6860,4074,6160,5999
2021-02-16,23072,952,139356,2646,5663,2303,7021,4165,6321,6132
2021-02-17,23779,994,139489,2709,5936,2401,7252,4312,6545,6328
2021-02-18,24521,1015,139755,2758,6160,2555,7448,4452,6727,6552
2021-02-19,25207,1029,139888,2835,6384,2646,7651,4599,6930,6720
2021-02-20,25830,1057,140042,2856,6496,2709,7791,4676,7063,6860
2021-02-21,26292,1057,140112,2870,6573,2744,7924,4739,7161,6972
2021-02-22,27202,1176,140420,2891,6762,2807,8176,4865,7357,7196
2021-02-23,28455,1365,141421,2968,7042,2954,8547,5089,7665,7525
2021-02-24,30352,1386,143311,3066,7504,3213,9072,5453,8176,7945
2021-02-25,32669,1421,145404,3157,8064,3430,9709,5852,8715,8477
2021-02-26,34867,1484,147084,3381,8813,3710,10360,6202,9233,9051
2021-02-27,36820,1638,148715,3605,9492,3976,10941,6538,9667,9478
2021-02-28,38066,1680,149940,3668,9800,4109,11319,6762,10003,9779
2021-03-01,39522,1799,151473,3724,10108,4228,11739,6986,10360,10150
2021-03-02,41839,2261,155386,3941,10780,4459,12404,7350,10920,10738
2021-03-03,44856,3087,162848,4361,11767,4746,13251,7882,11599,11480
2021-03-04,47922,3857,169715,4970,12495,4998,14007,8428,12341,12250
2021-03-05,50624,4648,174783,5719,13846,5306,14721,8841,12950,12880
2021-03-06,52451,4844,177800,6034,14623,5467,15260,9121,13307,13307
2021-03-07,53718,4893,179277,6048,14868,5579,15624,9289,13559,13559
2021-03-08,56889,5236,181188,6167,15477,5824,16387,9695,14210,14294
2021-03-09,61586,5614,188461,6384,16380,6167,17563,10374,15141,15309
2021-03-10,67347,6384,201397,7602,17661,6678,19138,11298,16464,16597
2021-03-11,73325,7539,215180,8736,19173,7273,20811,12229,17808,17941
2021-03-12,79023,8638,228298,9807,21049,7896,22302,13146,19124,19320
2021-03-13,82677,8904,233429,10598,22190,8246,23177,13650,19824,20125
2021-03-14,85239,8953,234094,10787,22799,8449,23758,13972,20293,20601
2021-03-15,90013,9450,235221,11032,23996,8820,24955,14644,21252,21602
2021-03-16,97818,11410,242487,12180,26229,9492,26915,15848,22946,23324
2021-03-17,107737,14427,255276,14196,28427,10423,29477,17374,25116,25550
2021-03-18,118636,17885,268688,16702,31143,11508,32431,18984,27510,28049
2021-03-19,128163,20538,280168,19656,34321,12586,35098,20412,29575,30275
2021-03-20,134631,21343,288540,22379,36890,13328,36869,21371,30996,31857
2021-03-21,139419,21602,290283,23317,38136,13769,38087,21980,32004,32921
2021-03-22,148197,23282,292740,24430,39760,14497,40320,23128,33880,34839
2021-03-23,160713,25914,307132,28770,43162,15680,43470,25011,36463,37611
2021-03-24,175210,28840,331891,37261,48937,17486,47460,27412,39746,40740
2021-03-25,175210,28840,331891,37261,48937,17486,47460,27412,39746,40740
total,13723031,131292,1114743,865354,2021838,1072554,1743238,915754,1178597,1296099
