,0,1,2,3,4,5,6,7,8,9
2020-12-01,0,0,0,0,0,0,0,0,0,0
2020-12-02,0,0,0,0,0,0,0,0,0,0
2020-12-03,0,0,0,0,0,0,0,0,0,0
2020-12-04,0,0,0,0,0,0,0,0,0,0
2020-12-05,0,0,0,0,0,0,0,0,0,0
2020-12-06,0,0,0,0,0,0,0,0,0,0
2020-12-07,0,0,0,0,0,0,0,0,0,0
2020-12-08,637,0,539,7,231,56,217,112,203,203
2020-12-09,1820,7,2009,21,518,168,672,371,546,546
2020-12-10,3059,28,3934,49,875,273,1113,609,826,826
2020-12-11,4361,35,5747,70,1211,399,1561,840,1127,1183
2020-12-12,5803,49,7042,84,1568,490,1995,1029,1449,1526
2020-12-13,6902,49,8211,91,1764,574,2296,1211,1680,1785
2020-12-14,8323,56,10136,126,2058,679,2702,1442,2009,2100
2020-12-15,10605,140,31339,238,2597,889,3360,1792,2576,2632
2020-12-16,13384,301,66437,385,3122,1113,4242,2240,3325,3353
2020-12-17,16667,462,97881,840,3829,1407,5285,2870,4207,4228
2020-12-18,19866,630,118160,1253,4529,1722,6293,3409,5019,5082
2020-12-19,22610,735,143031,1743,5124,2037,7105,3934,5733,5754
2020-12-20,26313,826,164892,2086,5831,2380,8183,4599,6776,6706
2020-12-21,30912,924,177919,2520,6755,2800,9569,5439,8078,7987
2020-12-22,35091,1057,202125,2891,7700,3199,10899,6139,9135,9128
2020-12-23,40684,1505,219331,3248,8876,3703,12523,7098,10514,10465
2020-12-24,43512,2009,223125,3437,9401,3948,13258,7588,11172,11151
2020-12-25,43533,2009,223132,3437,9401,3948,13265,7588,11172,11158
2020-12-26,43708,2009,223132,3437,9422,3955,13293,7595,11193,11186
2020-12-27,44674,2016,223321,3444,9513,4018,13510,7728,11403,11382
2020-12-28,46305,2016,223790,3486,9751,4130,13860,7966,11669,11746
2020-12-29,50386,2884,231693,3710,10402,4459,14917,8554,12502,12663
2020-12-30,59458,7560,251146,5131,12124,5257,17269,10003,14588,14826
2020-12-31,68257,11186,264943,6664,13713,6062,19656,11333,16646,16919
2021-01-01,70567,11718,267491,7091,14105,6237,20265,11662,17136,17486
2021-01-02,73647,11984,269843,7714,14511,6419,20951,12040,17717,18130
2021-01-03,76328,12082,271362,7777,14798,6552,21560,12355,18165,18648
2021-01-04,80864,12250,272741,7833,15344,6825,22568,12936,19040,19565
2021-01-05,88998,12866,275793,8043,16401,7336,24479,14070,20804,21518
2021-01-06,99960,14119,283234,10010,18109,8148,27062,15785,23219,24003
2021-01-07,115528,17668,317149,18354,20846,9485,31136,18305,26831,27594
2021-01-08,131026,20503,356636,28602,24563,10864,35245,20608,30303,31206
2021-01-09,144494,21329,390145,35749,28875,12089,38577,22575,33362,34321
2021-01-10,153734,21609,405580,39116,30359,12712,40656,23709,35154,36288
2021-01-11,165655,21777,412020,41328,32214,13356,43316,25186,37562,38857
2021-01-12,180411,22106,431102,45829,34797,14245,46634,26936,40551,42021
2021-01-13,196826,22575,463771,57211,38115,15400,50477,29022,43897,45563
2021-01-14,214018,23058,494991,68698,42868,16786,54390,31360,47523,49371
2021-01-15,232190,23499,535892,83041,48587,18326,58681,33866,51338,53494
2021-01-16,249550,24080,585417,92848,52612,19719,62853,36218,54943,57190
2021-01-17,263235,24227,607208,98063,55748,20713,65842,37961,57624,60053
2021-01-18,277221,24409,614810,101773,58415,21602,68789,39655,60256,62895
2021-01-19,293251,24710,648123,126168,66164,23002,72471,41825,63329,66192
2021-01-20,309960,24983,684719,154280,77406,24626,76307,44037,66633,69517
2021-01-21,324702,25172,702933,167475,87570,26222,79625,46004,69566,72688
2021-01-22,339073,25396,723898,188349,103887,28413,83265,47859,72247,75761
2021-01-23,352219,25662,739844,209636,127106,30464,86660,49686,74816,78498
2021-01-24,361088,25704,744359,216958,136227,31717,88872,51009,76538,80297
2021-01-25,371070,25711,744702,217861,139391,32578,91182,52192,78463,82285
2021-01-26,382179,25732,745052,219254,143528,33418,93716,53536,80430,84455
2021-01-27,393218,25753,746074,222999,149142,34342,96299,54866,82432,86737
2021-01-28,404600,25837,750918,243117,167405,36498,99050,56308,84511,89089
2021-01-29,416738,25949,757162,283752,203063,39172,102046,58058,86856,91539
2021-01-30,426048,26061,761999,318164,240100,40957,104559,59262,88662,93401
2021-01-31,433678,26131,764414,340424,273497,43890,106596,60375,90041,94962
2021-02-01,440573,26201,765611,350238,293307,48104,108276,61250,91252,96306
2021-02-02,447965,26250,766444,358022,319760,52143,110292,62377,92694,97825
2021-02-03,455987,26341,767522,367283,378952,57575,112714,63735,94318,99435
2021-02-04,463652,26432,768383,373471,428218,61726,115458,64953,95858,101073
2021-02-05,469847,26481,768656,374941,447027,64365,117131,65835,96985,102312
2021-02-06,474306,26488,768705,375123,451906,66815,118342,66339,97776,103187
2021-02-07,476917,26495,768740,375249,454356,67830,119098,66794,98308,103712
2021-02-08,480396,26509,768824,375690,457898,69608,119959,67200,98875,104349
2021-02-09,485100,26551,769083,376796,475881,84077,121653,68026,99778,105266
2021-02-10,490357,26635,769405,377909,495278,103796,124425,69349,100863,106316
2021-02-11,496160,26733,769839,379540,522837,136542,129710,71582,102375,107646
2021-02-12,501865,26859,770238,380709,540638,170247,135345,73710,103852,109004
2021-02-13,505918,26922,770483,381325,548415,192556,139286,75523,104783,109914
2021-02-14,507906,26929,770546,381493,550816,200613,141435,76335,105343,110432
2021-02-15,510328,26943,770588,381556,552027,205954,143115,76895,105847,110978
2021-02-16,516656,27013,770784,381920,558439,226184,163793,81606,108458,112903
2021-02-17,527016,27111,771015,382431,568022,255423,207151,89544,113183,116529
