,False,True
2020-12-08,0,0
2020-12-09,7,0
2020-12-10,28,7
2020-12-11,35,14
2020-12-12,42,14
2020-12-13,42,14
2020-12-14,49,21
2020-12-15,112,49
2020-12-16,224,133
2020-12-17,329,196
2020-12-18,427,287
2020-12-19,511,322
2020-12-20,581,357
2020-12-21,658,399
2020-12-22,756,448
2020-12-23,966,693
2020-12-24,1204,966
2020-12-25,1204,966
2020-12-26,1204,966
2020-12-27,1204,966
2020-12-28,1211,966
2020-12-29,1617,1449
2020-12-30,3794,4018
2020-12-31,5404,6090
2021-01-01,5663,6363
2021-01-02,5789,6510
2021-01-03,5831,6559
2021-01-04,5901,6664
2021-01-05,6174,7014
2021-01-06,6720,7742
2021-01-07,8463,9863
2021-01-08,10983,12740
2021-01-09,12607,14728
2021-01-10,13034,15232
2021-01-11,14525,17136
2021-01-12,16898,20006
2021-01-13,19187,22750
2021-01-14,21763,26047
2021-01-15,25522,30233
2021-01-16,27797,33026
2021-01-17,28644,34118
2021-01-18,30506,36330
2021-01-19,32291,38444
2021-01-20,33936,40292
2021-01-21,36162,43176
2021-01-22,40124,48041
2021-01-23,41440,49553
2021-01-24,41881,50113
2021-01-25,42217,50526
2021-01-26,42770,51051
2021-01-27,43239,51604
2021-01-28,43757,52150
2021-01-29,44317,52794
2021-01-30,44597,53025
2021-01-31,44702,53123
2021-02-01,44982,53396
2021-02-02,45290,53767
2021-02-03,45759,54222
2021-02-04,46263,54768
2021-02-05,46753,55335
2021-02-06,47047,55629
2021-02-07,47152,55748
2021-02-08,47425,56077
2021-02-09,47803,56525
2021-02-10,48321,57239
2021-02-11,48986,57981
2021-02-12,49658,58765
2021-02-13,49945,59066
2021-02-14,50022,59122
2021-02-15,50344,59472
2021-02-16,50673,59808
2021-02-17,50967,60228
2021-02-18,51317,60620
2021-02-19,51653,61026
2021-02-20,51814,61194
2021-02-21,51870,61236
2021-02-22,51989,61334
2021-02-23,52234,61572
2021-02-24,52591,61922
2021-02-25,52892,62300
2021-02-26,53242,62594
2021-02-27,53417,62769
2021-02-28,53480,62839
2021-03-01,53620,63007
2021-03-02,53802,63196
2021-03-03,53998,63462
2021-03-04,54292,63728
2021-03-05,54649,64008
2021-03-06,54838,64148
2021-03-07,54887,64169
2021-03-08,55020,64260
2021-03-09,55153,64386
2021-03-10,55335,64526
2021-03-11,55482,64631
2021-03-12,55678,64785
2021-03-13,55811,64869
2021-03-14,55860,64911
2021-03-15,55958,64967
2021-03-16,56119,65135
2021-03-17,56259,65254
2021-03-18,56441,65408
2021-03-19,56588,65506
2021-03-20,56693,65576
2021-03-21,56735,65597
2021-03-22,56805,65653
2021-03-23,56931,65730
2021-03-24,57057,65821
2021-03-25,57197,65919
2021-03-26,57337,66024
2021-03-27,57442,66094
2021-03-28,57484,66122
2021-03-29,57561,66199
2021-03-30,57659,66269
2021-03-31,57778,66353
2021-04-01,57848,66416
2021-04-02,57876,66437
2021-04-03,57918,66451
2021-04-04,57925,66451
2021-04-05,57932,66458
2021-04-06,58002,66500
2021-04-07,58051,66556
2021-04-08,58107,66619
2021-04-09,58198,66703
2021-04-10,58240,66745
2021-04-11,58261,66766
2021-04-12,58289,66808
2021-04-13,58331,66850
2021-04-14,58387,66899
2021-04-15,58436,66941
2021-04-16,58478,66990
2021-04-17,58492,67004
2021-04-18,58506,67011
2021-04-19,58527,67032
2021-04-20,58548,67053
2021-04-21,58576,67074
total,63651,70175
