,False,True
2020-12-08,0,0
2020-12-09,0,7
2020-12-10,0,28
2020-12-11,7,42
2020-12-12,7,42
2020-12-13,14,49
2020-12-14,14,56
2020-12-15,21,140
2020-12-16,56,294
2020-12-17,84,441
2020-12-18,112,595
2020-12-19,140,693
2020-12-20,154,777
2020-12-21,182,868
2020-12-22,203,987
2020-12-23,259,1393
2020-12-24,343,1820
2020-12-25,343,1820
2020-12-26,343,1820
2020-12-27,343,1820
2020-12-28,343,1827
2020-12-29,462,2590
2020-12-30,1071,6734
2020-12-31,1526,9947
2021-01-01,1603,10409
2021-01-02,1652,10626
2021-01-03,1666,10710
2021-01-04,1680,10871
2021-01-05,1764,11396
2021-01-06,1897,12516
2021-01-07,2359,15631
2021-01-08,2758,18123
2021-01-09,2877,18844
2021-01-10,2919,19089
2021-01-11,2940,19243
2021-01-12,2982,19544
2021-01-13,3045,19964
2021-01-14,3108,20398
2021-01-15,3178,20797
2021-01-16,3248,21350
2021-01-17,3269,21490
2021-01-18,3297,21644
2021-01-19,3346,21931
2021-01-20,3388,22183
2021-01-21,3423,22358
2021-01-22,3458,22568
2021-01-23,3500,22813
2021-01-24,3507,22848
2021-01-25,3507,22848
2021-01-26,3514,22869
2021-01-27,3521,22890
2021-01-28,3528,22967
2021-01-29,3542,23072
2021-01-30,3570,23170
2021-01-31,3584,23233
2021-02-01,3598,23296
2021-02-02,3605,23338
2021-02-03,3619,23422
2021-02-04,3640,23499
2021-02-05,3647,23541
2021-02-06,3647,23548
2021-02-07,3647,23555
2021-02-08,3647,23569
2021-02-09,3654,23604
2021-02-10,3668,23681
2021-02-11,3675,23772
2021-02-12,3696,23884
2021-02-13,3696,23940
2021-02-14,3703,23954
2021-02-15,3703,23961
2021-02-16,3710,24024
2021-02-17,3717,24115
2021-02-18,3717,24206
2021-02-19,3724,24276
2021-02-20,3731,24332
2021-02-21,3731,24360
2021-02-22,3738,24374
2021-02-23,3745,24472
2021-02-24,3759,24640
2021-02-25,3773,24822
2021-02-26,3787,25004
2021-02-27,3801,25102
2021-02-28,3801,25130
2021-03-01,3801,25144
2021-03-02,3801,25151
2021-03-03,3808,25172
2021-03-04,3808,25193
2021-03-05,3808,25200
2021-03-06,3808,25214
2021-03-07,3808,25214
2021-03-08,3808,25214
2021-03-09,3808,25214
2021-03-10,3815,25228
2021-03-11,3815,25249
2021-03-12,3815,25270
2021-03-13,3815,25277
2021-03-14,3815,25284
2021-03-15,3815,25284
2021-03-16,3822,25326
2021-03-17,3829,25368
2021-03-18,3843,25410
2021-03-19,3843,25431
2021-03-20,3843,25445
2021-03-21,3843,25445
2021-03-22,3850,25452
2021-03-23,3850,25473
2021-03-24,3857,25522
2021-03-25,3857,25585
2021-03-26,3871,25620
2021-03-27,3878,25641
2021-03-28,3878,25648
2021-03-29,3885,25655
2021-03-30,3892,25697
2021-03-31,3899,25718
2021-04-01,3899,25732
2021-04-02,3899,25739
2021-04-03,3906,25739
2021-04-04,3906,25739
2021-04-05,3906,25739
2021-04-06,3906,25739
2021-04-07,3906,25760
2021-04-08,3906,25767
2021-04-09,3913,25774
2021-04-10,3913,25781
2021-04-11,3913,25788
2021-04-12,3913,25788
2021-04-13,3913,25788
2021-04-14,3913,25795
2021-04-15,3920,25802
2021-04-16,3920,25809
2021-04-17,3920,25816
2021-04-18,3920,25816
2021-04-19,3920,25816
2021-04-20,3920,25823
2021-04-21,3920,25823
total,16933,116893
