,False,True
2020-12-08,0,0
2020-12-09,7,7
2020-12-10,21,14
2020-12-11,28,21
2020-12-12,35,21
2020-12-13,35,21
2020-12-14,42,28
2020-12-15,105,56
2020-12-16,217,133
2020-12-17,336,196
2020-12-18,455,259
2020-12-19,539,287
2020-12-20,616,322
2020-12-21,693,357
2020-12-22,798,399
2020-12-23,1092,560
2020-12-24,1463,700
2020-12-25,1463,700
2020-12-26,1463,700
2020-12-27,1463,700
2020-12-28,1470,700
2020-12-29,2023,1029
2020-12-30,5369,2436
2020-12-31,7980,3493
2021-01-01,8351,3654
2021-01-02,8554,3731
2021-01-03,8610,3766
2021-01-04,8736,3808
2021-01-05,9156,4004
2021-01-06,10045,4368
2021-01-07,12509,5481
2021-01-08,14567,6314
2021-01-09,15141,6573
2021-01-10,15351,6657
2021-01-11,15470,6713
2021-01-12,15694,6832
2021-01-13,16009,7000
2021-01-14,16352,7147
2021-01-15,16688,7287
2021-01-16,17101,7497
2021-01-17,17213,7546
2021-01-18,17353,7588
2021-01-19,17570,7707
2021-01-20,17766,7805
2021-01-21,17920,7861
2021-01-22,18088,7938
2021-01-23,18312,8001
2021-01-24,18333,8015
2021-01-25,18340,8015
2021-01-26,18368,8022
2021-01-27,18382,8029
2021-01-28,18445,8050
2021-01-29,18543,8071
2021-01-30,18648,8092
2021-01-31,18711,8113
2021-02-01,18767,8120
2021-02-02,18809,8134
2021-02-03,18886,8155
2021-02-04,18963,8169
2021-02-05,19012,8176
2021-02-06,19019,8176
2021-02-07,19026,8176
2021-02-08,19033,8183
2021-02-09,19068,8190
2021-02-10,19152,8197
2021-02-11,19236,8204
2021-02-12,19362,8218
2021-02-13,19418,8225
2021-02-14,19425,8225
2021-02-15,19439,8225
2021-02-16,19502,8232
2021-02-17,19586,8246
2021-02-18,19677,8246
2021-02-19,19754,8246
2021-02-20,19810,8253
2021-02-21,19838,8253
2021-02-22,19859,8253
2021-02-23,19957,8260
2021-02-24,20125,8274
2021-02-25,20314,8281
2021-02-26,20503,8288
2021-02-27,20608,8295
2021-02-28,20636,8295
2021-03-01,20643,8295
2021-03-02,20657,8302
2021-03-03,20678,8302
2021-03-04,20692,8309
2021-03-05,20706,8309
2021-03-06,20713,8309
2021-03-07,20713,8309
2021-03-08,20713,8309
2021-03-09,20720,8309
2021-03-10,20727,8316
2021-03-11,20748,8316
2021-03-12,20762,8323
2021-03-13,20769,8330
2021-03-14,20776,8330
2021-03-15,20776,8330
2021-03-16,20804,8344
2021-03-17,20832,8358
2021-03-18,20881,8372
2021-03-19,20902,8372
2021-03-20,20909,8379
2021-03-21,20909,8379
2021-03-22,20923,8379
2021-03-23,20937,8386
2021-03-24,20979,8400
2021-03-25,21028,8414
2021-03-26,21063,8428
2021-03-27,21084,8435
2021-03-28,21091,8435
2021-03-29,21098,8435
2021-03-30,21133,8449
2021-03-31,21154,8456
2021-04-01,21168,8463
2021-04-02,21175,8463
2021-04-03,21182,8463
2021-04-04,21182,8463
2021-04-05,21182,8463
2021-04-06,21182,8463
2021-04-07,21196,8470
2021-04-08,21203,8470
2021-04-09,21210,8477
2021-04-10,21217,8477
2021-04-11,21217,8477
2021-04-12,21217,8477
2021-04-13,21217,8484
2021-04-14,21231,8484
2021-04-15,21238,8484
2021-04-16,21245,8484
2021-04-17,21252,8484
2021-04-18,21252,8484
2021-04-19,21252,8484
2021-04-20,21259,8484
2021-04-21,21259,8484
total,100219,33607
