,False,True
2020-12-08,0,0
2020-12-09,7,0
2020-12-10,28,7
2020-12-11,35,14
2020-12-12,42,14
2020-12-13,42,14
2020-12-14,49,21
2020-12-15,112,49
2020-12-16,217,126
2020-12-17,329,196
2020-12-18,427,287
2020-12-19,511,322
2020-12-20,581,357
2020-12-21,658,392
2020-12-22,756,441
2020-12-23,966,693
2020-12-24,1204,959
2020-12-25,1204,959
2020-12-26,1204,959
2020-12-27,1204,959
2020-12-28,1211,959
2020-12-29,1610,1442
2020-12-30,3787,4011
2020-12-31,5397,6076
2021-01-01,5656,6349
2021-01-02,5775,6503
2021-01-03,5824,6552
2021-01-04,5894,6650
2021-01-05,6160,7000
2021-01-06,6699,7721
2021-01-07,8302,9688
2021-01-08,9674,11207
2021-01-09,10115,11606
2021-01-10,10262,11746
2021-01-11,10332,11851
2021-01-12,10521,12005
2021-01-13,10787,12222
2021-01-14,11018,12481
2021-01-15,11284,12691
2021-01-16,11585,13013
2021-01-17,11676,13083
2021-01-18,11767,13174
2021-01-19,11963,13314
2021-01-20,12138,13433
2021-01-21,12250,13531
2021-01-22,12397,13629
2021-01-23,12530,13783
2021-01-24,12558,13797
2021-01-25,12565,13797
2021-01-26,12586,13804
2021-01-27,12593,13811
2021-01-28,12649,13846
2021-01-29,12712,13902
2021-01-30,12796,13944
2021-01-31,12845,13972
2021-02-01,12880,14014
2021-02-02,12908,14035
2021-02-03,12964,14077
2021-02-04,13020,14119
2021-02-05,13055,14133
2021-02-06,13062,14140
2021-02-07,13062,14140
2021-02-08,13076,14147
2021-02-09,13097,14161
2021-02-10,13139,14203
2021-02-11,13181,14259
2021-02-12,13258,14322
2021-02-13,13286,14350
2021-02-14,13293,14357
2021-02-15,13300,14364
2021-02-16,13349,14385
2021-02-17,13391,14441
2021-02-18,13433,14490
2021-02-19,13468,14532
2021-02-20,13503,14560
2021-02-21,13524,14567
2021-02-22,13545,14567
2021-02-23,13608,14609
2021-02-24,13706,14686
2021-02-25,13811,14784
2021-02-26,13930,14868
2021-02-27,13993,14910
2021-02-28,14007,14924
2021-03-01,14014,14931
2021-03-02,14021,14938
2021-03-03,14035,14945
2021-03-04,14049,14952
2021-03-05,14049,14959
2021-03-06,14056,14966
2021-03-07,14056,14966
2021-03-08,14056,14966
2021-03-09,14063,14966
2021-03-10,14070,14973
2021-03-11,14084,14987
2021-03-12,14091,14994
2021-03-13,14098,15001
2021-03-14,14098,15001
2021-03-15,14098,15001
2021-03-16,14119,15029
2021-03-17,14147,15050
2021-03-18,14175,15078
2021-03-19,14182,15092
2021-03-20,14189,15092
2021-03-21,14189,15092
2021-03-22,14196,15099
2021-03-23,14210,15113
2021-03-24,14238,15148
2021-03-25,14266,15183
2021-03-26,14294,15197
2021-03-27,14308,15211
2021-03-28,14308,15218
2021-03-29,14315,15218
2021-03-30,14336,15246
2021-03-31,14350,15260
2021-04-01,14364,15267
2021-04-02,14364,15274
2021-04-03,14371,15274
2021-04-04,14371,15274
2021-04-05,14371,15274
2021-04-06,14371,15274
2021-04-07,14378,15288
2021-04-08,14385,15288
2021-04-09,14392,15302
2021-04-10,14392,15302
2021-04-11,14399,15302
2021-04-12,14399,15302
2021-04-13,14399,15302
2021-04-14,14406,15302
2021-04-15,14413,15309
2021-04-16,14420,15309
2021-04-17,14420,15316
2021-04-18,14420,15316
2021-04-19,14420,15316
2021-04-20,14427,15316
2021-04-21,14427,15316
total,63651,70175
