,0,1,2,3,4,5
2020-12-01,0,0,0,0,0,0
2020-12-02,0,0,0,0,0,0
2020-12-03,0,0,0,0,0,0
2020-12-04,0,0,0,0,0,0
2020-12-05,0,0,0,0,0,0
2020-12-06,0,0,0,0,0,0
2020-12-07,0,0,0,0,0,0
2020-12-08,7,35,77,105,161,140
2020-12-09,35,280,322,413,462,469
2020-12-10,63,518,637,784,945,952
2020-12-11,91,756,896,1127,1400,1435
2020-12-12,105,917,1071,1421,1757,1729
2020-12-13,119,1050,1232,1701,2051,2023
2020-12-14,147,1218,1526,2128,2541,2527
2020-12-15,539,3787,4816,6902,7665,7581
2020-12-16,1120,7602,10388,14742,16219,16275
2020-12-17,1694,11403,15575,21917,23555,23590
2020-12-18,2142,14238,19061,26453,28091,28014
2020-12-19,2884,18088,23492,31661,33488,33236
2020-12-20,3395,20846,27426,36351,38234,38416
2020-12-21,3598,22274,29232,38773,41776,42028
2020-12-22,4046,25690,32774,43554,47796,48118
2020-12-23,4466,27832,35266,47187,51961,52486
2020-12-24,4564,28329,35728,48013,52857,53508
2020-12-25,4564,28329,35728,48013,52857,53515
2020-12-26,4564,28329,35728,48013,52857,53515
2020-12-27,4564,28357,35749,48041,52885,53592
2020-12-28,4564,28413,35840,48139,52969,53732
2020-12-29,4760,29274,37429,49742,54761,55566
2020-12-30,5257,31143,41020,53522,59514,60494
2020-12-31,5649,32438,43253,56259,62965,64127
2021-01-01,5838,32585,43554,56805,63637,64834
2021-01-02,5901,32830,43883,57260,64106,65639
2021-01-03,5915,32942,44023,57526,64414,66311
2021-01-04,5922,33159,44268,57778,64666,66731
2021-01-05,5957,33523,44730,58471,65303,67557
2021-01-06,6069,34433,46004,60088,67053,69335
2021-01-07,6552,38500,51730,67417,75173,77924
2021-01-08,7294,43554,58303,76062,85386,87654
2021-01-09,8092,48188,64001,84126,93912,96929
2021-01-10,8603,49868,66542,87738,97608,101738
2021-01-11,8666,50659,67613,89369,99316,104447
2021-01-12,8904,53158,71141,94234,105322,111902
2021-01-13,9464,57841,77490,103110,114058,120897
2021-01-14,9947,61964,83783,111804,123368,130641
2021-01-15,10843,67767,91686,122731,134722,142597
2021-01-16,12047,74431,100779,135954,148603,157059
2021-01-17,12474,77154,104580,141631,154518,163429
2021-01-18,12712,79002,106561,144830,157822,166474
2021-01-19,13293,83174,113078,154462,167930,176855
2021-01-20,13797,88158,120190,164458,178472,188069
