,False,True
2020-12-01,0,0
2020-12-02,0,0
2020-12-03,0,0
2020-12-04,0,0
2020-12-05,0,0
2020-12-06,0,0
2020-12-07,0,0
2020-12-08,441,98
2020-12-09,1694,301
2020-12-10,3381,532
2020-12-11,4907,812
2020-12-12,6027,987
2020-12-13,7049,1134
2020-12-14,8743,1358
2020-12-15,26845,4466
2020-12-16,57295,9058
2020-12-17,84728,13020
2020-12-18,102354,15659
2020-12-19,123690,19166
2020-12-20,142821,21861
2020-12-21,154308,23373
2020-12-22,175350,26635
2020-12-23,190288,28917
2020-12-24,193641,29351
2020-12-25,193648,29351
2020-12-26,193648,29351
2020-12-27,193816,29372
2020-12-28,194208,29449
2020-12-29,201096,30436
2020-12-30,218078,32865
2020-12-31,230153,34538
2021-01-01,232442,34797
2021-01-02,234528,35063
2021-01-03,235886,35224
2021-01-04,237111,35371
2021-01-05,239799,35700
2021-01-06,246351,36575
2021-01-07,276353,40614
2021-01-08,311024,45451
2021-01-09,340431,49553
2021-01-10,354102,51345
2021-01-11,359884,52024
2021-01-12,377069,54026
2021-01-13,406140,57631
2021-01-14,433720,61299
2021-01-15,469861,66094
2021-01-16,513688,71813
2021-01-17,532959,74389
2021-01-18,539623,75348
2021-01-19,569597,78834
2021-01-20,602294,82768
2021-01-21,618429,84840
2021-01-22,637399,87010
2021-01-23,651721,88627
2021-01-24,655767,89124
2021-01-25,656061,89166
2021-01-26,656390,89194
2021-01-27,657321,89285
2021-01-28,661598,89866
2021-01-29,667149,90559
2021-01-30,671454,91070
2021-01-31,673589,91364
2021-02-01,674639,91504
2021-02-02,675374,91609
2021-02-03,676312,91742
2021-02-04,677075,91833
2021-02-05,677320,91868
2021-02-06,677355,91875
2021-02-07,677390,91875
2021-02-08,677460,91896
2021-02-09,677677,91931
2021-02-10,677957,91973
2021-02-11,678335,92029
2021-02-12,678685,92085
2021-02-13,678895,92113
2021-02-14,678951,92120
2021-02-15,678986,92127
2021-02-16,679161,92148
2021-02-17,679357,92183
2021-02-18,679532,92211
2021-02-19,679658,92225
2021-02-20,679749,92239
2021-02-21,679777,92239
2021-02-22,679812,92239
2021-02-23,679938,92260
2021-02-24,680162,92288
2021-02-25,680372,92323
2021-02-26,680624,92351
2021-02-27,680778,92365
2021-02-28,680813,92372
2021-03-01,680827,92372
2021-03-02,680855,92379
2021-03-03,680981,92386
2021-03-04,681002,92393
2021-03-05,681030,92400
2021-03-06,681044,92400
2021-03-07,681065,92400
2021-03-08,681072,92400
2021-03-09,681254,92421
2021-03-10,681380,92442
2021-03-11,681429,92449
2021-03-12,681485,92456
2021-03-13,681492,92463
2021-03-14,681492,92463
2021-03-15,681499,92463
2021-03-16,681534,92470
2021-03-17,681597,92477
2021-03-18,681639,92484
2021-03-19,681688,92491
2021-03-20,681716,92491
2021-03-21,681723,92491
2021-03-22,681730,92498
2021-03-23,681793,92505
2021-03-24,681884,92512
2021-03-25,682108,92547
2021-03-26,682290,92575
2021-03-27,682395,92589
2021-03-28,682423,92589
2021-03-29,682451,92589
2021-03-30,682640,92617
2021-03-31,682766,92638
2021-04-01,682969,92659
2021-04-02,683123,92694
2021-04-03,683242,92708
2021-04-04,683256,92708
2021-04-05,683263,92708
2021-04-06,683291,92715
2021-04-07,683487,92750
2021-04-08,683606,92778
2021-04-09,683739,92799
2021-04-10,683865,92813
2021-04-11,683893,92820
2021-04-12,683921,92820
2021-04-13,683942,92827
2021-04-14,683956,92827
2021-04-15,684026,92834
2021-04-16,684131,92841
2021-04-17,684250,92848
2021-04-18,684292,92855
2021-04-19,684299,92855
2021-04-20,684313,92855
2021-04-21,684341,92862
total,978957,132874
