,False,True
2020-12-01,0,0
2020-12-02,0,0
2020-12-03,0,0
2020-12-04,0,0
2020-12-05,0,0
2020-12-06,0,0
2020-12-07,0,0
2020-12-08,0,0
2020-12-09,21,0
2020-12-10,42,7
2020-12-11,63,7
2020-12-12,70,7
2020-12-13,84,7
2020-12-14,112,7
2020-12-15,210,21
2020-12-16,343,42
2020-12-17,735,105
2020-12-18,1092,161
2020-12-19,1505,238
2020-12-20,1806,287
2020-12-21,2191,329
2020-12-22,2513,378
2020-12-23,2835,413
2020-12-24,2996,441
2020-12-25,2996,441
2020-12-26,2996,441
2020-12-27,3003,448
2020-12-28,3031,448
2020-12-29,3234,476
2020-12-30,4452,679
2020-12-31,5803,861
2021-01-01,6174,917
2021-01-02,6734,987
2021-01-03,6797,994
2021-01-04,6867,1001
2021-01-05,7056,1022
2021-01-06,8785,1274
2021-01-07,16142,2296
2021-01-08,25242,3717
2021-01-09,31857,4683
2021-01-10,35133,5166
2021-01-11,37450,5502
2021-01-12,42378,6237
2021-01-13,54390,8029
2021-01-14,67417,9786
2021-01-15,83202,11774
2021-01-16,95956,13300
2021-01-17,100975,13930
2021-01-18,106008,14637
2021-01-19,130634,17794
2021-01-20,161371,21819
2021-01-21,195671,26390
2021-01-22,247303,33173
2021-01-23,310618,41426
2021-01-24,332514,44114
2021-01-25,349762,46368
2021-01-26,373877,49525
2021-01-27,397054,52500
2021-01-28,436723,57498
2021-01-29,500010,65331
2021-01-30,558579,72289
2021-01-31,588133,75782
2021-02-01,610183,78491
2021-02-02,628439,80780
2021-02-03,644854,82740
2021-02-04,659288,84728
2021-02-05,670950,86282
2021-02-06,681975,87668
2021-02-07,686672,88249
2021-02-08,691299,88970
2021-02-09,696752,89740
2021-02-10,701036,90454
2021-02-11,705411,91161
2021-02-12,709296,91728
2021-02-13,712446,92204
2021-02-14,713503,92351
2021-02-15,714532,92554
2021-02-16,715659,92736
2021-02-17,716807,92939
2021-02-18,717773,93121
2021-02-19,718536,93268
2021-02-20,719208,93373
2021-02-21,719411,93401
2021-02-22,719747,93457
2021-02-23,720293,93548
2021-02-24,721007,93674
2021-02-25,721868,93814
2021-02-26,722624,93954
2021-02-27,723128,94024
2021-02-28,723296,94045
2021-03-01,723534,94087
2021-03-02,723842,94143
2021-03-03,724171,94206
2021-03-04,724682,94297
2021-03-05,725284,94416
2021-03-06,725704,94479
2021-03-07,725802,94500
2021-03-08,726019,94535
2021-03-09,726271,94577
2021-03-10,726530,94633
2021-03-11,726824,94675
2021-03-12,727139,94731
2021-03-13,727454,94780
2021-03-14,727559,94801
2021-03-15,727713,94829
2021-03-16,727895,94864
2021-03-17,728084,94899
2021-03-18,728301,94948
2021-03-19,728532,94983
2021-03-20,728714,95025
2021-03-21,728798,95046
2021-03-22,728903,95067
2021-03-23,729043,95095
2021-03-24,729197,95123
total,766619,98735
