,False,True
2020-12-30,7,0
2020-12-31,14,0
2021-01-01,14,0
2021-01-02,28,7
2021-01-03,35,7
2021-01-04,49,7
2021-01-05,112,42
2021-01-06,203,70
2021-01-07,476,196
2021-01-08,707,294
2021-01-09,973,413
2021-01-10,1169,511
2021-01-11,1337,588
2021-01-12,1358,602
2021-01-13,1386,609
2021-01-14,1393,616
2021-01-15,1400,616
2021-01-16,1407,623
2021-01-17,1407,623
2021-01-18,1407,623
2021-01-19,1421,623
2021-01-20,1421,623
2021-01-21,1428,623
2021-01-22,1428,630
2021-01-23,1428,630
2021-01-24,1428,630
2021-01-25,1428,630
2021-01-26,1428,630
2021-01-27,1428,630
2021-01-28,1428,630
2021-01-29,1442,637
2021-01-30,1477,651
2021-01-31,1505,658
2021-02-01,1512,665
2021-02-02,1519,665
2021-02-03,1526,672
2021-02-04,1533,672
2021-02-05,1540,679
2021-02-06,1540,679
2021-02-07,1547,679
2021-02-08,1554,679
2021-02-09,1561,686
2021-02-10,1624,721
2021-02-11,1659,728
2021-02-12,1694,749
2021-02-13,1715,763
2021-02-14,1715,770
2021-02-15,1729,770
2021-02-16,1813,812
2021-02-17,1862,826
2021-02-18,1890,840
2021-02-19,1939,868
2021-02-20,1953,882
2021-02-21,1960,882
2021-02-22,1974,889
2021-02-23,2023,917
2021-02-24,2093,945
2021-02-25,2170,959
2021-02-26,2310,1043
2021-02-27,2450,1127
2021-02-28,2492,1148
2021-03-01,2534,1169
2021-03-02,2688,1225
2021-03-03,2982,1351
2021-03-04,3388,1540
2021-03-05,3920,1771
2021-03-06,4137,1862
2021-03-07,4151,1869
2021-03-08,4228,1911
2021-03-09,4389,1967
2021-03-10,5194,2387
2021-03-11,5957,2758
2021-03-12,6706,3094
2021-03-13,7252,3346
2021-03-14,7378,3402
2021-03-15,7539,3486
2021-03-16,8344,3850
2021-03-17,9674,4536
2021-03-18,11508,5397
2021-03-19,13573,6342
2021-03-20,15470,7175
2021-03-21,16149,7483
2021-03-22,16891,7854
2021-03-23,20062,9191
2021-03-24,26537,12033
2021-03-25,34503,15792
2021-03-26,42070,19229
2021-03-27,52822,23919
2021-03-28,55937,25319
2021-03-29,59409,26992
2021-03-30,69076,31332
2021-03-31,87584,39487
2021-04-01,110208,49644
2021-04-02,120841,54446
2021-04-03,127883,57505
2021-04-04,128261,57652
2021-04-05,128744,57876
2021-04-06,135100,60704
2021-04-07,160489,71925
2021-04-08,189077,84805
2021-04-09,214452,95977
2021-04-10,251027,111713
2021-04-11,262990,116774
2021-04-12,273763,121737
2021-04-13,288911,128394
2021-04-14,308525,136920
2021-04-15,334278,148190
2021-04-16,370482,163968
2021-04-17,408604,179914
2021-04-18,423388,186095
2021-04-19,434056,190631
2021-04-20,447195,196294
2021-04-21,461370,202216
total,603225,261933
