,False,True
2020-12-30,7,0
2020-12-31,21,0
2021-01-01,21,0
2021-01-02,35,0
2021-01-03,49,0
2021-01-04,63,0
2021-01-05,154,0
2021-01-06,266,7
2021-01-07,658,14
2021-01-08,980,21
2021-01-09,1351,35
2021-01-10,1631,42
2021-01-11,1869,56
2021-01-12,1904,56
2021-01-13,1939,56
2021-01-14,1946,56
2021-01-15,1960,56
2021-01-16,1967,56
2021-01-17,1967,56
2021-01-18,1967,56
2021-01-19,1988,56
2021-01-20,1988,56
2021-01-21,1995,56
2021-01-22,1995,56
2021-01-23,1995,56
2021-01-24,1995,56
2021-01-25,2002,56
2021-01-26,2002,56
2021-01-27,2002,56
2021-01-28,2002,56
2021-01-29,2023,56
2021-01-30,2065,56
2021-01-31,2107,56
2021-02-01,2114,56
2021-02-02,2128,56
2021-02-03,2142,56
2021-02-04,2149,56
2021-02-05,2163,63
2021-02-06,2163,63
2021-02-07,2170,63
2021-02-08,2170,63
2021-02-09,2184,63
2021-02-10,2282,63
2021-02-11,2324,63
2021-02-12,2380,63
2021-02-13,2408,70
2021-02-14,2415,70
2021-02-15,2429,70
2021-02-16,2548,70
2021-02-17,2618,77
2021-02-18,2660,77
2021-02-19,2737,77
2021-02-20,2751,77
2021-02-21,2765,77
2021-02-22,2786,77
2021-02-23,2863,84
2021-02-24,2954,84
2021-02-25,3045,84
2021-02-26,3262,91
2021-02-27,3479,98
2021-02-28,3542,105
2021-03-01,3598,105
2021-03-02,3801,112
2021-03-03,4207,126
2021-03-04,4788,147
2021-03-05,5516,168
2021-03-06,5817,182
2021-03-07,5838,182
2021-03-08,5950,182
2021-03-09,6160,196
2021-03-10,7343,231
2021-03-11,8442,273
2021-03-12,9485,315
2021-03-13,10248,350
2021-03-14,10423,357
2021-03-15,10661,364
2021-03-16,11781,413
2021-03-17,13741,469
2021-03-18,16373,532
2021-03-19,19299,609
2021-03-20,21959,686
2021-03-21,22897,728
2021-03-22,23975,777
2021-03-23,28350,903
2021-03-24,37345,1218
2021-03-25,48706,1589
2021-03-26,59423,1876
2021-03-27,74452,2282
2021-03-28,78834,2422
2021-03-29,83839,2562
2021-03-30,97454,2954
2021-03-31,123354,3717
2021-04-01,155239,4613
2021-04-02,170268,5019
2021-04-03,180124,5271
2021-04-04,180635,5278
2021-04-05,181314,5299
2021-04-06,190267,5544
2021-04-07,225862,6552
2021-04-08,266252,7630
2021-04-09,301868,8554
2021-04-10,352779,9961
2021-04-11,369362,10402
2021-04-12,384685,10815
2021-04-13,405923,11375
2021-04-14,433342,12103
2021-04-15,469399,13062
2021-04-16,520009,14434
2021-04-17,572747,15771
2021-04-18,593124,16359
2021-04-19,607915,16772
2021-04-20,626241,17241
2021-04-21,645841,17745
total,841876,23282
