,False,True
2020-12-08,7,0
2020-12-09,21,0
2020-12-10,49,0
2020-12-11,70,0
2020-12-12,77,0
2020-12-13,91,0
2020-12-14,119,0
2020-12-15,224,7
2020-12-16,371,14
2020-12-17,798,35
2020-12-18,1197,49
2020-12-19,1666,70
2020-12-20,2002,84
2020-12-21,2422,98
2020-12-22,2779,112
2020-12-23,3122,119
2020-12-24,3304,133
2020-12-25,3304,133
2020-12-26,3304,133
2020-12-27,3311,133
2020-12-28,3346,133
2020-12-29,3563,147
2020-12-30,4914,217
2020-12-31,6384,280
2021-01-01,6804,287
2021-01-02,7392,322
2021-01-03,7455,322
2021-01-04,7504,322
2021-01-05,7707,336
2021-01-06,9576,434
2021-01-07,17549,798
2021-01-08,27363,1239
2021-01-09,34160,1582
2021-01-10,37366,1743
2021-01-11,39487,1841
2021-01-12,43778,2044
2021-01-13,54551,2660
2021-01-14,65443,3248
2021-01-15,79128,3906
2021-01-16,88508,4340
2021-01-17,93485,4571
2021-01-18,97020,4746
2021-01-19,120197,5971
2021-01-20,147063,7217
2021-01-21,159635,7840
2021-01-22,179550,8792
2021-01-23,199822,9814
2021-01-24,206829,10122
2021-01-25,207690,10171
2021-01-26,209034,10220
2021-01-27,212604,10388
2021-01-28,231826,11291
2021-01-29,270641,13111
2021-01-30,303555,14602
2021-01-31,324905,15512
2021-02-01,334320,15918
2021-02-02,341775,16240
2021-02-03,350700,16583
2021-02-04,356608,16863
2021-02-05,358015,16926
2021-02-06,358190,16933
2021-02-07,358309,16940
2021-02-08,358729,16961
2021-02-09,359793,16996
2021-02-10,360864,17038
2021-02-11,362439,17101
2021-02-12,363573,17136
2021-02-13,364161,17164
2021-02-14,364315,17171
2021-02-15,364371,17185
2021-02-16,364721,17192
2021-02-17,365218,17206
2021-02-18,365568,17227
2021-02-19,365785,17234
2021-02-20,365897,17241
2021-02-21,365925,17241
2021-02-22,365960,17241
2021-02-23,366135,17255
2021-02-24,366450,17276
2021-02-25,366793,17283
2021-02-26,367150,17297
2021-02-27,367353,17311
2021-02-28,367395,17318
2021-03-01,367402,17318
2021-03-02,367416,17318
2021-03-03,367437,17325
2021-03-04,367458,17325
2021-03-05,367472,17325
2021-03-06,367479,17325
2021-03-07,367486,17325
2021-03-08,367486,17325
2021-03-09,367493,17325
2021-03-10,367542,17332
2021-03-11,367619,17332
2021-03-12,367626,17332
2021-03-13,367633,17332
2021-03-14,367633,17332
2021-03-15,367640,17332
2021-03-16,367647,17332
2021-03-17,367661,17332
2021-03-18,367675,17332
2021-03-19,367689,17332
2021-03-20,367696,17332
2021-03-21,367703,17332
2021-03-22,367703,17332
2021-03-23,367724,17332
2021-03-24,367759,17339
total,827659,37695
