,False,True
2020-11-30,0,0
2020-12-01,0,0
2020-12-02,0,0
2020-12-03,0,0
2020-12-04,0,0
2020-12-05,0,0
2020-12-06,0,0
2020-12-07,0,0
2020-12-08,231,0
2020-12-09,525,0
2020-12-10,882,0
2020-12-11,1218,0
2020-12-12,1582,0
2020-12-13,1778,0
2020-12-14,2072,7
2020-12-15,2611,7
2020-12-16,3143,7
2020-12-17,3850,7
2020-12-18,4557,7
2020-12-19,5152,7
2020-12-20,5866,14
2020-12-21,6797,14
2020-12-22,7749,14
2020-12-23,8932,14
2020-12-24,9464,21
2020-12-25,9464,21
2020-12-26,9492,21
2020-12-27,9583,21
2020-12-28,9821,21
2020-12-29,10486,21
2020-12-30,12222,21
2020-12-31,13811,35
2021-01-01,14224,35
2021-01-02,14630,35
2021-01-03,14917,35
2021-01-04,15512,42
2021-01-05,16590,49
2021-01-06,18347,56
2021-01-07,21224,70
2021-01-08,25312,84
2021-01-09,30205,91
2021-01-10,31913,105
2021-01-11,34363,112
2021-01-12,37786,119
2021-01-13,42042,126
2021-01-14,48062,140
2021-01-15,55552,161
2021-01-16,62069,175
2021-01-17,65646,189
2021-01-18,69762,196
2021-01-19,79674,210
2021-01-20,95039,231
2021-01-21,114422,252
2021-01-22,147350,273
2021-01-23,189735,301
2021-01-24,206332,315
2021-01-25,221984,329
2021-01-26,244685,364
2021-01-27,270046,392
2021-01-28,314720,420
2021-01-29,376383,469
2021-01-30,457737,518
2021-01-31,508627,553
2021-02-01,555912,581
2021-02-02,620837,609
2021-02-03,715246,665
2021-02-04,819294,742
2021-02-05,920794,798
2021-02-06,1065596,910
2021-02-07,1136730,945
2021-02-08,1198029,980
2021-02-09,1274189,1043
2021-02-10,1338463,1092
2021-02-11,1402401,1148
2021-02-12,1456518,1204
2021-02-13,1504755,1267
2021-02-14,1519574,1288
2021-02-15,1531992,1316
2021-02-16,1546797,1337
2021-02-17,1563807,1379
2021-02-18,1579347,1428
2021-02-19,1592535,1484
2021-02-20,1605268,1554
2021-02-21,1610336,1596
2021-02-22,1617294,1638
2021-02-23,1630909,1785
2021-02-24,1649130,1967
2021-02-25,1670746,2212
2021-02-26,1692278,2450
2021-02-27,1708511,2674
2021-02-28,1714839,2751
2021-03-01,1719886,2814
2021-03-02,1725129,2891
2021-03-03,1732927,3017
2021-03-04,1743238,3164
2021-03-05,1753241,3283
2021-03-06,1763216,3444
2021-03-07,1766044,3486
2021-03-08,1769334,3535
2021-03-09,1773016,3584
2021-03-10,1776607,3626
2021-03-11,1779547,3675
2021-03-12,1784188,3724
2021-03-13,1789725,3822
2021-03-14,1792042,3850
2021-03-15,1795297,3906
2021-03-16,1798195,3948
2021-03-17,1801163,3983
2021-03-18,1803991,4018
2021-03-19,1806931,4067
2021-03-20,1810466,4130
2021-03-21,1811768,4165
2021-03-22,1813455,4186
2021-03-23,1815317,4228
2021-03-24,1817578,4263
2021-03-25,1819811,4305
2021-03-26,1822338,4375
2021-03-27,1825068,4452
2021-03-28,1826370,4480
2021-03-29,1827805,4494
2021-03-30,1829233,4522
2021-03-31,1830997,4571
2021-04-01,1832299,4592
2021-04-02,1832880,4606
2021-04-03,1833440,4620
2021-04-04,1833699,4620
2021-04-05,1833888,4620
2021-04-06,1834420,4634
2021-04-07,1835288,4648
2021-04-08,1836072,4662
2021-04-09,1836982,4669
2021-04-10,1837850,4683
2021-04-11,1838214,4690
2021-04-12,1838634,4690
2021-04-13,1839068,4697
2021-04-14,1839579,4704
2021-04-15,1840104,4704
2021-04-16,1840720,4711
2021-04-17,1841280,4718
2021-04-18,1841567,4725
2021-04-19,1841861,4725
2021-04-20,1842253,4732
2021-04-21,1842673,4739
total,2019815,11081
