,False,True
2020-12-29,63,0
2020-12-30,175,14
2020-12-31,294,21
2021-01-01,301,21
2021-01-02,497,42
2021-01-03,637,63
2021-01-04,861,91
2021-01-05,1162,126
2021-01-06,1540,161
2021-01-07,1946,203
2021-01-08,2345,238
2021-01-09,2639,259
2021-01-10,3038,294
2021-01-11,3206,315
2021-01-12,3325,322
2021-01-13,3381,322
2021-01-14,3430,322
2021-01-15,3458,329
2021-01-16,3486,329
2021-01-17,3500,329
2021-01-18,3507,329
2021-01-19,3528,329
2021-01-20,3549,336
2021-01-21,3584,336
2021-01-22,3591,336
2021-01-23,3605,336
2021-01-24,3619,336
2021-01-25,3626,336
2021-01-26,3633,336
2021-01-27,3640,336
2021-01-28,3668,343
2021-01-29,3738,343
2021-01-30,3808,343
2021-01-31,3892,350
2021-02-01,3948,350
2021-02-02,3997,357
2021-02-03,4074,371
2021-02-04,4165,378
2021-02-05,4242,385
2021-02-06,4263,385
2021-02-07,4305,385
2021-02-08,4333,385
2021-02-09,4403,399
2021-02-10,4515,406
2021-02-11,4676,413
2021-02-12,4830,427
2021-02-13,4928,434
2021-02-14,4977,441
2021-02-15,5047,448
2021-02-16,5264,455
2021-02-17,5516,476
2021-02-18,5726,497
2021-02-19,5936,511
2021-02-20,6041,525
2021-02-21,6111,532
2021-02-22,6286,553
2021-02-23,6545,574
2021-02-24,6965,609
2021-02-25,7483,665
2021-02-26,8197,707
2021-02-27,8827,756
2021-02-28,9114,784
2021-03-01,9387,819
2021-03-02,10010,875
2021-03-03,10962,931
2021-03-04,11641,987
2021-03-05,12929,1050
2021-03-06,13664,1099
2021-03-07,13895,1127
2021-03-08,14455,1183
2021-03-09,15288,1274
2021-03-10,16464,1393
2021-03-11,17906,1512
2021-03-12,19684,1638
2021-03-13,20762,1715
2021-03-14,21336,1750
2021-03-15,22442,1855
2021-03-16,24549,2030
2021-03-17,26635,2198
2021-03-18,29183,2422
2021-03-19,32179,2667
2021-03-20,34643,2814
2021-03-21,35945,2919
2021-03-22,37492,3073
2021-03-23,40929,3374
2021-03-24,47110,3829
2021-03-25,54425,4396
2021-03-26,62986,4991
2021-03-27,74389,5677
2021-03-28,78323,5915
2021-03-29,83153,6314
2021-03-30,93310,7000
2021-03-31,110257,7938
2021-04-01,128849,9086
2021-04-02,137571,9618
2021-04-03,144095,10038
2021-04-04,145019,10143
2021-04-05,146601,10262
2021-04-06,155442,10773
2021-04-07,181363,12061
2021-04-08,213892,13720
2021-04-09,248192,15414
2021-04-10,297213,17689
2021-04-11,311899,18438
2021-04-12,323974,19201
2021-04-13,345681,20384
2021-04-14,378791,22281
2021-04-15,425208,24717
2021-04-16,482258,27377
2021-04-17,560630,30982
2021-04-18,589211,32256
2021-04-19,614810,33523
2021-04-20,656901,35504
2021-04-21,714679,38213
total,1886654,144242
