,False,True
2020-12-29,14,0
2020-12-30,56,0
2020-12-31,77,0
2021-01-01,84,0
2021-01-02,126,0
2021-01-03,175,0
2021-01-04,259,0
2021-01-05,392,0
2021-01-06,532,0
2021-01-07,735,0
2021-01-08,966,0
2021-01-09,1092,0
2021-01-10,1295,0
2021-01-11,1393,0
2021-01-12,1463,0
2021-01-13,1477,0
2021-01-14,1498,0
2021-01-15,1512,0
2021-01-16,1526,0
2021-01-17,1533,0
2021-01-18,1533,0
2021-01-19,1547,0
2021-01-20,1561,0
2021-01-21,1575,0
2021-01-22,1582,0
2021-01-23,1589,0
2021-01-24,1589,0
2021-01-25,1596,0
2021-01-26,1596,0
2021-01-27,1596,0
2021-01-28,1610,0
2021-01-29,1638,0
2021-01-30,1673,0
2021-01-31,1701,0
2021-02-01,1722,0
2021-02-02,1736,0
2021-02-03,1771,0
2021-02-04,1820,0
2021-02-05,1855,0
2021-02-06,1862,0
2021-02-07,1869,0
2021-02-08,1869,0
2021-02-09,1918,0
2021-02-10,1988,0
2021-02-11,2058,0
2021-02-12,2121,0
2021-02-13,2184,0
2021-02-14,2205,0
2021-02-15,2247,0
2021-02-16,2317,0
2021-02-17,2415,0
2021-02-18,2562,0
2021-02-19,2646,0
2021-02-20,2709,0
2021-02-21,2744,0
2021-02-22,2807,0
2021-02-23,2954,0
2021-02-24,3213,0
2021-02-25,3430,0
2021-02-26,3710,0
2021-02-27,3976,0
2021-02-28,4116,0
2021-03-01,4235,0
2021-03-02,4466,0
2021-03-03,4753,0
2021-03-04,5005,0
2021-03-05,5313,0
2021-03-06,5474,0
2021-03-07,5586,0
2021-03-08,5831,0
2021-03-09,6167,0
2021-03-10,6678,0
2021-03-11,7280,7
2021-03-12,7910,7
2021-03-13,8260,7
2021-03-14,8463,7
2021-03-15,8841,7
2021-03-16,9520,7
2021-03-17,10451,7
2021-03-18,11543,14
2021-03-19,12628,14
2021-03-20,13384,21
2021-03-21,13825,21
2021-03-22,14567,21
2021-03-23,15834,28
2021-03-24,18032,28
2021-03-25,19964,42
2021-03-26,22393,56
2021-03-27,25452,63
2021-03-28,26411,63
2021-03-29,27965,70
2021-03-30,30660,77
2021-03-31,34258,84
2021-04-01,38241,91
2021-04-02,40852,91
2021-04-03,42350,91
2021-04-04,42833,91
2021-04-05,43428,91
2021-04-06,45346,105
2021-04-07,49686,112
2021-04-08,55566,119
2021-04-09,61768,140
2021-04-10,69930,154
2021-04-11,72156,154
2021-04-12,74788,161
2021-04-13,78925,175
2021-04-14,86898,210
2021-04-15,97321,238
2021-04-16,107772,266
2021-04-17,121359,287
2021-04-18,126217,294
2021-04-19,132125,308
2021-04-20,141820,329
2021-04-21,156534,357
total,1069432,2492
