,False,True
2020-12-01,0,0
2020-12-02,0,0
2020-12-03,0,0
2020-12-04,0,0
2020-12-05,0,0
2020-12-06,0,0
2020-12-07,0,0
2020-12-08,210,7
2020-12-09,637,35
2020-12-10,1043,70
2020-12-11,1463,98
2020-12-12,1869,126
2020-12-13,2149,147
2020-12-14,2527,168
2020-12-15,3150,217
2020-12-16,3983,266
2020-12-17,4956,343
2020-12-18,5894,413
2020-12-19,6678,455
2020-12-20,7679,525
2020-12-21,8988,609
2020-12-22,10255,686
2020-12-23,11809,777
2020-12-24,12523,798
2020-12-25,12530,798
2020-12-26,12558,798
2020-12-27,12768,812
2020-12-28,13097,833
2020-12-29,14091,910
2020-12-30,16345,1029
2020-12-31,18606,1162
2021-01-01,19180,1197
2021-01-02,19838,1239
2021-01-03,20398,1274
2021-01-04,21364,1330
2021-01-05,23177,1449
2021-01-06,25641,1575
2021-01-07,29491,1834
2021-01-08,33383,2093
2021-01-09,36519,2310
2021-01-10,38507,2436
2021-01-11,41048,2590
2021-01-12,44219,2779
2021-01-13,47873,3010
2021-01-14,51604,3241
2021-01-15,55671,3507
2021-01-16,59598,3794
2021-01-17,62405,4004
2021-01-18,65205,4193
2021-01-19,68698,4417
2021-01-20,72338,4648
2021-01-21,75495,4865
2021-01-22,78911,5110
2021-01-23,82110,5355
2021-01-24,84203,5481
2021-01-25,86373,5642
2021-01-26,88739,5831
2021-01-27,91175,5999
2021-01-28,93758,6195
2021-01-29,96586,6391
2021-01-30,98924,6594
2021-01-31,100835,6727
2021-02-01,102410,6846
2021-02-02,104300,6993
2021-02-03,106596,7147
2021-02-04,109158,7329
2021-02-05,110726,7455
2021-02-06,111853,7553
2021-02-07,112560,7609
2021-02-08,113358,7672
2021-02-09,114954,7770
2021-02-10,117565,7931
2021-02-11,122563,8239
2021-02-12,127869,8589
2021-02-13,131572,8827
2021-02-14,133602,8960
2021-02-15,135212,9065
2021-02-16,154413,10528
2021-02-17,194712,13622
2021-02-18,227444,16163
2021-02-19,250747,17955
2021-02-20,266168,19096
2021-02-21,269878,19376
2021-02-22,273119,19593
2021-02-23,300944,21595
2021-02-24,343119,24759
2021-02-25,383740,27629
2021-02-26,425810,30611
2021-02-27,454223,32718
2021-02-28,460061,33159
2021-03-01,461020,33243
2021-03-02,461993,33299
2021-03-03,464205,33502
2021-03-04,465962,33656
2021-03-05,466606,33698
2021-03-06,467390,33733
2021-03-07,467495,33733
2021-03-08,467565,33740
2021-03-09,467971,33754
2021-03-10,468685,33803
2021-03-11,469399,33838
2021-03-12,470120,33873
2021-03-13,471016,33936
2021-03-14,471149,33943
2021-03-15,471247,33950
2021-03-16,471352,33950
2021-03-17,471842,33971
2021-03-18,472318,33992
2021-03-19,472696,33999
2021-03-20,473053,34013
2021-03-21,473102,34020
2021-03-22,473193,34020
2021-03-23,473515,34027
2021-03-24,474215,34041
2021-03-25,474908,34055
2021-03-26,475531,34076
2021-03-27,476007,34083
2021-03-28,476133,34090
2021-03-29,476245,34097
2021-03-30,476476,34104
2021-03-31,476917,34125
2021-04-01,477505,34139
2021-04-02,477876,34160
2021-04-03,478051,34167
2021-04-04,478079,34167
2021-04-05,478135,34167
2021-04-06,478170,34167
2021-04-07,478345,34174
2021-04-08,478590,34181
2021-04-09,478933,34195
2021-04-10,479290,34209
2021-04-11,479451,34216
2021-04-12,479500,34223
2021-04-13,479556,34223
2021-04-14,479661,34223
2021-04-15,479815,34230
2021-04-16,480046,34244
2021-04-17,480340,34251
2021-04-18,480508,34265
2021-04-19,480564,34265
2021-04-20,480620,34265
2021-04-21,480725,34265
total,1655486,98770
