,0,1,2,3,4,5
2020-12-01,0,0,0,0,0,0
2020-12-02,0,0,0,0,0,0
2020-12-03,0,0,0,0,0,0
2020-12-04,0,0,0,0,0,0
2020-12-05,0,0,0,0,0,0
2020-12-06,0,0,0,0,0,0
2020-12-07,0,0,0,0,0,0
2020-12-08,0,35,35,42,42,42
2020-12-09,14,126,119,140,119,140
2020-12-10,14,203,210,224,210,245
2020-12-11,21,287,294,301,308,336
2020-12-12,42,343,364,406,399,427
2020-12-13,49,378,406,483,469,497
2020-12-14,56,448,476,588,539,581
2020-12-15,70,553,609,714,679,728
2020-12-16,98,700,770,882,868,917
2020-12-17,119,868,959,1092,1099,1148
2020-12-18,147,1022,1134,1295,1337,1372
2020-12-19,168,1148,1302,1449,1484,1561
2020-12-20,203,1316,1484,1673,1729,1792
2020-12-21,252,1540,1722,1974,2016,2086
2020-12-22,280,1750,1960,2261,2296,2387
2020-12-23,322,2030,2233,2597,2625,2758
2020-12-24,336,2135,2359,2737,2793,2954
2020-12-25,336,2142,2359,2737,2793,2954
2020-12-26,336,2142,2366,2744,2800,2961
2020-12-27,343,2177,2408,2786,2849,3010
2020-12-28,364,2240,2478,2856,2912,3080
2020-12-29,392,2429,2688,3066,3143,3269
2020-12-30,441,2821,3178,3570,3661,3682
2020-12-31,504,3234,3626,4081,4179,4130
2021-01-01,518,3318,3752,4228,4298,4256
2021-01-02,532,3416,3892,4389,4431,4410
2021-01-03,560,3507,4004,4508,4557,4536
2021-01-04,588,3668,4179,4732,4781,4746
2021-01-05,644,3969,4536,5145,5194,5131
2021-01-06,693,4354,4998,5705,5782,5670
2021-01-07,791,5054,5810,6538,6664,6454
2021-01-08,882,5803,6615,7378,7504,7273
2021-01-09,966,6342,7217,8099,8218,7987
2021-01-10,1008,6636,7616,8519,8680,8463
2021-01-11,1106,7070,8106,9086,9275,8988
2021-01-12,1204,7644,8743,9765,9954,9674
2021-01-13,1316,8309,9541,10584,10731,10388
2021-01-14,1414,8932,10325,11473,11550,11137
2021-01-15,1519,9590,11102,12453,12481,12019
2021-01-16,1624,10297,11893,13356,13335,12873
2021-01-17,1694,10773,12432,14028,13972,13503
2021-01-18,1757,11263,13020,14637,14616,14098
2021-01-19,1855,11872,13720,15442,15400,14819
2021-01-20,1946,12509,14518,16296,16184,15526
2021-01-21,2030,13118,15169,17017,16849,16163
2021-01-22,2107,13769,15932,17829,17577,16800
