,False,True
2020-12-01,0,0
2020-12-02,0,0
2020-12-03,0,0
2020-12-04,0,0
2020-12-05,0,0
2020-12-06,0,0
2020-12-07,0,0
2020-12-08,217,0
2020-12-09,665,0
2020-12-10,1113,7
2020-12-11,1554,7
2020-12-12,1988,7
2020-12-13,2289,7
2020-12-14,2688,7
2020-12-15,3353,14
2020-12-16,4228,14
2020-12-17,5271,28
2020-12-18,6272,42
2020-12-19,7084,49
2020-12-20,8148,56
2020-12-21,9527,70
2020-12-22,10871,70
2020-12-23,12495,84
2020-12-24,13237,91
2020-12-25,13244,91
2020-12-26,13272,91
2020-12-27,13496,91
2020-12-28,13846,91
2020-12-29,14903,98
2020-12-30,17248,119
2020-12-31,19614,154
2021-01-01,20216,168
2021-01-02,20902,168
2021-01-03,21504,175
2021-01-04,22526,175
2021-01-05,24430,196
2021-01-06,27006,217
2021-01-07,31066,259
2021-01-08,35168,308
2021-01-09,38514,322
2021-01-10,40607,336
2021-01-11,43281,357
2021-01-12,46613,385
2021-01-13,50470,406
2021-01-14,54411,434
2021-01-15,58702,476
2021-01-16,62874,518
2021-01-17,65884,532
2021-01-18,68845,560
2021-01-19,72506,609
2021-01-20,76342,644
2021-01-21,79667,693
2021-01-22,83272,749
2021-01-23,86660,805
2021-01-24,88865,819
2021-01-25,91175,840
2021-01-26,93702,875
2021-01-27,96264,910
2021-01-28,99008,945
2021-01-29,101976,1008
2021-01-30,104419,1099
2021-01-31,106435,1127
2021-02-01,108094,1162
2021-02-02,110082,1211
2021-02-03,112462,1281
2021-02-04,115122,1372
2021-02-05,116774,1407
2021-02-06,117978,1428
2021-02-07,118720,1449
2021-02-08,119532,1498
2021-02-09,121135,1589
2021-02-10,123788,1708
2021-02-11,128940,1862
2021-02-12,134449,2009
2021-02-13,138278,2121
2021-02-14,140392,2177
2021-02-15,142058,2212
2021-02-16,162155,2793
2021-02-17,204295,4046
2021-02-18,238378,5236
2021-02-19,262563,6139
2021-02-20,278558,6706
2021-02-21,282408,6853
2021-02-22,285733,6979
2021-02-23,314622,7917
2021-02-24,358260,9618
2021-02-25,399840,11522
2021-02-26,442918,13503
2021-02-27,472073,14868
2021-02-28,478051,15176
2021-03-01,478989,15274
2021-03-02,479969,15323
2021-03-03,482279,15428
2021-03-04,484078,15540
2021-03-05,484708,15596
2021-03-06,485457,15659
2021-03-07,485555,15673
2021-03-08,485632,15673
2021-03-09,486024,15708
2021-03-10,486731,15757
2021-03-11,487382,15855
2021-03-12,488075,15918
2021-03-13,488943,16009
2021-03-14,489076,16016
2021-03-15,489181,16016
2021-03-16,489286,16016
2021-03-17,489734,16079
2021-03-18,490175,16135
2021-03-19,490504,16191
2021-03-20,490819,16247
2021-03-21,490868,16254
2021-03-22,490952,16261
2021-03-23,491246,16296
2021-03-24,491890,16366
2021-03-25,492499,16464
2021-03-26,493066,16541
2021-03-27,493465,16625
2021-03-28,493577,16646
2021-03-29,493682,16653
2021-03-30,493906,16674
2021-03-31,494291,16744
2021-04-01,494844,16807
2021-04-02,495180,16856
2021-04-03,495341,16870
2021-04-04,495369,16870
2021-04-05,495418,16884
2021-04-06,495453,16884
2021-04-07,495621,16905
2021-04-08,495838,16933
2021-04-09,496160,16975
2021-04-10,496482,17017
2021-04-11,496629,17038
2021-04-12,496678,17038
2021-04-13,496734,17045
2021-04-14,496832,17059
2021-04-15,496972,17073
2021-04-16,497196,17094
2021-04-17,497469,17122
2021-04-18,497637,17136
2021-04-19,497686,17143
2021-04-20,497742,17150
2021-04-21,497833,17157
total,1682926,71330
