,False
2020-11-29,0
2020-11-30,0
2020-12-01,0
2020-12-02,0
2020-12-03,0
2020-12-04,0
2020-12-05,0
2020-12-06,0
2020-12-07,0
2020-12-08,112
2020-12-09,371
2020-12-10,609
2020-12-11,840
2020-12-12,1029
2020-12-13,1218
2020-12-14,1442
2020-12-15,1792
2020-12-16,2240
2020-12-17,2870
2020-12-18,3409
2020-12-19,3934
2020-12-20,4599
2020-12-21,5439
2020-12-22,6139
2020-12-23,7091
2020-12-24,7574
2020-12-25,7574
2020-12-26,7581
2020-12-27,7714
2020-12-28,7959
2020-12-29,8547
2020-12-30,9996
2020-12-31,11326
2021-01-01,11662
2021-01-02,12047
2021-01-03,12369
2021-01-04,12964
2021-01-05,14119
2021-01-06,15869
2021-01-07,18459
2021-01-08,21077
2021-01-09,23394
2021-01-10,24661
2021-01-11,26516
2021-01-12,28833
2021-01-13,31507
2021-01-14,34580
2021-01-15,38010
2021-01-16,40957
2021-01-17,42980
2021-01-18,45276
2021-01-19,48055
2021-01-20,50995
2021-01-21,54124
2021-01-22,57799
2021-01-23,60760
2021-01-24,62692
2021-01-25,64659
2021-01-26,67004
2021-01-27,69223
2021-01-28,71554
2021-01-29,74361
2021-01-30,76559
2021-01-31,78246
2021-02-01,79807
2021-02-02,81683
2021-02-03,83797
2021-02-04,86051
2021-02-05,88403
2021-02-06,90580
2021-02-07,92008
2021-02-08,93261
2021-02-09,95060
2021-02-10,97874
2021-02-11,101836
2021-02-12,106932
2021-02-13,112406
2021-02-14,115164
2021-02-15,118020
2021-02-16,125482
2021-02-17,136710
2021-02-18,146594
2021-02-19,155330
2021-02-20,164206
2021-02-21,168350
2021-02-22,172655
2021-02-23,181531
2021-02-24,198744
2021-02-25,220934
2021-02-26,247877
2021-02-27,270536
2021-02-28,286419
2021-03-01,302967
2021-03-02,324051
2021-03-03,351176
2021-03-04,388619
2021-03-05,425467
2021-03-06,464394
2021-03-07,484183
2021-03-08,507899
2021-03-09,529011
2021-03-10,550711
2021-03-11,571907
2021-03-12,600173
2021-03-13,636048
2021-03-14,654577
2021-03-15,674905
2021-03-16,692475
2021-03-17,707056
2021-03-18,721763
2021-03-19,737653
2021-03-20,754824
2021-03-21,761950
2021-03-22,767984
2021-03-23,773108
2021-03-24,778351
2021-03-25,783132
2021-03-26,788144
2021-03-27,794101
2021-03-28,796873
2021-03-29,799337
2021-03-30,801563
2021-03-31,803495
2021-04-01,804699
2021-04-02,805406
2021-04-03,806288
2021-04-04,806673
2021-04-05,806890
2021-04-06,807317
2021-04-07,808073
2021-04-08,808801
2021-04-09,809578
2021-04-10,810243
2021-04-11,810523
2021-04-12,810775
2021-04-13,811034
2021-04-14,811272
2021-04-15,811517
2021-04-16,811776
2021-04-17,812077
2021-04-18,812203
2021-04-19,812357
2021-04-20,812518
2021-04-21,812700
total,914284
