,F,M
2020-12-29,56,14
2020-12-30,161,42
2020-12-31,217,63
2021-01-01,231,63
2021-01-02,329,84
2021-01-03,441,126
2021-01-04,644,189
2021-01-05,931,280
2021-01-06,1344,364
2021-01-07,1764,490
2021-01-08,2177,616
2021-01-09,2471,700
2021-01-10,2877,805
2021-01-11,3073,847
2021-01-12,3185,882
2021-01-13,3220,903
2021-01-14,3248,924
2021-01-15,3290,938
2021-01-16,3311,945
2021-01-17,3325,966
2021-01-18,3332,966
2021-01-19,3346,973
2021-01-20,3367,980
2021-01-21,3388,994
2021-01-22,3409,1001
2021-01-23,3416,1008
2021-01-24,3430,1015
2021-01-25,3430,1015
2021-01-26,3430,1022
2021-01-27,3437,1022
2021-01-28,3451,1029
2021-01-29,3514,1050
2021-01-30,3570,1085
2021-01-31,3640,1113
2021-02-01,3675,1120
2021-02-02,3717,1127
2021-02-03,3801,1148
2021-02-04,3906,1183
2021-02-05,3976,1204
2021-02-06,3990,1211
2021-02-07,4004,1218
2021-02-08,4018,1225
2021-02-09,4109,1253
2021-02-10,4270,1295
2021-02-11,4403,1344
2021-02-12,4536,1379
2021-02-13,4613,1407
2021-02-14,4655,1421
2021-02-15,4732,1435
2021-02-16,4858,1477
2021-02-17,5026,1533
2021-02-18,5173,1568
2021-02-19,5327,1617
2021-02-20,5439,1638
2021-02-21,5516,1659
2021-02-22,5670,1708
2021-02-23,5901,1785
2021-02-24,6286,1911
2021-02-25,6706,2030
2021-02-26,7091,2163
2021-02-27,7420,2268
2021-02-28,7679,2345
2021-03-01,7945,2436
2021-03-02,8386,2562
2021-03-03,8932,2695
2021-03-04,9541,2835
2021-03-05,10031,2954
2021-03-06,10325,3024
2021-03-07,10521,3080
2021-03-08,11032,3220
2021-03-09,11774,3416
2021-03-10,12817,3696
2021-03-11,13874,3990
2021-03-12,14910,4284
2021-03-13,15463,4431
2021-03-14,15834,4529
2021-03-15,16583,4746
2021-03-16,17934,5096
2021-03-17,19656,5558
2021-03-18,21595,6055
2021-03-19,23247,6503
2021-03-20,24353,6832
2021-03-21,25130,7063
2021-03-22,26614,7511
2021-03-23,28693,8127
2021-03-24,31605,8932
2021-03-25,34503,9702
2021-03-26,37359,10493
2021-03-27,40187,11242
2021-03-28,41797,11655
2021-03-29,44338,12376
2021-03-30,47537,13286
2021-03-31,51058,14308
2021-04-01,54866,15456
2021-04-02,57316,16219
2021-04-03,59276,16779
2021-04-04,60207,17052
2021-04-05,61369,17430
2021-04-06,63812,18179
2021-04-07,67095,19271
2021-04-08,70462,20489
2021-04-09,73794,21574
2021-04-10,76629,22554
2021-04-11,78127,23114
2021-04-12,80241,23870
2021-04-13,82628,24738
2021-04-14,85078,25690
2021-04-15,87647,26747
2021-04-16,89894,27664
2021-04-17,92015,28546
2021-04-18,93240,29064
2021-04-19,94647,29680
2021-04-20,96138,30338
2021-04-21,97895,31311
total,594538,583373
