,False
2020-12-01,0
2020-12-02,0
2020-12-03,0
2020-12-04,0
2020-12-05,0
2020-12-06,0
2020-12-07,0
2020-12-08,203
2020-12-09,546
2020-12-10,826
2020-12-11,1127
2020-12-12,1449
2020-12-13,1680
2020-12-14,2009
2020-12-15,2576
2020-12-16,3325
2020-12-17,4207
2020-12-18,5019
2020-12-19,5733
2020-12-20,6776
2020-12-21,8078
2020-12-22,9135
2020-12-23,10514
2020-12-24,11172
2020-12-25,11172
2020-12-26,11193
2020-12-27,11403
2020-12-28,11669
2020-12-29,12502
2020-12-30,14588
2020-12-31,16646
2021-01-01,17136
2021-01-02,17717
2021-01-03,18165
2021-01-04,19040
2021-01-05,20804
2021-01-06,23219
2021-01-07,26831
2021-01-08,30303
2021-01-09,33362
2021-01-10,35154
2021-01-11,37562
2021-01-12,40551
2021-01-13,43897
2021-01-14,47523
2021-01-15,51338
2021-01-16,54943
2021-01-17,57624
2021-01-18,60256
2021-01-19,63329
2021-01-20,66633
2021-01-21,69566
2021-01-22,72247
2021-01-23,74816
2021-01-24,76538
2021-01-25,78463
2021-01-26,80430
2021-01-27,82432
2021-01-28,84511
2021-01-29,86856
2021-01-30,88662
2021-01-31,90041
2021-02-01,91252
2021-02-02,92694
2021-02-03,94318
2021-02-04,95858
2021-02-05,96985
2021-02-06,97776
2021-02-07,98308
2021-02-08,98875
2021-02-09,99778
2021-02-10,100863
2021-02-11,102375
2021-02-12,103852
2021-02-13,104783
2021-02-14,105343
2021-02-15,105847
2021-02-16,108458
2021-02-17,113183
2021-02-18,116984
2021-02-19,119924
2021-02-20,121583
2021-02-21,122101
2021-02-22,122654
2021-02-23,126210
2021-02-24,131390
2021-02-25,136717
2021-02-26,143395
2021-02-27,147476
2021-02-28,148547
2021-03-01,148967
2021-03-02,149212
2021-03-03,149513
2021-03-04,149730
2021-03-05,150199
2021-03-06,150549
2021-03-07,150731
2021-03-08,150829
2021-03-09,151270
2021-03-10,152348
2021-03-11,152887
2021-03-12,153496
2021-03-13,153853
2021-03-14,154021
2021-03-15,154154
2021-03-16,154581
2021-03-17,155071
2021-03-18,155358
2021-03-19,156009
2021-03-20,156163
2021-03-21,156275
2021-03-22,156338
2021-03-23,156674
2021-03-24,157094
total,1178597
