,False,True
2020-12-08,0,0
2020-12-09,0,7
2020-12-10,0,21
2020-12-11,7,28
2020-12-12,7,35
2020-12-13,14,35
2020-12-14,14,42
2020-12-15,21,112
2020-12-16,49,252
2020-12-17,84,378
2020-12-18,105,525
2020-12-19,126,609
2020-12-20,140,679
2020-12-21,168,756
2020-12-22,189,861
2020-12-23,245,1253
2020-12-24,329,1680
2020-12-25,329,1680
2020-12-26,329,1680
2020-12-27,329,1680
2020-12-28,329,1687
2020-12-29,441,2436
2020-12-30,1050,6510
2020-12-31,1498,9688
2021-01-01,1575,10136
2021-01-02,1617,10360
2021-01-03,1631,10444
2021-01-04,1645,10598
2021-01-05,1736,11123
2021-01-06,1876,12243
2021-01-07,2331,15330
2021-01-08,2730,17773
2021-01-09,2849,18480
2021-01-10,2891,18711
2021-01-11,2912,18865
2021-01-12,2954,19152
2021-01-13,3017,19558
2021-01-14,3073,19978
2021-01-15,3136,20363
2021-01-16,3199,20874
2021-01-17,3220,21007
2021-01-18,3248,21154
2021-01-19,3290,21420
2021-01-20,3332,21651
2021-01-21,3367,21805
2021-01-22,3402,21994
2021-01-23,3444,22218
2021-01-24,3444,22253
2021-01-25,3451,22253
2021-01-26,3451,22281
2021-01-27,3458,22295
2021-01-28,3465,22365
2021-01-29,3479,22470
2021-01-30,3507,22554
2021-01-31,3514,22617
2021-02-01,3528,22673
2021-02-02,3535,22715
2021-02-03,3549,22792
2021-02-04,3563,22862
2021-02-05,3570,22904
2021-02-06,3570,22911
2021-02-07,3577,22918
2021-02-08,3577,22932
2021-02-09,3584,22967
2021-02-10,3591,23037
2021-02-11,3598,23128
2021-02-12,3619,23240
2021-02-13,3619,23296
2021-02-14,3619,23310
2021-02-15,3619,23317
2021-02-16,3633,23380
2021-02-17,3633,23471
2021-02-18,3640,23555
2021-02-19,3647,23632
2021-02-20,3647,23688
2021-02-21,3654,23709
2021-02-22,3654,23730
2021-02-23,3661,23828
2021-02-24,3682,23989
2021-02-25,3689,24171
2021-02-26,3703,24353
2021-02-27,3717,24451
2021-02-28,3717,24479
2021-03-01,3717,24486
2021-03-02,3724,24500
2021-03-03,3724,24521
2021-03-04,3724,24542
2021-03-05,3731,24549
2021-03-06,3731,24556
2021-03-07,3731,24556
2021-03-08,3731,24556
2021-03-09,3731,24563
2021-03-10,3731,24577
2021-03-11,3738,24591
2021-03-12,3738,24619
2021-03-13,3738,24626
2021-03-14,3738,24626
2021-03-15,3738,24626
2021-03-16,3745,24675
2021-03-17,3752,24710
2021-03-18,3759,24752
2021-03-19,3766,24773
2021-03-20,3766,24780
2021-03-21,3766,24780
2021-03-22,3773,24787
2021-03-23,3773,24808
2021-03-24,3780,24857
total,16765,114520
