,F,M
2020-12-01,0,0
2020-12-02,0,0
2020-12-03,0,0
2020-12-04,0,0
2020-12-05,0,0
2020-12-06,0,0
2020-12-07,0,0
2020-12-08,294,245
2020-12-09,1043,959
2020-12-10,2002,1932
2020-12-11,2947,2793
2020-12-12,3654,3381
2020-12-13,4270,3941
2020-12-14,5243,4886
2020-12-15,16205,15134
2020-12-16,35007,31430
2020-12-17,52290,45591
2020-12-18,63301,54852
2020-12-19,76944,66087
2020-12-20,88963,75922
2020-12-21,96145,81767
2020-12-22,109375,92743
2020-12-23,118846,100478
2020-12-24,121009,102116
2020-12-25,121009,102116
2020-12-26,121009,102123
2020-12-27,121114,102200
2020-12-28,121380,102410
2020-12-29,125713,105980
2020-12-30,136535,114611
2020-12-31,144403,120533
2021-01-01,145866,121625
2021-01-02,147182,122661
2021-01-03,148064,123298
2021-01-04,148834,123907
2021-01-05,150549,125237
2021-01-06,154714,128513
2021-01-07,173614,143528
2021-01-08,195909,160720
2021-01-09,215033,175105
2021-01-10,223804,181769
2021-01-11,227381,184639
2021-01-12,238455,192647
2021-01-13,256977,206794
2021-01-14,274295,220689
2021-01-15,297094,238798
2021-01-16,325416,260001
2021-01-17,337771,269437
2021-01-18,342006,272797
2021-01-19,360661,287455
2021-01-20,381346,303373
2021-01-21,391692,311241
2021-01-22,403704,320194
2021-01-23,413014,326830
2021-01-24,415583,328776
2021-01-25,415779,328916
2021-01-26,415975,329077
2021-01-27,416535,329539
2021-01-28,419272,331639
2021-01-29,422912,334250
2021-01-30,425852,336140
2021-01-31,427280,337127
2021-02-01,427994,337610
2021-02-02,428477,337967
2021-02-03,429107,338408
2021-02-04,429653,338723
2021-02-05,429821,338828
2021-02-06,429849,338849
2021-02-07,429870,338870
2021-02-08,429919,338905
2021-02-09,430073,339010
2021-02-10,430262,339143
2021-02-11,430514,339318
2021-02-12,430766,339472
2021-02-13,430913,339563
2021-02-14,430955,339591
2021-02-15,430969,339612
2021-02-16,431095,339682
2021-02-17,431228,339787
2021-02-18,431347,339857
2021-02-19,431445,339906
2021-02-20,431508,339941
2021-02-21,431522,339955
2021-02-22,431550,339969
2021-02-23,431627,340039
2021-02-24,431774,340144
2021-02-25,431921,340235
2021-02-26,432096,340347
2021-02-27,432208,340403
2021-02-28,432236,340424
2021-03-01,432243,340424
2021-03-02,432264,340438
2021-03-03,432355,340487
2021-03-04,432369,340501
2021-03-05,432390,340508
2021-03-06,432397,340515
2021-03-07,432404,340529
2021-03-08,432411,340529
2021-03-09,432572,340641
2021-03-10,432684,340704
2021-03-11,432726,340718
2021-03-12,432768,340739
2021-03-13,432775,340746
2021-03-14,432775,340746
2021-03-15,432782,340746
2021-03-16,432810,340767
2021-03-17,432859,340795
2021-03-18,432901,340809
2021-03-19,432929,340837
2021-03-20,432950,340851
2021-03-21,432950,340851
2021-03-22,432964,340858
2021-03-23,433006,340886
2021-03-24,433062,340928
total,644049,470694
