,False,True
2020-12-29,77,0
2020-12-30,217,0
2020-12-31,343,0
2021-01-01,357,0
2021-01-02,553,0
2021-01-03,777,0
2021-01-04,1127,0
2021-01-05,1568,7
2021-01-06,2121,7
2021-01-07,2751,14
2021-01-08,3381,21
2021-01-09,3717,28
2021-01-10,4235,28
2021-01-11,4487,28
2021-01-12,4627,28
2021-01-13,4697,28
2021-01-14,4767,28
2021-01-15,4816,28
2021-01-16,4851,28
2021-01-17,4879,28
2021-01-18,4893,28
2021-01-19,4928,28
2021-01-20,4970,28
2021-01-21,5012,28
2021-01-22,5047,28
2021-01-23,5075,28
2021-01-24,5089,28
2021-01-25,5103,28
2021-01-26,5110,28
2021-01-27,5124,28
2021-01-28,5145,28
2021-01-29,5215,28
2021-01-30,5292,28
2021-01-31,5383,28
2021-02-01,5453,28
2021-02-02,5523,28
2021-02-03,5621,28
2021-02-04,5747,28
2021-02-05,5852,28
2021-02-06,5873,28
2021-02-07,5880,28
2021-02-08,5915,28
2021-02-09,6034,28
2021-02-10,6216,28
2021-02-11,6405,35
2021-02-12,6573,35
2021-02-13,6692,35
2021-02-14,6727,35
2021-02-15,6818,35
2021-02-16,6986,35
2021-02-17,7210,42
2021-02-18,7406,42
2021-02-19,7602,42
2021-02-20,7742,42
2021-02-21,7875,42
2021-02-22,8127,42
2021-02-23,8498,49
2021-02-24,9016,49
2021-02-25,9646,56
2021-02-26,10297,56
2021-02-27,10878,63
2021-02-28,11249,70
2021-03-01,11662,70
2021-03-02,12327,70
2021-03-03,13167,84
2021-03-04,13909,91
2021-03-05,14623,98
2021-03-06,15155,98
2021-03-07,15512,105
2021-03-08,16275,112
2021-03-09,17437,126
2021-03-10,18998,140
2021-03-11,20650,161
2021-03-12,22127,175
2021-03-13,22995,182
2021-03-14,23562,189
2021-03-15,24752,203
2021-03-16,26691,217
2021-03-17,29211,266
2021-03-18,32095,336
2021-03-19,34699,392
2021-03-20,36449,413
2021-03-21,37653,434
2021-03-22,39865,455
2021-03-23,42980,490
2021-03-24,46893,567
2021-03-25,46893,567
total,1672510,70728
