,F,M
2020-12-29,56,14
2020-12-30,161,42
2020-12-31,217,63
2021-01-01,231,63
2021-01-02,336,84
2021-01-03,441,126
2021-01-04,651,189
2021-01-05,931,280
2021-01-06,1344,364
2021-01-07,1764,490
2021-01-08,2184,609
2021-01-09,2478,700
2021-01-10,2877,805
2021-01-11,3073,847
2021-01-12,3185,882
2021-01-13,3220,903
2021-01-14,3248,917
2021-01-15,3290,931
2021-01-16,3311,945
2021-01-17,3325,959
2021-01-18,3332,959
2021-01-19,3346,966
2021-01-20,3367,980
2021-01-21,3388,987
2021-01-22,3409,1001
2021-01-23,3416,1008
2021-01-24,3430,1015
2021-01-25,3430,1015
2021-01-26,3430,1015
2021-01-27,3437,1022
2021-01-28,3451,1029
2021-01-29,3514,1050
2021-01-30,3570,1078
2021-01-31,3640,1106
2021-02-01,3675,1120
2021-02-02,3717,1127
2021-02-03,3801,1148
2021-02-04,3906,1176
2021-02-05,3976,1197
2021-02-06,3983,1204
2021-02-07,3997,1211
2021-02-08,4018,1218
2021-02-09,4109,1253
2021-02-10,4263,1288
2021-02-11,4396,1330
2021-02-12,4529,1372
2021-02-13,4606,1400
2021-02-14,4648,1414
2021-02-15,4725,1428
2021-02-16,4851,1470
2021-02-17,5019,1526
2021-02-18,5166,1554
2021-02-19,5320,1610
2021-02-20,5432,1631
2021-02-21,5509,1652
2021-02-22,5663,1694
2021-02-23,5894,1771
2021-02-24,6272,1904
2021-02-25,6692,2023
2021-02-26,7077,2149
2021-02-27,7406,2261
2021-02-28,7658,2338
2021-03-01,7931,2429
2021-03-02,8365,2548
2021-03-03,8911,2688
2021-03-04,9513,2828
2021-03-05,10003,2947
2021-03-06,10290,3017
2021-03-07,10486,3066
2021-03-08,10997,3213
2021-03-09,11739,3402
2021-03-10,12782,3675
2021-03-11,13832,3969
2021-03-12,14854,4263
2021-03-13,15414,4410
2021-03-14,15778,4508
2021-03-15,16527,4725
2021-03-16,17871,5075
2021-03-17,19586,5530
2021-03-18,21497,6013
2021-03-19,23128,6447
2021-03-20,24220,6776
2021-03-21,24990,7014
2021-03-22,26432,7441
2021-03-23,28420,8043
2021-03-24,30989,8757
total,594930,583667
