,1,2,3,4,5,6
2020-12-08,0,0,0,0,0,0
2020-12-09,0,0,0,0,0,0
2020-12-10,14,0,0,0,0,7
2020-12-11,21,0,0,0,0,14
2020-12-12,21,0,0,0,0,14
2020-12-13,28,0,0,0,0,14
2020-12-14,28,0,0,0,0,21
2020-12-15,70,0,0,0,0,49
2020-12-16,168,0,0,0,0,98
2020-12-17,259,0,0,0,0,154
2020-12-18,357,0,7,0,0,217
2020-12-19,413,0,7,0,0,245
2020-12-20,462,0,7,0,0,273
2020-12-21,532,0,7,0,0,301
2020-12-22,616,0,7,0,0,336
2020-12-23,910,0,7,0,0,476
2020-12-24,1239,0,14,0,0,658
2020-12-25,1239,0,14,0,0,658
2020-12-26,1239,0,14,0,0,658
2020-12-27,1239,0,14,0,0,658
2020-12-28,1239,0,14,0,0,658
2020-12-29,1778,0,21,0,7,994
2020-12-30,4536,14,42,7,21,2891
2020-12-31,6734,14,42,14,35,4284
2021-01-01,7084,14,42,14,35,4466
2021-01-02,7238,14,49,14,35,4578
2021-01-03,7280,14,49,14,35,4634
2021-01-04,7364,14,49,14,35,4711
2021-01-05,7714,21,56,14,35,4984
2021-01-06,8463,21,63,21,42,5488
2021-01-07,10864,28,84,35,49,6909
2021-01-08,14203,42,112,56,63,8855
2021-01-09,16422,49,133,63,70,10164
2021-01-10,16954,49,140,70,77,10535
2021-01-11,18872,56,154,91,91,11963
2021-01-12,21994,70,168,112,98,13993
2021-01-13,24941,77,210,133,112,15946
2021-01-14,28490,91,238,168,140,18130
2021-01-15,33341,112,308,210,161,20972
2021-01-16,36281,126,385,224,175,22876
2021-01-17,37380,133,399,231,175,23653
2021-01-18,39809,140,420,252,196,25207
2021-01-19,42084,147,483,266,196,26684
2021-01-20,44121,154,532,287,203,27965
2021-01-21,47229,175,588,322,217,29701
2021-01-22,52297,189,658,364,238,33103
2021-01-23,54026,196,686,378,252,34041
2021-01-24,54635,203,693,385,259,34384
2021-01-25,55104,203,707,392,266,34615
2021-01-26,55755,210,714,399,273,34979
2021-01-27,56343,210,728,413,273,35329
2021-01-28,56994,217,749,420,273,35637
2021-01-29,57694,224,770,441,280,36001
2021-01-30,57967,224,777,448,280,36176
2021-01-31,58086,224,777,448,287,36232
2021-02-01,58401,231,784,455,287,36421
2021-02-02,58807,231,791,462,287,36638
2021-02-03,59353,238,798,469,287,36932
2021-02-04,59948,245,812,476,287,37310
2021-02-05,60571,252,826,483,301,37681
2021-02-06,60949,252,833,490,301,37835
2021-02-07,61089,252,833,490,301,37898
2021-02-08,61467,259,840,497,301,38066
2021-02-09,61971,266,847,504,308,38332
2021-02-10,62776,266,861,511,308,38682
2021-02-11,63651,280,882,525,315,39116
2021-02-12,64561,294,910,539,315,39543
2021-02-13,64932,294,910,546,315,39725
2021-02-14,65009,301,917,546,315,39774
2021-02-15,65401,301,924,553,322,40033
2021-02-16,65821,308,938,553,322,40222
2021-02-17,66241,308,952,560,322,40467
2021-02-18,66689,315,959,567,322,40719
2021-02-19,67165,322,966,567,329,40950
2021-02-20,67410,322,973,574,329,41034
2021-02-21,67466,322,973,574,329,41048
2021-02-22,67592,322,980,581,329,41118
2021-02-23,67865,329,994,581,336,41293
2021-02-24,68362,336,1008,588,336,41468
2021-02-25,68789,336,1015,595,336,41664
2021-02-26,69181,343,1029,602,343,41860
2021-02-27,69412,343,1036,609,343,41951
2021-02-28,69496,343,1043,616,343,41979
2021-03-01,69650,350,1050,616,343,42105
2021-03-02,69888,357,1057,623,343,42210
2021-03-03,70189,357,1064,623,350,42329
2021-03-04,70539,364,1071,630,350,42497
2021-03-05,70903,371,1085,637,357,42693
2021-03-06,71127,378,1085,644,357,42770
2021-03-07,71176,378,1092,644,364,42784
2021-03-08,71316,378,1092,644,364,42840
2021-03-09,71456,378,1099,651,364,42903
2021-03-10,71610,385,1099,658,364,42966
total,80248,539,1498,952,469,47278
