,0,1,2,3,4,5
2020-12-01,0,0,0,0,0,0
2020-12-02,0,0,0,0,0,0
2020-12-03,0,0,0,0,0,0
2020-12-04,0,0,0,0,0,0
2020-12-05,0,0,0,0,0,0
2020-12-06,0,0,0,0,0,0
2020-12-07,0,0,0,0,0,0
2020-12-08,0,35,35,42,42,42
2020-12-09,14,126,119,140,119,133
2020-12-10,21,203,203,224,203,245
2020-12-11,28,280,287,301,301,343
2020-12-12,42,343,357,406,392,434
2020-12-13,49,378,399,476,462,504
2020-12-14,56,448,476,581,532,588
2020-12-15,70,553,609,707,672,721
2020-12-16,91,693,763,882,854,917
2020-12-17,112,861,945,1085,1085,1148
2020-12-18,140,1015,1120,1288,1316,1365
2020-12-19,161,1141,1281,1442,1463,1561
2020-12-20,196,1302,1463,1666,1701,1785
2020-12-21,238,1526,1701,1960,1988,2086
2020-12-22,273,1729,1932,2247,2261,2380
2020-12-23,315,2002,2212,2562,2590,2744
2020-12-24,329,2114,2338,2695,2751,2940
2020-12-25,329,2114,2338,2695,2751,2940
2020-12-26,329,2114,2345,2695,2758,2947
2020-12-27,336,2142,2387,2737,2814,3003
2020-12-28,350,2205,2450,2807,2877,3066
2020-12-29,378,2394,2667,3024,3101,3248
2020-12-30,427,2779,3150,3521,3612,3661
2020-12-31,483,3192,3591,4025,4123,4109
2021-01-01,497,3276,3717,4172,4249,4235
2021-01-02,511,3381,3857,4326,4375,4389
2021-01-03,539,3465,3976,4445,4501,4515
2021-01-04,567,3633,4151,4669,4725,4732
2021-01-05,616,3927,4515,5089,5145,5131
2021-01-06,672,4312,4998,5663,5754,5677
2021-01-07,770,5026,5838,6503,6636,6475
2021-01-08,868,5859,6755,7448,7546,7378
2021-01-09,959,6475,7476,8295,8386,8190
2021-01-10,1015,6825,7924,8771,8904,8708
2021-01-11,1134,7392,8547,9492,9625,9380
2021-01-12,1260,8162,9422,10353,10472,10213
2021-01-13,1400,9023,10437,11354,11445,11074
2021-01-14,1533,9947,11466,12488,12481,11991
2021-01-15,1666,10941,12628,13853,13699,13125
2021-01-16,1799,11900,13678,14966,14763,14161
2021-01-17,1869,12453,14280,15757,15484,14882
2021-01-18,1960,13160,15078,16576,16310,15638
2021-01-19,2079,13972,15995,17633,17276,16513
2021-01-20,2198,14959,17073,18795,18326,17465
2021-01-21,2324,16051,18165,19978,19418,18445
2021-01-22,2471,17304,19502,21434,20776,19635
2021-01-23,2611,18242,20538,22680,21875,20692
2021-01-24,2674,18816,21161,23394,22540,21287
2021-01-25,2772,19516,21924,24241,23338,21966
2021-01-26,2877,20391,22932,25193,24234,22729
2021-01-27,2982,21203,23835,26159,25074,23422
2021-01-28,3087,22099,24850,27146,26012,24185
2021-01-29,3206,23100,25977,28224,27097,25116
2021-01-30,3318,23926,26817,29183,27979,25886
2021-01-31,3409,24465,27384,29848,28609,26453
2021-02-01,3472,25046,27986,30506,29162,26950
2021-02-02,3535,25725,28770,31262,29848,27538
2021-02-03,3640,26537,29617,32151,30611,28140
2021-02-04,3759,27538,30667,33180,31563,28945
2021-02-05,3850,28546,31696,34216,32445,29722
2021-02-06,3983,29526,32767,35364,33369,30562
2021-02-07,4039,30037,33383,35973,33894,31003
2021-02-08,4095,30681,34020,36582,34419,31451
2021-02-09,4193,31682,34937,37450,35266,32074
2021-02-10,4347,33096,36218,38787,36421,33012
2021-02-11,4585,35161,38129,40712,38136,34440
2021-02-12,4872,37716,40831,43701,40943,36757
2021-02-13,5145,40264,43617,47019,43918,39529
2021-02-14,5285,41496,45115,48853,45584,41111
2021-02-15,5460,43456,46970,50701,47264,42511
2021-02-16,6090,49588,52738,56882,53102,47649
2021-02-17,7420,60585,63679,69083,63784,57477
2021-02-18,8575,70273,74018,80829,75215,66689
2021-02-19,9345,78428,82362,89943,83020,73619
2021-02-20,10220,85736,89719,98658,91749,82901
2021-02-21,10500,88578,92246,101647,94031,85211
2021-02-22,10801,92428,95249,104909,96845,87710
2021-02-23,11648,100625,103726,114065,106218,95690
2021-02-24,12775,112189,115353,127078,118321,106351
2021-02-25,14098,123781,127022,140756,131516,117789
2021-02-26,15435,135520,139426,154588,144809,130025
2021-02-27,16597,145047,148876,164815,154182,140028
2021-02-28,16975,148225,152432,168336,156485,142646
2021-03-01,17276,150570,154854,170870,158543,144823
2021-03-02,17542,153580,157752,173915,161182,147364
2021-03-03,18221,158809,163373,179886,166817,151690
2021-03-04,19173,166040,170800,188013,174573,158963
2021-03-05,20034,174055,179018,197302,183372,166341
2021-03-06,21070,183526,187502,206815,192248,175175
2021-03-07,21315,186137,189560,209041,194194,177219
2021-03-08,21609,189203,192094,211652,196693,179137
2021-03-09,22043,192717,195195,214522,199010,181034
2021-03-10,22309,195678,198212,217777,201810,184261
total,38990,391237,354270,353507,317779,280273
