,False,True
2020-12-08,0,0
2020-12-09,7,0
2020-12-10,28,0
2020-12-11,35,0
2020-12-12,42,0
2020-12-13,49,0
2020-12-14,49,0
2020-12-15,126,0
2020-12-16,273,0
2020-12-17,420,0
2020-12-18,581,0
2020-12-19,679,0
2020-12-20,756,0
2020-12-21,854,0
2020-12-22,973,0
2020-12-23,1407,0
2020-12-24,1925,0
2020-12-25,1925,0
2020-12-26,1925,0
2020-12-27,1925,0
2020-12-28,1925,0
2020-12-29,2800,0
2020-12-30,7504,0
2020-12-31,11116,0
2021-01-01,11655,0
2021-01-02,11921,0
2021-01-03,12019,0
2021-01-04,12187,0
2021-01-05,12810,0
2021-01-06,14070,7
2021-01-07,17633,7
2021-01-08,20482,7
2021-01-09,21308,7
2021-01-10,21581,7
2021-01-11,21749,7
2021-01-12,22078,7
2021-01-13,22533,7
2021-01-14,23002,7
2021-01-15,23436,7
2021-01-16,24003,7
2021-01-17,24150,7
2021-01-18,24325,7
2021-01-19,24619,7
2021-01-20,24878,7
2021-01-21,25060,7
2021-01-22,25277,7
2021-01-23,25536,7
2021-01-24,25571,7
2021-01-25,25578,7
2021-01-26,25606,7
2021-01-27,25627,7
2021-01-28,25697,7
2021-01-29,25816,7
2021-01-30,25914,7
2021-01-31,25977,7
2021-02-01,26040,7
2021-02-02,26089,7
2021-02-03,26180,7
2021-02-04,26264,7
2021-02-05,26320,7
2021-02-06,26327,7
2021-02-07,26334,7
2021-02-08,26348,7
2021-02-09,26390,7
2021-02-10,26474,7
2021-02-11,26572,7
2021-02-12,26698,7
2021-02-13,26754,7
2021-02-14,26768,7
2021-02-15,26775,7
2021-02-16,26852,7
2021-02-17,26950,7
2021-02-18,27041,7
2021-02-19,27118,7
2021-02-20,27174,7
2021-02-21,27202,7
2021-02-22,27223,7
2021-02-23,27328,7
2021-02-24,27503,7
2021-02-25,27699,7
2021-02-26,27888,7
2021-02-27,27993,7
2021-02-28,28028,7
2021-03-01,28035,7
2021-03-02,28049,7
2021-03-03,28070,7
2021-03-04,28091,7
2021-03-05,28098,7
2021-03-06,28112,7
2021-03-07,28112,7
2021-03-08,28112,7
2021-03-09,28112,7
2021-03-10,28126,7
total,130914,77
