,False,True
2020-12-01,0,0
2020-12-02,0,0
2020-12-03,0,0
2020-12-04,0,0
2020-12-05,0,0
2020-12-06,0,0
2020-12-07,0,0
2020-12-08,259,273
2020-12-09,1078,924
2020-12-10,2177,1750
2020-12-11,3206,2548
2020-12-12,3962,3080
2020-12-13,4662,3556
2020-12-14,5782,4361
2020-12-15,17640,13755
2020-12-16,37121,29428
2020-12-17,54859,43190
2020-12-18,66339,52017
2020-12-19,80556,62804
2020-12-20,92918,72359
2020-12-21,100471,77861
2020-12-22,113827,88753
2020-12-23,123291,96523
2020-12-24,125447,98175
2020-12-25,125447,98175
2020-12-26,125447,98175
2020-12-27,125559,98252
2020-12-28,125832,98448
2020-12-29,130235,101955
2020-12-30,141351,110341
2020-12-31,149177,116333
2021-01-01,150675,117383
2021-01-02,152068,118349
2021-01-03,152957,118979
2021-01-04,153734,119581
2021-01-05,155491,120876
2021-01-06,159838,124005
2021-01-07,179151,138663
2021-01-08,201866,155470
2021-01-09,221123,169729
2021-01-10,230090,176127
2021-01-11,233849,178829
2021-01-12,245126,186634
2021-01-13,264397,200102
2021-01-14,282527,213234
2021-01-15,306047,230629
2021-01-16,334796,251482
2021-01-17,347326,260785
2021-01-18,351743,264005
2021-01-19,371546,277564
2021-01-20,393099,292621
2021-01-21,403851,300104
2021-01-22,416346,308595
2021-01-23,425838,315063
2021-01-24,428519,316897
2021-01-25,428722,317037
2021-01-26,428925,317191
2021-01-27,429485,317653
2021-01-28,432376,319606
2021-01-29,436121,322105
2021-01-30,439061,324002
2021-01-31,440517,324961
2021-02-01,441245,325430
2021-02-02,441756,325759
2021-02-03,442421,326165
2021-02-04,442932,326529
2021-02-05,443079,326648
2021-02-06,443107,326669
2021-02-07,443128,326683
2021-02-08,443170,326725
2021-02-09,443317,326844
2021-02-10,443513,326970
2021-02-11,443758,327152
2021-02-12,443989,327327
2021-02-13,444136,327418
2021-02-14,444185,327439
2021-02-15,444206,327460
2021-02-16,444325,327530
2021-02-17,444472,327621
2021-02-18,444591,327698
2021-02-19,444682,327747
2021-02-20,444745,327789
2021-02-21,444759,327810
2021-02-22,444780,327824
2021-02-23,444871,327880
2021-02-24,445032,327978
2021-02-25,445172,328083
2021-02-26,445333,328195
2021-02-27,445445,328258
2021-02-28,445473,328279
2021-03-01,445480,328286
2021-03-02,445501,328300
2021-03-03,445592,328349
2021-03-04,445613,328363
2021-03-05,445634,328370
2021-03-06,445648,328377
2021-03-07,445648,328391
2021-03-08,445655,328398
2021-03-09,445802,328517
2021-03-10,445893,328594
total,643811,475846
