,False,True
2020-12-08,7,0
2020-12-09,21,0
2020-12-10,49,0
2020-12-11,63,0
2020-12-12,70,7
2020-12-13,84,7
2020-12-14,112,7
2020-12-15,203,35
2020-12-16,315,70
2020-12-17,665,175
2020-12-18,973,280
2020-12-19,1351,385
2020-12-20,1624,455
2020-12-21,1960,560
2020-12-22,2247,644
2020-12-23,2506,735
2020-12-24,2653,784
2020-12-25,2653,784
2020-12-26,2653,784
2020-12-27,2660,784
2020-12-28,2695,784
2020-12-29,2870,833
2020-12-30,3948,1183
2020-12-31,5201,1463
2021-01-01,5558,1533
2021-01-02,6062,1652
2021-01-03,6111,1659
2021-01-04,6153,1673
2021-01-05,6321,1715
2021-01-06,7903,2107
2021-01-07,14616,3731
2021-01-08,22750,5838
2021-01-09,28476,7252
2021-01-10,31150,7945
2021-01-11,32956,8351
2021-01-12,36568,9240
2021-01-13,45780,11410
2021-01-14,55167,13510
2021-01-15,66941,16100
2021-01-16,74991,17871
2021-01-17,79247,18823
2021-01-18,82243,19537
2021-01-19,102011,24164
2021-01-20,124880,29407
2021-01-21,135674,31808
2021-01-22,152495,35854
2021-01-23,169841,39802
2021-01-24,175833,41132
2021-01-25,176554,41314
2021-01-26,177632,41629
2021-01-27,180684,42315
2021-01-28,197274,45780
2021-01-29,230930,52773
2021-01-30,259399,58660
2021-01-31,278012,62328
2021-02-01,286104,64050
2021-02-02,292446,65506
2021-02-03,300118,67095
2021-02-04,305207,68208
2021-02-05,306418,68460
2021-02-06,306558,68502
2021-02-07,306642,68544
2021-02-08,306999,68621
2021-02-09,307888,68838
2021-02-10,308770,69069
2021-02-11,310100,69370
2021-02-12,311066,69573
2021-02-13,311563,69692
2021-02-14,311696,69720
2021-02-15,311752,69734
2021-02-16,312039,69811
2021-02-17,312438,69916
2021-02-18,312739,69993
2021-02-19,312907,70042
2021-02-20,313005,70070
2021-02-21,313026,70070
2021-02-22,313054,70077
2021-02-23,313201,70119
2021-02-24,313453,70203
2021-02-25,313740,70273
2021-02-26,314020,70364
2021-02-27,314195,70406
2021-02-28,314223,70420
2021-03-01,314237,70420
2021-03-02,314244,70427
2021-03-03,314265,70427
2021-03-04,314279,70434
2021-03-05,314293,70434
2021-03-06,314300,70434
2021-03-07,314307,70434
2021-03-08,314307,70434
2021-03-09,314314,70441
2021-03-10,314356,70441
total,706461,160083
