,False,True
2020-11-30,0,0
2020-12-01,0,0
2020-12-02,0,0
2020-12-03,0,0
2020-12-04,0,0
2020-12-05,0,0
2020-12-06,0,0
2020-12-07,0,0
2020-12-08,0,0
2020-12-09,0,0
2020-12-10,0,0
2020-12-11,0,0
2020-12-12,0,0
2020-12-13,0,0
2020-12-14,0,0
2020-12-15,0,0
2020-12-16,0,0
2020-12-17,0,0
2020-12-18,0,0
2020-12-19,0,0
2020-12-20,0,0
2020-12-21,0,0
2020-12-22,0,0
2020-12-23,0,0
2020-12-24,0,0
2020-12-25,0,0
2020-12-26,0,0
2020-12-27,0,0
2020-12-28,0,0
2020-12-29,7,0
2020-12-30,7,0
2020-12-31,14,0
2021-01-01,42,0
2021-01-02,56,7
2021-01-03,56,7
2021-01-04,91,7
2021-01-05,112,14
2021-01-06,147,14
2021-01-07,259,35
2021-01-08,581,77
2021-01-09,1078,147
2021-01-10,1274,175
2021-01-11,1792,245
2021-01-12,2513,350
2021-01-13,3318,483
2021-01-14,4389,658
2021-01-15,5901,924
2021-01-16,8064,1253
2021-01-17,8449,1316
2021-01-18,9660,1533
2021-01-19,11529,1820
2021-01-20,15001,2436
2021-01-21,22687,3934
2021-01-22,36687,6433
2021-01-23,53242,9121
2021-01-24,59626,10157
2021-01-25,70399,11823
2021-01-26,86079,14616
2021-01-27,102795,17549
2021-01-28,124726,21987
2021-01-29,146867,25753
2021-01-30,184793,32123
2021-01-31,200018,34328
2021-02-01,223923,37842
2021-02-02,257166,42819
2021-02-03,287945,47124
2021-02-04,334943,54838
2021-02-05,406203,66073
2021-02-06,526386,85449
2021-02-07,586110,94234
2021-02-08,635943,102151
2021-02-09,685986,110145
2021-02-10,723989,116872
2021-02-11,754187,122822
2021-02-12,784637,128618
2021-02-13,818874,134771
2021-02-14,829605,136402
2021-02-15,839104,138040
2021-02-16,846195,139174
2021-02-17,852390,140168
2021-02-18,859166,140966
2021-02-19,865186,141771
2021-02-20,872809,142639
2021-02-21,876540,142940
2021-02-22,881699,143395
2021-02-23,887586,143969
2021-02-24,893816,144634
2021-02-25,904022,145369
2021-02-26,912471,146055
2021-02-27,920507,146650
2021-02-28,924833,146888
2021-03-01,929390,147168
2021-03-02,934010,147532
2021-03-03,940793,148043
2021-03-04,949984,148799
2021-03-05,958860,149534
2021-03-06,967876,150178
2021-03-07,970347,150346
2021-03-08,973308,150598
2021-03-09,976444,150920
2021-03-10,979118,151165
total,1768242,253631
