,False,True
2020-12-08,56,0
2020-12-09,161,0
2020-12-10,266,0
2020-12-11,385,7
2020-12-12,476,14
2020-12-13,553,14
2020-12-14,658,14
2020-12-15,868,21
2020-12-16,1085,28
2020-12-17,1372,35
2020-12-18,1680,42
2020-12-19,1988,49
2020-12-20,2324,56
2020-12-21,2723,70
2020-12-22,3115,77
2020-12-23,3605,91
2020-12-24,3843,98
2020-12-25,3843,98
2020-12-26,3850,98
2020-12-27,3913,98
2020-12-28,4018,105
2020-12-29,4340,112
2020-12-30,5103,140
2020-12-31,5887,168
2021-01-01,6055,168
2021-01-02,6230,168
2021-01-03,6356,175
2021-01-04,6622,182
2021-01-05,7119,196
2021-01-06,7903,217
2021-01-07,9205,259
2021-01-08,10542,294
2021-01-09,11718,336
2021-01-10,12313,357
2021-01-11,12943,371
2021-01-12,13811,399
2021-01-13,14917,434
2021-01-14,16254,469
2021-01-15,17745,518
2021-01-16,19096,553
2021-01-17,20069,581
2021-01-18,20923,609
2021-01-19,22288,637
2021-01-20,23849,693
2021-01-21,25389,756
2021-01-22,27503,826
2021-01-23,29484,889
2021-01-24,30702,924
2021-01-25,31542,945
2021-01-26,32368,959
2021-01-27,33257,987
2021-01-28,35357,1057
2021-01-29,37933,1148
2021-01-30,39662,1204
2021-01-31,42490,1302
2021-02-01,46515,1491
2021-02-02,50456,1631
2021-02-03,55699,1820
2021-02-04,59682,1981
2021-02-05,62202,2093
2021-02-06,64575,2177
2021-02-07,65555,2205
2021-02-08,67284,2261
2021-02-09,81270,2758
2021-02-10,100415,3346
2021-02-11,132181,4319
2021-02-12,164780,5334
2021-02-13,186361,6034
2021-02-14,194166,6272
2021-02-15,199276,6496
2021-02-16,218820,7168
2021-02-17,247079,8120
2021-02-18,262836,8617
2021-02-19,272272,8925
2021-02-20,277473,9079
2021-02-21,278306,9100
2021-02-22,279426,9149
2021-02-23,284977,9317
2021-02-24,295190,9653
2021-02-25,303240,9933
2021-02-26,311808,10234
2021-02-27,316792,10409
2021-02-28,318458,10472
2021-03-01,318619,10479
2021-03-02,318906,10493
2021-03-03,319270,10500
2021-03-04,319473,10514
2021-03-05,319550,10514
2021-03-06,319592,10514
2021-03-07,319620,10514
2021-03-08,319641,10514
2021-03-09,319683,10521
2021-03-10,319760,10528
total,1040851,32452
