,False,True
2020-12-29,70,0
2020-12-30,196,14
2020-12-31,315,21
2021-01-01,329,21
2021-01-02,518,28
2021-01-03,735,42
2021-01-04,1057,63
2021-01-05,1463,91
2021-01-06,1974,126
2021-01-07,2576,161
2021-01-08,3171,196
2021-01-09,3486,217
2021-01-10,3983,245
2021-01-11,4221,259
2021-01-12,4361,266
2021-01-13,4424,266
2021-01-14,4487,273
2021-01-15,4529,273
2021-01-16,4564,273
2021-01-17,4592,273
2021-01-18,4606,273
2021-01-19,4641,280
2021-01-20,4676,280
2021-01-21,4718,287
2021-01-22,4746,287
2021-01-23,4774,287
2021-01-24,4788,287
2021-01-25,4802,287
2021-01-26,4809,287
2021-01-27,4816,287
2021-01-28,4837,287
2021-01-29,4900,294
2021-01-30,4970,301
2021-01-31,5054,308
2021-02-01,5117,308
2021-02-02,5180,315
2021-02-03,5264,322
2021-02-04,5390,329
2021-02-05,5481,336
2021-02-06,5502,336
2021-02-07,5509,336
2021-02-08,5544,336
2021-02-09,5656,343
2021-02-10,5824,350
2021-02-11,6006,364
2021-02-12,6160,378
2021-02-13,6265,385
2021-02-14,6307,385
2021-02-15,6384,392
2021-02-16,6538,399
2021-02-17,6741,413
2021-02-18,6923,434
2021-02-19,7112,441
2021-02-20,7245,448
2021-02-21,7371,455
2021-02-22,7609,462
2021-02-23,7952,490
2021-02-24,8435,525
2021-02-25,9030,553
2021-02-26,9625,595
2021-02-27,10178,623
2021-02-28,10535,644
2021-03-01,10913,679
2021-03-02,11522,728
2021-03-03,12306,777
2021-03-04,12999,826
2021-03-05,13657,868
2021-03-06,14154,903
2021-03-07,14483,931
2021-03-08,15204,966
2021-03-09,16219,1015
2021-03-10,16674,1036
total,1651643,84427
