,0,1,2,3,4,5
2020-12-01,0,0,0,0,0,0
2020-12-02,0,0,0,0,0,0
2020-12-03,0,0,0,0,0,0
2020-12-04,0,0,0,0,0,0
2020-12-05,0,0,0,0,0,0
2020-12-06,0,0,0,0,0,0
2020-12-07,0,0,0,0,0,0
2020-12-08,0,14,21,14,28,14
2020-12-09,7,56,63,70,70,84
2020-12-10,14,91,105,119,119,140
2020-12-11,21,126,133,168,182,196
2020-12-12,21,140,168,210,231,238
2020-12-13,21,168,203,245,273,294
2020-12-14,28,182,238,287,336,343
2020-12-15,35,231,308,371,420,406
2020-12-16,42,308,392,462,518,490
2020-12-17,56,399,497,588,658,644
2020-12-18,63,448,595,707,791,777
2020-12-19,77,504,679,805,931,917
2020-12-20,91,588,805,945,1071,1078
2020-12-21,112,693,938,1113,1274,1288
2020-12-22,126,784,1050,1253,1435,1477
2020-12-23,147,903,1204,1463,1659,1708
2020-12-24,154,966,1267,1575,1771,1834
2020-12-25,154,966,1267,1575,1771,1834
2020-12-26,154,966,1267,1575,1771,1841
2020-12-27,161,987,1288,1603,1813,1862
2020-12-28,161,1008,1330,1659,1869,1925
2020-12-29,175,1085,1421,1778,2023,2051
2020-12-30,196,1295,1673,2072,2345,2387
2020-12-31,224,1491,1883,2373,2660,2674
2021-01-01,238,1526,1939,2429,2744,2737
2021-01-02,245,1575,2002,2506,2814,2842
2021-01-03,252,1610,2044,2576,2884,2933
2021-01-04,273,1694,2142,2702,3010,3059
2021-01-05,294,1841,2352,2940,3269,3311
2021-01-06,329,2079,2625,3332,3633,3717
2021-01-07,378,2436,3087,3850,4186,4291
2021-01-08,420,2716,3500,4382,4725,4767
2021-01-09,462,2954,3822,4830,5152,5257
2021-01-10,476,3108,3990,5068,5411,5544
2021-01-11,511,3297,4242,5425,5726,5866
2021-01-12,553,3500,4557,5831,6125,6258
2021-01-13,581,3773,4900,6300,6594,6741
2021-01-14,616,4060,5278,6839,7112,7336
2021-01-15,658,4340,5712,7427,7721,7882
2021-01-16,700,4606,6139,7952,8260,8435
2021-01-17,728,4816,6412,8344,8659,8876
2021-01-18,749,5047,6685,8743,9016,9282
2021-01-19,798,5292,7049,9205,9541,9800
2021-01-20,840,5579,7406,9751,10045,10255
2021-01-21,882,5824,7749,10178,10521,10689
2021-01-22,917,6062,8113,10605,10927,11074
2021-01-23,945,6307,8449,11025,11340,11459
2021-01-24,973,6496,8701,11333,11627,11725
2021-01-25,1001,6671,8904,11599,11900,11956
2021-01-26,1043,6846,9156,11914,12180,12243
2021-01-27,1071,7007,9408,12187,12502,12537
2021-01-28,1099,7196,9667,12509,12838,12838
2021-01-29,1141,7441,9989,12936,13230,13160
2021-01-30,1155,7630,10185,13230,13482,13412
2021-01-31,1183,7770,10416,13503,13734,13608
2021-02-01,1204,7882,10577,13720,13916,13783
2021-02-02,1225,8050,10773,13937,14168,14056
2021-02-03,1246,8239,11025,14238,14483,14336
2021-02-04,1267,8428,11242,14511,14756,14602
2021-02-05,1288,8561,11410,14700,14959,14756
2021-02-06,1302,8645,11508,14805,15071,14847
2021-02-07,1302,8715,11606,14896,15183,14917
2021-02-08,1309,8785,11676,15001,15267,14994
2021-02-09,1330,8904,11816,15183,15442,15176
2021-02-10,1372,9093,12089,15463,15729,15435
2021-02-11,1428,9345,12537,15925,16331,15841
2021-02-12,1491,9611,12936,16457,16814,16233
2021-02-13,1519,9856,13265,16863,17269,16555
2021-02-14,1533,9926,13363,17087,17465,16730
2021-02-15,1568,10031,13475,17199,17577,16807
2021-02-16,1687,10654,14371,18200,18634,17829
2021-02-17,1904,11690,15729,19992,20426,19572
2021-02-18,2058,12551,16814,21364,21973,20832
2021-02-19,2156,13188,17633,22526,23149,21896
2021-02-20,2212,13650,18137,23219,23870,22715
2021-02-21,2247,13853,18361,23562,24206,22981
2021-02-22,2261,13972,18459,23681,24374,23149
2021-02-23,2352,14497,19222,24794,25564,24136
2021-02-24,2513,15484,20573,27118,27846,26292
2021-02-25,2674,16401,21742,29239,29883,28448
2021-02-26,2835,17647,23366,31367,32039,30387
2021-02-27,2982,18543,24430,32781,33425,31759
2021-02-28,3059,18753,24710,33152,33782,32011
2021-03-01,3059,18802,24752,33215,33852,32116
2021-03-02,3066,18823,24801,33285,33936,32235
2021-03-03,3094,18907,24864,33383,34069,32368
2021-03-04,3101,18963,24927,33453,34181,32466
2021-03-05,3101,19040,24990,33537,34307,32753
2021-03-06,3108,19124,25109,33705,34510,32984
2021-03-07,3115,19159,25165,33789,34594,33187
2021-03-08,3115,19166,25172,33803,34608,33201
2021-03-09,3122,19201,25263,33915,34762,33369
2021-03-10,3129,19334,25354,34027,34867,33432
total,18613,128282,160230,200690,207151,201733
