,F,M
2020-12-08,140,56
2020-12-09,392,147
2020-12-10,609,217
2020-12-11,875,301
2020-12-12,1134,385
2020-12-13,1323,448
2020-12-14,1575,518
2020-12-15,1946,679
2020-12-16,2471,868
2020-12-17,3178,1029
2020-12-18,3843,1225
2020-12-19,4354,1386
2020-12-20,5089,1596
2020-12-21,6118,1855
2020-12-22,6993,2121
2020-12-23,8008,2436
2020-12-24,8512,2611
2020-12-25,8519,2611
2020-12-26,8540,2618
2020-12-27,8694,2660
2020-12-28,8981,2744
2020-12-29,9667,2961
2020-12-30,11403,3381
2020-12-31,13055,3815
2021-01-01,13475,3927
2021-01-02,13972,4067
2021-01-03,14385,4172
2021-01-04,15120,4361
2021-01-05,16653,4767
2021-01-06,18648,5257
2021-01-07,21525,5957
2021-01-08,24374,6713
2021-01-09,26845,7322
2021-01-10,28406,7728
2021-01-11,30443,8260
2021-01-12,32949,8904
2021-01-13,35749,9632
2021-01-14,38780,10402
2021-01-15,41986,11298
2021-01-16,44975,11998
2021-01-17,47243,12586
2021-01-18,49497,13167
2021-01-19,52087,13874
2021-01-20,54677,14588
2021-01-21,57141,15295
2021-01-22,59542,15967
2021-01-23,61656,16583
2021-01-24,63063,16975
2021-01-25,64554,17479
2021-01-26,66192,17997
2021-01-27,67921,18550
2021-01-28,69706,19124
2021-01-29,71582,19698
2021-01-30,72975,20174
2021-01-31,74109,20601
2021-02-01,75068,20972
2021-02-02,76174,21378
2021-02-03,77322,21840
2021-02-04,78512,22288
2021-02-05,79387,22652
2021-02-06,80038,22876
2021-02-07,80423,23016
2021-02-08,80878,23191
2021-02-09,81522,23471
2021-02-10,82229,23807
2021-02-11,83132,24241
2021-02-12,84014,24710
2021-02-13,84623,25011
2021-02-14,84959,25172
2021-02-15,85344,25333
2021-02-16,86485,26124
2021-02-17,88676,27552
2021-02-18,90510,28763
2021-02-19,91742,29589
2021-02-20,92603,30149
2021-02-21,92834,30359
2021-02-22,93156,30562
2021-02-23,94976,31808
2021-02-24,97475,33607
2021-02-25,99932,35378
2021-02-26,102515,37268
2021-02-27,104111,38521
2021-02-28,104503,38815
2021-03-01,104629,38878
2021-03-02,104783,38983
2021-03-03,104965,39095
2021-03-04,105119,39186
2021-03-05,105217,39242
2021-03-06,105385,39347
2021-03-07,105441,39389
2021-03-08,105483,39417
2021-03-09,105546,39452
2021-03-10,105581,39494
total,640346,655662
