,False,True
2020-12-08,56,0
2020-12-09,168,0
2020-12-10,273,0
2020-12-11,399,0
2020-12-12,490,0
2020-12-13,574,0
2020-12-14,672,0
2020-12-15,889,0
2020-12-16,1113,0
2020-12-17,1400,0
2020-12-18,1722,0
2020-12-19,2030,0
2020-12-20,2380,0
2020-12-21,2786,7
2020-12-22,3185,7
2020-12-23,3689,7
2020-12-24,3934,7
2020-12-25,3934,7
2020-12-26,3941,7
2020-12-27,4004,7
2020-12-28,4116,7
2020-12-29,4438,7
2020-12-30,5236,14
2020-12-31,6041,21
2021-01-01,6216,21
2021-01-02,6398,21
2021-01-03,6531,21
2021-01-04,6811,21
2021-01-05,7336,28
2021-01-06,8155,28
2021-01-07,9513,35
2021-01-08,11039,42
2021-01-09,12453,49
2021-01-10,13167,49
2021-01-11,14007,56
2021-01-12,15197,70
2021-01-13,16709,77
2021-01-14,18501,91
2021-01-15,20601,105
2021-01-16,22428,112
2021-01-17,23576,119
2021-01-18,24829,126
2021-01-19,26635,140
2021-01-20,28840,168
2021-01-21,31458,189
2021-01-22,35182,217
2021-01-23,38409,238
2021-01-24,40299,245
2021-01-25,42133,252
2021-01-26,44408,273
2021-01-27,47110,294
2021-01-28,50827,315
2021-01-29,55342,357
2021-01-30,58982,385
2021-01-31,62741,399
2021-02-01,68397,441
2021-02-02,74298,497
2021-02-03,82327,567
2021-02-04,92533,644
2021-02-05,103782,749
2021-02-06,120064,861
2021-02-07,129339,938
2021-02-08,141120,1029
2021-02-09,168364,1204
2021-02-10,212464,1498
2021-02-11,275814,1925
2021-02-12,348642,2422
2021-02-13,432726,2975
2021-02-14,469532,3171
2021-02-15,509481,3402
2021-02-16,562457,3738
2021-02-17,621733,4137
2021-02-18,667807,4487
2021-02-19,703591,4760
2021-02-20,734559,4977
2021-02-21,746354,5068
2021-02-22,762923,5201
2021-02-23,781753,5369
2021-02-24,806806,5586
2021-02-25,830102,5796
2021-02-26,852971,6013
2021-02-27,868763,6153
2021-02-28,877156,6202
2021-03-01,882371,6258
2021-03-02,887908,6314
2021-03-03,894404,6391
2021-03-04,903651,6496
2021-03-05,913115,6601
2021-03-06,921543,6706
2021-03-07,923601,6720
2021-03-08,926926,6769
2021-03-09,929978,6818
2021-03-10,932596,6867
total,1064336,8974
