,0,1,2,3,4,5
2020-12-01,0,0,0,0,0,0
2020-12-02,0,0,0,0,0,0
2020-12-03,0,0,0,0,0,0
2020-12-04,0,0,0,0,0,0
2020-12-05,0,0,0,0,0,0
2020-12-06,0,0,0,0,0,0
2020-12-07,0,0,0,0,0,0
2020-12-08,7,42,77,105,154,140
2020-12-09,35,280,322,413,462,469
2020-12-10,70,525,637,791,945,959
2020-12-11,98,763,896,1141,1407,1442
2020-12-12,105,924,1078,1428,1764,1736
2020-12-13,119,1050,1239,1701,2065,2023
2020-12-14,147,1232,1533,2128,2548,2534
2020-12-15,539,3815,4851,6895,7693,7588
2020-12-16,1113,7644,10437,14756,16268,16317
2020-12-17,1680,11445,15645,21973,23639,23667
2020-12-18,2121,14287,19138,26516,28182,28105
2020-12-19,2863,18158,23597,31738,33600,33390
2020-12-20,3374,20937,27531,36449,38374,38605
2020-12-21,3570,22365,29358,38871,41930,42231
2020-12-22,4018,25795,32900,43638,47915,48307
2020-12-23,4438,27937,35392,47271,52087,52696
2020-12-24,4529,28448,35847,48097,52983,53718
2020-12-25,4529,28448,35847,48097,52983,53718
2020-12-26,4529,28448,35847,48097,52983,53718
2020-12-27,4536,28469,35875,48125,53011,53795
2020-12-28,4536,28525,35959,48223,53095,53935
2020-12-29,4725,29400,37555,49840,54894,55776
2020-12-30,5229,31311,41153,53634,59647,60711
2020-12-31,5628,32613,43407,56378,63126,64365
2021-01-01,5817,32767,43708,56924,63798,65072
2021-01-02,5880,33005,44037,57372,64274,65877
2021-01-03,5894,33124,44184,57638,64582,66549
2021-01-04,5901,33341,44422,57890,64834,66976
2021-01-05,5936,33705,44884,58604,65478,67809
2021-01-06,6048,34622,46165,60235,67228,69594
2021-01-07,6531,38710,51891,67557,75306,78176
2021-01-08,7273,43757,58471,76230,85547,87927
2021-01-09,8071,48391,64176,84315,94087,97230
2021-01-10,8582,50064,66710,87920,97741,102011
2021-01-11,8645,50869,67788,89558,99456,104741
2021-01-12,8883,53361,71309,94437,105448,112196
2021-01-13,9443,58058,77686,103355,114233,121212
2021-01-14,9919,62188,84007,112091,123585,130991
2021-01-15,10822,68019,91924,123067,134918,142968
2021-01-16,12012,74711,101045,136346,148806,157500
2021-01-17,12439,77462,104853,142044,154714,163870
2021-01-18,12677,79303,106848,145250,158032,166950
2021-01-19,13237,83475,113393,154903,168140,177352
2021-01-20,13720,88480,120498,164878,178689,188608
2021-01-21,14343,92974,126784,173999,188118,197260
2021-01-22,14924,98721,135268,185878,199983,208943
2021-01-23,15575,103215,142023,196665,209923,217889
2021-01-24,15792,104531,143983,199850,212527,220549
2021-01-25,15988,106337,146209,202846,215229,222698
2021-01-26,16163,108451,148799,206542,218582,225260
2021-01-27,16345,110509,151053,209321,221256,227227
2021-01-28,16562,112672,153811,212884,224889,230076
2021-01-29,16982,114828,156625,216762,228305,233114
2021-01-30,17276,116375,158809,219408,230545,235389
2021-01-31,17395,117026,159684,220437,231399,236243
2021-02-01,17472,117922,160860,221809,232610,237237
2021-02-02,17542,118699,161903,223139,233975,238609
2021-02-03,17626,119763,163093,224378,235326,239750
2021-02-04,17717,120834,164171,225827,236579,240891
2021-02-05,17794,121856,165207,227080,237860,241969
2021-02-06,17836,122542,165984,228011,238644,242676
2021-02-07,17864,122927,166313,228382,239015,243033
2021-02-08,17920,123550,166915,229110,239750,243607
2021-02-09,17962,124341,167608,229901,240548,244328
2021-02-10,18025,125293,168574,230860,241507,245084
2021-02-11,18102,126168,169407,231742,242361,245791
2021-02-12,18165,126938,170233,232624,243187,246456
2021-02-13,18214,127421,170744,233198,243656,246925
2021-02-14,18221,127603,170926,233429,243782,247142
2021-02-15,18242,127883,171234,233758,244055,247387
2021-02-16,18263,128205,171535,234073,244279,247618
2021-02-17,18277,128541,171836,234388,244566,247849
2021-02-18,18305,128786,172144,234696,244818,248080
2021-02-19,18319,129108,172396,234969,244986,248227
2021-02-20,18354,129248,172543,235116,245091,248332
2021-02-21,18361,129304,172613,235165,245119,248367
2021-02-22,18382,129423,172725,235284,245217,248444
2021-02-23,18403,129626,172928,235487,245399,248605
2021-02-24,18417,129857,173166,235746,245574,248766
2021-02-25,18438,130067,173390,236012,245833,248948
2021-02-26,18466,130270,173635,236292,246036,249102
2021-02-27,18473,130403,173747,236418,246162,249179
2021-02-28,18473,130459,173782,236446,246183,249200
2021-03-01,18480,130543,173894,236516,246239,249256
2021-03-02,18494,130662,174006,236628,246379,249347
2021-03-03,18501,130809,174146,236796,246498,249487
2021-03-04,18522,131019,174300,236950,246610,249620
2021-03-05,18529,131187,174461,237153,246750,249753
2021-03-06,18536,131299,174559,237279,246834,249844
2021-03-07,18543,131327,174587,237300,246841,249858
2021-03-08,18543,131383,174643,237349,246897,249900
2021-03-09,18557,131460,174734,237489,247009,250040
2021-03-10,18571,131544,174825,237587,247121,250124
total,19719,145033,187579,249921,258048,259357
