,False,True
2020-12-27,0,0
2020-12-28,0,0
2020-12-29,315,0
2020-12-30,987,0
2020-12-31,1827,0
2021-01-01,2093,0
2021-01-02,2912,0
2021-01-03,3507,0
2021-01-04,4648,0
2021-01-05,23275,0
2021-01-06,54957,7
2021-01-07,83216,14
2021-01-08,100149,14
2021-01-09,119581,21
2021-01-10,132559,21
2021-01-11,135443,21
2021-01-12,137172,21
2021-01-13,137774,21
2021-01-14,138033,21
2021-01-15,138103,21
2021-01-16,138173,21
2021-01-17,138215,21
2021-01-18,138236,21
2021-01-19,138271,21
2021-01-20,138299,21
2021-01-21,138320,21
2021-01-22,138341,21
2021-01-23,138348,21
2021-01-24,138355,21
2021-01-25,138362,21
2021-01-26,138376,21
2021-01-27,138397,21
2021-01-28,138460,21
2021-01-29,138516,21
2021-01-30,138558,21
2021-01-31,138733,21
2021-02-01,138754,21
2021-02-02,138852,21
2021-02-03,138880,21
2021-02-04,138922,21
2021-02-05,138943,28
2021-02-06,138957,28
2021-02-07,138971,28
2021-02-08,138985,28
2021-02-09,139034,28
2021-02-10,139244,28
2021-02-11,139300,28
2021-02-12,139349,28
2021-02-13,139384,28
2021-02-14,139398,28
2021-02-15,139426,28
2021-02-16,139545,28
2021-02-17,139678,28
2021-02-18,139944,28
2021-02-19,140077,28
2021-02-20,140224,28
2021-02-21,140294,28
2021-02-22,140602,28
2021-02-23,141596,28
2021-02-24,143486,28
2021-02-25,145565,28
2021-02-26,147231,28
2021-02-27,148862,28
2021-02-28,150087,28
2021-03-01,151592,28
2021-03-02,155519,28
2021-03-03,162981,35
2021-03-04,169848,35
2021-03-05,174923,35
2021-03-06,177940,35
2021-03-07,179417,35
2021-03-08,181314,35
2021-03-09,188545,35
2021-03-10,199521,42
total,1119139,518
