,False,True
2020-12-08,49,0
2020-12-09,147,21
2020-12-10,238,28
2020-12-11,350,42
2020-12-12,434,56
2020-12-13,504,63
2020-12-14,588,84
2020-12-15,777,112
2020-12-16,966,147
2020-12-17,1218,182
2020-12-18,1505,224
2020-12-19,1785,252
2020-12-20,2086,294
2020-12-21,2450,343
2020-12-22,2779,413
2020-12-23,3192,504
2020-12-24,3409,532
2020-12-25,3409,532
2020-12-26,3416,532
2020-12-27,3472,539
2020-12-28,3570,546
2020-12-29,3864,588
2020-12-30,4557,693
2020-12-31,5271,784
2021-01-01,5425,812
2021-01-02,5579,840
2021-01-03,5705,847
2021-01-04,5971,868
2021-01-05,6426,931
2021-01-06,7154,1036
2021-01-07,8344,1211
2021-01-08,9674,1414
2021-01-09,10920,1582
2021-01-10,11550,1659
2021-01-11,12299,1764
2021-01-12,13356,1904
2021-01-13,14693,2086
2021-01-14,16310,2282
2021-01-15,18179,2527
2021-01-16,19796,2744
2021-01-17,20811,2884
2021-01-18,21917,3031
2021-01-19,23541,3234
2021-01-20,25431,3577
2021-01-21,27650,3997
2021-01-22,30835,4564
2021-01-23,33677,4963
2021-01-24,35322,5222
2021-01-25,36897,5488
2021-01-26,38878,5796
2021-01-27,41209,6195
2021-01-28,44387,6755
2021-01-29,48300,7399
2021-01-30,51443,7924
2021-01-31,54656,8477
2021-02-01,59479,9359
2021-02-02,64512,10283
2021-02-03,71386,11508
2021-02-04,79884,13293
2021-02-05,89460,15071
2021-02-06,103355,17570
2021-02-07,111279,18991
2021-02-08,121394,20762
2021-02-09,145012,24563
2021-02-10,183484,30471
2021-02-11,238420,39326
2021-02-12,301763,49301
2021-02-13,375200,60501
2021-02-14,407491,65212
2021-02-15,442806,70084
2021-02-16,489279,76916
2021-02-17,541338,84532
2021-02-18,582064,90237
2021-02-19,613809,94542
2021-02-20,641081,98455
2021-02-21,651637,99785
2021-02-22,666365,101759
2021-02-23,682983,104139
2021-02-24,705131,107268
2021-02-25,725753,110145
2021-02-26,745955,113036
2021-02-27,759836,115080
2021-02-28,767326,116025
2021-03-01,771981,116648
2021-03-02,776881,117334
2021-03-03,782600,118195
2021-03-04,790769,119378
2021-03-05,799078,120638
2021-03-06,806547,121709
2021-03-07,808374,121947
2021-03-08,811307,122388
2021-03-09,813995,122801
2021-03-10,816284,123172
total,935060,138250
