,False,True
2020-12-08,49,0
2020-12-09,161,0
2020-12-10,266,7
2020-12-11,371,21
2020-12-12,462,21
2020-12-13,539,28
2020-12-14,644,28
2020-12-15,854,35
2020-12-16,1071,42
2020-12-17,1358,49
2020-12-18,1666,56
2020-12-19,1967,70
2020-12-20,2303,77
2020-12-21,2702,84
2020-12-22,3087,105
2020-12-23,3577,119
2020-12-24,3815,126
2020-12-25,3815,126
2020-12-26,3822,126
2020-12-27,3878,133
2020-12-28,3983,133
2020-12-29,4298,154
2020-12-30,5068,182
2020-12-31,5845,210
2021-01-01,6013,210
2021-01-02,6188,217
2021-01-03,6314,224
2021-01-04,6580,224
2021-01-05,7070,245
2021-01-06,7854,266
2021-01-07,9149,315
2021-01-08,10472,364
2021-01-09,11641,413
2021-01-10,12243,427
2021-01-11,12866,448
2021-01-12,13734,476
2021-01-13,14833,518
2021-01-14,16163,567
2021-01-15,17647,616
2021-01-16,19005,651
2021-01-17,19964,679
2021-01-18,20832,700
2021-01-19,22190,735
2021-01-20,23737,805
2021-01-21,25270,868
2021-01-22,27384,945
2021-01-23,29344,1029
2021-01-24,30541,1085
2021-01-25,31374,1113
2021-01-26,32179,1148
2021-01-27,33068,1183
2021-01-28,35140,1274
2021-01-29,37709,1379
2021-01-30,39410,1456
2021-01-31,42231,1561
2021-02-01,46263,1743
2021-02-02,50176,1911
2021-02-03,55349,2163
2021-02-04,59262,2401
2021-02-05,61775,2520
2021-02-06,64127,2618
2021-02-07,65100,2660
2021-02-08,66822,2730
2021-02-09,80759,3269
2021-02-10,99708,4053
2021-02-11,131222,5278
2021-02-12,163611,6496
2021-02-13,185073,7315
2021-02-14,192815,7623
2021-02-15,197925,7847
2021-02-16,217329,8666
2021-02-17,245336,9863
2021-02-18,260883,10577
2021-02-19,270249,10948
2021-02-20,275380,11165
2021-02-21,276199,11207
2021-02-22,277319,11256
2021-02-23,282814,11480
2021-02-24,292936,11907
2021-02-25,300895,12271
2021-02-26,309372,12677
2021-02-27,314272,12929
2021-02-28,315931,12999
2021-03-01,316092,13006
2021-03-02,316372,13020
2021-03-03,316729,13041
2021-03-04,316939,13048
2021-03-05,317009,13055
2021-03-06,317058,13055
2021-03-07,317086,13055
2021-03-08,317100,13055
2021-03-09,317142,13055
2021-03-10,317226,13055
total,1032101,41209
