,False
2020-12-01,0
2020-12-02,0
2020-12-03,0
2020-12-04,0
2020-12-05,0
2020-12-06,0
2020-12-07,0
2020-12-08,217
2020-12-09,665
2020-12-10,1106
2020-12-11,1554
2020-12-12,1981
2020-12-13,2282
2020-12-14,2688
2020-12-15,3339
2020-12-16,4214
2020-12-17,5257
2020-12-18,6258
2020-12-19,7063
2020-12-20,8134
2020-12-21,9513
2020-12-22,10836
2020-12-23,12446
2020-12-24,13174
2020-12-25,13181
2020-12-26,13209
2020-12-27,13433
2020-12-28,13776
2020-12-29,14819
2020-12-30,17164
2020-12-31,19537
2021-01-01,20160
2021-01-02,20853
2021-01-03,21455
2021-01-04,22498
2021-01-05,24437
2021-01-06,27083
2021-01-07,31262
2021-01-08,35875
2021-01-09,39788
2021-01-10,42161
2021-01-11,45591
2021-01-12,49896
2021-01-13,54747
2021-01-14,59920
2021-01-15,65926
2021-01-16,71281
2021-01-17,74746
2021-01-18,78743
2021-01-19,83475
2021-01-20,88830
2021-01-21,94395
2021-01-22,101143
2021-01-23,106652
2021-01-24,109886
2021-01-25,113764
2021-01-26,118363
2021-01-27,122696
2021-01-28,127386
2021-01-29,132734
2021-01-30,137130
2021-01-31,140182
2021-02-01,143143
2021-02-02,146685
2021-02-03,150710
2021-02-04,155666
2021-02-05,160496
2021-02-06,165585
2021-02-07,168343
2021-02-08,171269
2021-02-09,175630
2021-02-10,181888
2021-02-11,191184
2021-02-12,204841
2021-02-13,219513
2021-02-14,227458
2021-02-15,236376
2021-02-16,266063
2021-02-17,322042
2021-02-18,375613
2021-02-19,416731
2021-02-20,458997
2021-02-21,472227
2021-02-22,487956
2021-02-23,531993
2021-02-24,592074
2021-02-25,654976
2021-02-26,719824
2021-02-27,769559
2021-02-28,785113
2021-03-01,796943
2021-03-02,811349
2021-03-03,838803
2021-03-04,877576
2021-03-05,920136
2021-03-06,966357
2021-03-07,977487
2021-03-08,990402
2021-03-09,1004542
2021-03-10,1020068
total,1736077
