,False,True
2020-12-29,63,14
2020-12-30,168,42
2020-12-31,252,84
2021-01-01,259,91
2021-01-02,392,161
2021-01-03,553,224
2021-01-04,791,329
2021-01-05,1092,462
2021-01-06,1505,602
2021-01-07,1932,805
2021-01-08,2387,987
2021-01-09,2604,1106
2021-01-10,2968,1260
2021-01-11,3143,1330
2021-01-12,3248,1372
2021-01-13,3297,1400
2021-01-14,3339,1421
2021-01-15,3367,1435
2021-01-16,3395,1449
2021-01-17,3416,1449
2021-01-18,3423,1456
2021-01-19,3451,1470
2021-01-20,3472,1484
2021-01-21,3514,1491
2021-01-22,3535,1498
2021-01-23,3549,1512
2021-01-24,3563,1512
2021-01-25,3570,1519
2021-01-26,3570,1519
2021-01-27,3584,1526
2021-01-28,3598,1533
2021-01-29,3647,1547
2021-01-30,3710,1561
2021-01-31,3766,1589
2021-02-01,3815,1610
2021-02-02,3864,1638
2021-02-03,3920,1666
2021-02-04,4018,1694
2021-02-05,4088,1722
2021-02-06,4102,1729
2021-02-07,4109,1736
2021-02-08,4137,1743
2021-02-09,4221,1778
2021-02-10,4354,1827
2021-02-11,4480,1883
2021-02-12,4606,1925
2021-02-13,4683,1967
2021-02-14,4711,1981
2021-02-15,4781,2002
2021-02-16,4893,2044
2021-02-17,5047,2114
2021-02-18,5180,2170
2021-02-19,5320,2233
2021-02-20,5418,2275
2021-02-21,5516,2310
2021-02-22,5712,2366
2021-02-23,5985,2457
2021-02-24,6349,2604
2021-02-25,6790,2793
2021-02-26,7252,2975
2021-02-27,7672,3129
2021-02-28,7945,3234
2021-03-01,8253,3339
2021-03-02,8736,3507
2021-03-03,9303,3780
2021-03-04,9856,3969
2021-03-05,10374,4151
2021-03-06,10759,4298
2021-03-07,11011,4396
2021-03-08,11550,4620
2021-03-09,12320,4914
2021-03-10,12663,5047
total,1268799,467271
