,False,True
2020-12-29,63,7
2020-12-30,189,21
2020-12-31,308,28
2021-01-01,322,28
2021-01-02,504,42
2021-01-03,707,63
2021-01-04,1022,98
2021-01-05,1414,147
2021-01-06,1911,189
2021-01-07,2478,259
2021-01-08,3066,301
2021-01-09,3374,329
2021-01-10,3843,385
2021-01-11,4067,406
2021-01-12,4200,420
2021-01-13,4263,427
2021-01-14,4326,434
2021-01-15,4368,434
2021-01-16,4403,441
2021-01-17,4424,441
2021-01-18,4445,441
2021-01-19,4480,441
2021-01-20,4515,441
2021-01-21,4557,441
2021-01-22,4585,448
2021-01-23,4613,448
2021-01-24,4627,448
2021-01-25,4634,448
2021-01-26,4641,455
2021-01-27,4648,455
2021-01-28,4669,455
2021-01-29,4732,462
2021-01-30,4809,469
2021-01-31,4886,469
2021-02-01,4949,476
2021-02-02,5019,476
2021-02-03,5096,483
2021-02-04,5222,497
2021-02-05,5306,504
2021-02-06,5327,504
2021-02-07,5334,511
2021-02-08,5369,511
2021-02-09,5474,525
2021-02-10,5635,539
2021-02-11,5810,553
2021-02-12,5971,567
2021-02-13,6076,567
2021-02-14,6118,574
2021-02-15,6195,581
2021-02-16,6349,588
2021-02-17,6552,609
2021-02-18,6734,623
2021-02-19,6923,630
2021-02-20,7049,644
2021-02-21,7168,658
2021-02-22,7392,679
2021-02-23,7735,700
2021-02-24,8211,742
2021-02-25,8799,791
2021-02-26,9387,840
2021-02-27,9912,889
2021-02-28,10255,924
2021-03-01,10626,966
2021-03-02,11214,1036
2021-03-03,11977,1106
2021-03-04,12656,1169
2021-03-05,13300,1225
2021-03-06,13790,1267
2021-03-07,14112,1295
2021-03-08,14812,1358
2021-03-09,15785,1449
2021-03-10,16212,1498
total,1583610,152467
