,False,True
2020-12-01,0,0
2020-12-02,0,0
2020-12-03,0,0
2020-12-04,0,0
2020-12-05,0,0
2020-12-06,0,0
2020-12-07,0,0
2020-12-08,217,0
2020-12-09,651,7
2020-12-10,1092,14
2020-12-11,1526,28
2020-12-12,1939,42
2020-12-13,2233,49
2020-12-14,2625,56
2020-12-15,3269,70
2020-12-16,4123,91
2020-12-17,5138,112
2020-12-18,6118,133
2020-12-19,6909,154
2020-12-20,7959,175
2020-12-21,9310,203
2020-12-22,10598,231
2020-12-23,12173,273
2020-12-24,12887,287
2020-12-25,12894,287
2020-12-26,12915,287
2020-12-27,13132,294
2020-12-28,13468,308
2020-12-29,14469,343
2020-12-30,16758,399
2020-12-31,19047,483
2021-01-01,19600,504
2021-01-02,20265,525
2021-01-03,20846,546
2021-01-04,21812,581
2021-01-05,23653,630
2021-01-06,26159,693
2021-01-07,30072,812
2021-01-08,34013,959
2021-01-09,37219,1064
2021-01-10,39214,1127
2021-01-11,41769,1211
2021-01-12,44947,1309
2021-01-13,48650,1435
2021-01-14,52374,1575
2021-01-15,56469,1750
2021-01-16,60508,1876
2021-01-17,63371,1981
2021-01-18,66178,2107
2021-01-19,69692,2240
2021-01-20,73367,2380
2021-01-21,76524,2527
2021-01-22,79975,2702
2021-01-23,83244,2828
2021-01-24,85344,2926
2021-01-25,87556,3010
2021-01-26,89964,3122
2021-01-27,92428,3220
2021-01-28,95046,3339
2021-01-29,97895,3465
2021-01-30,100303,3563
2021-01-31,102249,3626
2021-02-01,103866,3689
2021-02-02,105840,3759
2021-02-03,108192,3829
2021-02-04,110803,3948
2021-02-05,112406,4011
2021-02-06,113554,4067
2021-02-07,114289,4088
2021-02-08,115115,4123
2021-02-09,116739,4186
2021-02-10,119399,4291
2021-02-11,124523,4459
2021-02-12,129885,4718
2021-02-13,133574,4865
2021-02-14,135555,4942
2021-02-15,137165,5012
2021-02-16,156898,5929
2021-02-17,198219,7903
2021-02-18,231714,9632
2021-02-19,255507,10906
2021-02-20,271180,11774
2021-02-21,274960,11970
2021-02-22,278215,12152
2021-02-23,306418,13804
2021-02-24,349132,16282
2021-02-25,389956,18816
2021-02-26,432376,21301
2021-02-27,460992,23121
2021-02-28,466886,23520
2021-03-01,467880,23569
2021-03-02,468867,23639
2021-03-03,471156,23765
2021-03-04,472927,23870
2021-03-05,473571,23905
2021-03-06,474313,23961
2021-03-07,474432,23968
2021-03-08,474502,23968
2021-03-09,474789,23989
2021-03-10,475349,24024
total,1614207,121870
