,False,True
2020-12-16,0,0
2020-12-17,0,0
2020-12-18,0,0
2020-12-19,0,0
2020-12-20,7,0
2020-12-21,7,0
2020-12-22,14,0
2020-12-23,14,0
2020-12-24,14,0
2020-12-25,14,0
2020-12-26,14,0
2020-12-27,14,0
2020-12-28,14,0
2020-12-29,21,0
2020-12-30,21,0
2020-12-31,21,0
2021-01-01,35,0
2021-01-02,63,0
2021-01-03,63,0
2021-01-04,77,0
2021-01-05,84,0
2021-01-06,98,0
2021-01-07,399,0
2021-01-08,1967,0
2021-01-09,5537,0
2021-01-10,6944,0
2021-01-11,8484,7
2021-01-12,13979,7
2021-01-13,19558,14
2021-01-14,27048,14
2021-01-15,35077,21
2021-01-16,44184,28
2021-01-17,47299,28
2021-01-18,53340,28
2021-01-19,61418,35
2021-01-20,69195,35
2021-01-21,89516,49
2021-01-22,118776,63
2021-01-23,144515,77
2021-01-24,151921,77
2021-01-25,163618,91
2021-01-26,177744,98
2021-01-27,188608,105
2021-01-28,198926,112
2021-01-29,208383,119
2021-01-30,214718,126
2021-01-31,216657,126
2021-02-01,221193,133
2021-02-02,226296,140
2021-02-03,231252,154
2021-02-04,236460,154
2021-02-05,241927,161
2021-02-06,245791,168
2021-02-07,247590,168
2021-02-08,250803,175
2021-02-09,254359,182
2021-02-10,258664,189
2021-02-11,262465,196
2021-02-12,266077,196
2021-02-13,268380,203
2021-02-14,269269,203
2021-02-15,270704,203
2021-02-16,271922,203
2021-02-17,273175,203
2021-02-18,274344,210
2021-02-19,275373,217
2021-02-20,275940,217
2021-02-21,276157,217
2021-02-22,276661,217
2021-02-23,277494,217
2021-02-24,278313,217
2021-02-25,279230,217
2021-02-26,280063,217
2021-02-27,280462,224
2021-02-28,280581,224
2021-03-01,280945,224
2021-03-02,281505,224
2021-03-03,282107,224
2021-03-04,282891,224
2021-03-05,283738,224
2021-03-06,284235,231
2021-03-07,284333,231
2021-03-08,284606,231
2021-03-09,285054,231
2021-03-10,285509,231
2021-03-11,285922,231
2021-03-12,286454,231
2021-03-13,286825,231
2021-03-14,286958,231
2021-03-15,287217,231
2021-03-16,287511,231
2021-03-17,287756,238
total,1116920,518
